n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
11,4051,0.24135488271713257,1.4966217279434204,random_island,4,0
12,4217,0.2743232548236847,1.4289708137512207,random_island,4,0
13,4703,0.244002565741539,1.4694241285324097,random_island,4,0
14,4995,0.2215864062309265,1.489699363708496,random_island,4,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,4,0
1,356,0.01423217449337244,1.4108442068099976,random_island,5,0
2,615,-0.09510120004415512,1.5017801523208618,random_island,5,0
3,788,-0.05653856694698334,1.4613937139511108,random_island,5,0
4,1185,-0.02037615142762661,1.4839271306991577,random_island,5,0
5,1743,0.1658281832933426,1.4531631469726562,random_island,5,0
6,1937,0.17551052570343018,1.4200299978256226,random_island,5,0
7,2229,0.12954910099506378,1.4321956634521484,random_island,5,0
8,2813,0.16293160617351532,1.4135373830795288,random_island,5,0
9,2979,0.20456385612487793,1.3558353185653687,random_island,5,0
10,3181,0.1853979527950287,1.37714421749115,random_island,5,0
11,3339,0.17798000574111938,1.3959522247314453,random_island,5,0
12,3922,0.11987162381410599,1.4664469957351685,random_island,5,0
13,4408,0.14806313812732697,1.449442982673645,random_island,5,0
14,4500,0.12187618762254715,1.459722876548767,random_island,5,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,5,0
1,558,0.21907047927379608,1.3933963775634766,random_island,6,0
2,1141,0.1622728556394577,1.4241905212402344,random_island,6,0
3,1433,0.13680951297283173,1.4278172254562378,random_island,6,0
4,1635,0.09848156571388245,1.4788004159927368,random_island,6,0
5,1894,0.01640055514872074,1.5431278944015503,random_island,6,0
6,2067,0.04452504217624664,1.4976487159729004,random_island,6,0
7,2225,0.010650529526174068,1.5374952554702759,random_island,6,0
8,2419,0.05936238914728165,1.4800472259521484,random_island,6,0
9,2511,0.034093353897333145,1.5349578857421875,random_island,6,0
10,2677,0.05894799157977104,1.4613991975784302,random_island,6,0
11,3755,0.16332758963108063,1.488481879234314,random_island,6,0
12,4241,0.1696246862411499,1.5289760828018188,random_island,6,0
13,4638,0.18989799916744232,1.5020580291748047,random_island,6,0
14,4994,0.16926099359989166,1.530910849571228,random_island,6,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,6,0
1,583,-0.17586153745651245,1.426190972328186,random_island,7,0
2,1141,0.1622728556394577,1.4241905212402344,random_island,7,0
3,1725,0.17610584199428558,1.4275037050247192,random_island,7,0
4,1817,0.15343987941741943,1.4576400518417358,random_island,7,0
5,2895,0.2310272455215454,1.4750417470932007,random_island,7,0
6,3097,0.2461005449295044,1.4911646842956543,random_island,7,0
7,3270,0.22931089997291565,1.4547467231750488,random_island,7,0
8,3756,0.22718925774097443,1.4832830429077148,random_island,7,0
9,3914,0.23295843601226807,1.4774037599563599,random_island,7,0
10,4108,0.2409186214208603,1.4251493215560913,random_island,7,0
11,4274,0.24762669205665588,1.3970999717712402,random_island,7,0
12,4533,0.2215321660041809,1.46078360080719,random_island,7,0
13,4889,0.23397037386894226,1.4398807287216187,random_island,7,0
14,5286,0.25117039680480957,1.43405020236969,random_island,7,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,7,0
1,292,-0.11078884452581406,1.4153276681900024,random_island,8,0
2,465,-0.030559169128537178,1.3884817361831665,random_island,8,0
3,862,0.007964326068758965,1.4134966135025024,random_island,8,0
4,1121,-0.07460255175828934,1.4636598825454712,random_island,8,0
5,1705,-0.04851585254073143,1.4594483375549316,random_island,8,0
6,1871,0.010871059261262417,1.3991364240646362,random_island,8,0
7,2357,0.0464739054441452,1.3996108770370483,random_island,8,0
8,2551,0.038129888474941254,1.3888579607009888,random_island,8,0
9,2709,0.017986727878451347,1.413107991218567,random_island,8,0
10,3787,0.23602280020713806,1.4246106147766113,random_island,8,0
11,4370,0.18066129088401794,1.3955789804458618,random_island,8,0
12,4462,0.1973617672920227,1.4266043901443481,random_island,8,0
13,5020,0.2200089395046234,1.4334017038345337,random_island,8,0
14,5376,0.20471599698066711,1.4657896757125854,random_island,8,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,8,0
