n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,v_full_mean,avg_gain_over_v_full,n_runs
10,10,1,14,0.16981096920466374,0.1929104487340213,-0.023099479529357564,30
10,20,0,15,0.1489155218931613,0.16141688087633205,-0.012501358983170757,30
10,40,1,14,0.13279501213936445,0.18266619190458677,-0.04987117976522232,30
10,80,1,14,0.1762060007456162,0.13051161411217754,0.045694386633438666,30
10,150,6,9,0.17302996105327936,0.15897998777943123,0.014049973273848132,30
20,10,1,14,0.17112579849606294,0.1929104487340213,-0.021784650237958364,30
20,20,0,15,0.1489155218931613,0.16141688087633205,-0.012501358983170757,30
20,40,2,13,0.13349331470140532,0.18266619190458677,-0.04917287720318145,30
20,80,3,12,0.17520745712561211,0.13051161411217754,0.04469584301343457,30
20,150,6,9,0.173063178196593,0.15897998777943123,0.014083190417161773,30
40,10,1,14,0.17220530438372408,0.1929104487340213,-0.020705144350297217,30
40,20,0,15,0.1489155218931613,0.16141688087633205,-0.012501358983170757,30
40,40,2,13,0.1335922301755082,0.18266619190458677,-0.049073961729078575,30
40,80,2,13,0.17549061977085062,0.13051161411217754,0.04497900565867308,30
40,150,3,12,0.1730912046114438,0.15897998777943123,0.01411121683201258,30
80,10,1,14,0.17173915263741868,0.1929104487340213,-0.02117129609660262,30
80,20,0,15,0.1489155218931613,0.16141688087633205,-0.012501358983170757,30
80,40,2,13,0.13316423478026976,0.18266619190458677,-0.049501957124317014,30
80,80,4,11,0.1733731603864962,0.13051161411217754,0.04286154627431865,30
80,150,3,12,0.17265299054181632,0.15897998777943123,0.01367300276238509,30
150,10,0,15,0.16895667601629044,0.1929104487340213,-0.02395377271773086,30
150,20,0,15,0.1489155218931613,0.16141688087633205,-0.012501358983170757,30
150,40,1,14,0.13254882713390292,0.18266619190458677,-0.05011736477068385,30
150,80,2,13,0.17494065897953198,0.13051161411217754,0.04442904486735444,30
150,150,2,13,0.17182189826627098,0.15897998777943123,0.012841910486839747,30
