n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,10,random_individual,0,0.16895667601629044,0.08417369118406394,1.1574472109476726,0.3309455865021511,150
10,10,random_individual,1,0.16657274300193542,0.08644256887703664,1.1580787948767344,0.33106189556097443,150
10,10,random_individual,2,0.16181873868802657,0.08637580381005273,1.159920686086019,0.3320835173960704,150
10,10,random_individual,3,0.15881813971950057,0.08695786777522643,1.16122998158137,0.33272947830440347,150
10,10,random_individual,4,0.15515492916043783,0.08397266487897895,1.1622376430034638,0.3333690191114743,150
10,10,random_individual,5,0.1473281182566403,0.08590160002961678,1.1647699677944183,0.33321591523546673,150
10,10,random_individual,6,0.13926580087576715,0.08797160208939525,1.1666653736432393,0.3340274408685833,150
10,10,random_individual,7,0.13118526353915147,0.09027251875937697,1.1697958513100941,0.33459846711103164,150
10,10,random_individual,8,0.12251443348528548,0.09378443545713147,1.173313117424647,0.33625843019616425,150
10,10,random_individual,9,0.11828430709614061,0.09887670161853229,1.175384380420049,0.33628949878294856,150
10,10,random_individual,10,0.10719216506028308,0.09919655704699351,1.1784258802731833,0.33629783343599606,150
10,10,random_individual,11,0.09590592942534881,0.09237769002404374,1.1818021841843922,0.336204161261459,150
10,10,random_individual,12,0.08270794579679192,0.09561705163889235,1.185120138724645,0.3367471847243703,150
10,10,random_individual,13,0.06932025630261313,0.0917246821248873,1.1896037383874258,0.3390640415125372,150
10,10,random_individual,14,0.04388256063912073,0.10426294785173179,1.1969980359077455,0.33859527582288446,150
10,10,shapley_mean,0,0.16895667601629044,0.08532680917770274,1.1574472109476726,0.3354792989405957,30
10,10,shapley_mean,1,0.16981096920466374,0.09042955830685165,1.1574215253194173,0.3350012185054316,30
10,10,shapley_mean,2,0.1659775910334479,0.09097119950866284,1.1579767247041066,0.3358324171239434,30
10,10,shapley_mean,3,0.16524106967725122,0.09945053130299916,1.158640096584956,0.3369137900166844,30
10,10,shapley_mean,4,0.160873836766327,0.10297292923006718,1.1584485133488973,0.33657227815912055,30
10,10,shapley_mean,5,0.1576789224845224,0.104042369123892,1.159563038746516,0.33886884364167547,30
10,10,shapley_mean,6,0.1491340885974551,0.10403001369942419,1.1621151506900786,0.33760143157364064,30
10,10,shapley_mean,7,0.15074678234985767,0.10331524337353046,1.1620851933956147,0.33614733371172933,30
10,10,shapley_mean,8,0.14218783587742162,0.09597524376902002,1.1644647240638732,0.3381879414470805,30
10,10,shapley_mean,9,0.1463038061688325,0.11279678306696075,1.1642771204312643,0.3393728485731521,30
10,10,shapley_mean,10,0.1461308314020809,0.10587361855041794,1.1650117536385853,0.34092379326500555,30
10,10,shapley_mean,11,0.13498297758139785,0.11042433209969454,1.168777330716451,0.3415986188275907,30
10,10,shapley_mean,12,0.13124178907973336,0.11397134023293584,1.1700318932533265,0.34268378716544295,30
10,10,shapley_mean,13,0.11549903553223008,0.12103726844786974,1.1783344010512034,0.34203627461022584,30
10,10,shapley_mean,14,0.09350547840364483,0.10199356003142418,1.183524739742279,0.34455630176421836,30
10,20,random_individual,0,0.1489155218931613,0.08688434733186455,1.1565657744805018,0.34848942573853453,150
10,20,random_individual,1,0.1450948774580541,0.0848702885545704,1.1579878292481105,0.3475711772562116,150
10,20,random_individual,2,0.14380829835409797,0.08505308195955107,1.158768206834793,0.34783548629662286,150
10,20,random_individual,3,0.14055267794918702,0.08749794679586378,1.15901191731294,0.34795223281267207,150
10,20,random_individual,4,0.13721154585164752,0.09140045219694681,1.1595208172003428,0.3480493084019931,150
10,20,random_individual,5,0.1339959929780155,0.09426509021389441,1.1607178882757823,0.3487329827637408,150
10,20,random_individual,6,0.12510349809006271,0.09397245941622377,1.163553717136383,0.3499304600944619,150
10,20,random_individual,7,0.11820553599748135,0.09923525583883468,1.1649091162284215,0.3513835729598058,150
10,20,random_individual,8,0.10854743974780694,0.09875611237574072,1.167330173055331,0.3526193727310583,150
10,20,random_individual,9,0.10235419416992807,0.09499588521487326,1.1684797475735347,0.3536654907806135,150
10,20,random_individual,10,0.09438220130861422,0.0988231490413529,1.1714671337604523,0.35388448108436815,150
10,20,random_individual,11,0.07786161314788265,0.0917338049038186,1.1758252662420272,0.35766985032369036,150
10,20,random_individual,12,0.06788759886900221,0.09377329297659322,1.1786155728499095,0.35908579271370566,150
10,20,random_individual,13,0.05598936334154153,0.09931007403122782,1.1811085629463196,0.3587565214971854,150
10,20,random_individual,14,0.03451367901676613,0.11251520895728226,1.1871906906366347,0.3598657401592253,150
10,20,shapley_mean,0,0.1489155218931613,0.08807459933180191,1.1565657744805018,0.35326347594067214,30
10,20,shapley_mean,1,0.14662524946584557,0.08954622442088926,1.1580835670232772,0.3532709365919344,30
10,20,shapley_mean,2,0.13796321880766643,0.0909951347813623,1.161608206232389,0.35534834732679044,30
10,20,shapley_mean,3,0.1359087661204058,0.0874241315954743,1.1623606781164806,0.35769584616347244,30
10,20,shapley_mean,4,0.1373420467671879,0.08813711483037044,1.1617838323116303,0.357135040707536,30
10,20,shapley_mean,5,0.13550749664139297,0.09388226482720026,1.1623016138871511,0.35993314330979514,30
10,20,shapley_mean,6,0.1315418000584197,0.10176771774685776,1.1630311052004496,0.35695449892283737,30
10,20,shapley_mean,7,0.12216252032176232,0.10675639626862335,1.1649738192558288,0.35991291830159616,30
10,20,shapley_mean,8,0.12281580123838377,0.11083779005353593,1.163844328125318,0.361893639903642,30
10,20,shapley_mean,9,0.11168244388068597,0.10477585655472206,1.1669668177763621,0.36595882159945586,30
10,20,shapley_mean,10,0.11291340833733038,0.11114421607276692,1.1667185415824255,0.36578535018666597,30
10,20,shapley_mean,11,0.10950214058137901,0.11273137877487786,1.166076718767484,0.3624738751225417,30
10,20,shapley_mean,12,0.09626828135116816,0.11866463220443944,1.1706161191066107,0.3619581118230453,30
10,20,shapley_mean,13,0.08167430123907835,0.13120273834791923,1.175129692753156,0.3617970559171182,30
10,20,shapley_mean,14,0.07980942898308055,0.1288044207891736,1.17953356107076,0.3639461892263938,30
