target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,3,3014,1390,1390,8N05268,13,Southern 3,2.8632615134894722e-05,2532,0.16119854468835712,50
9,Sleneset,3,3014,1891,1891,8N13526,2,Træna,2.862830548816711e-05,2533,0.16119854468835712,50
9,Sleneset,3,3014,3107,3107,8N73435,11,Southern 1,2.855621023451438e-05,2534,0.16119854468835712,50
9,Sleneset,3,3014,631,631,8L89689,4,Gjerøy,2.8255913391295185e-05,2535,0.16119854468835712,50
9,Sleneset,3,3014,5145,5145,8934525,1,Myken,2.820733968766028e-05,2536,0.16119854468835712,50
9,Sleneset,3,3014,5522,5522,8981944,2,Træna,2.8048006374339075e-05,2537,0.16119854468835712,50
9,Sleneset,3,3014,2259,2259,8N14644,13,Southern 3,2.7986184710620533e-05,2538,0.16119854468835712,50
9,Sleneset,3,3014,3842,3842,8P11545,14,Southern 4,2.798083675035763e-05,2539,0.16119854468835712,50
9,Sleneset,3,3014,4112,4112,8P26622,2,Træna,2.7949816574944913e-05,2540,0.16119854468835712,50
9,Sleneset,3,3014,1567,1567,8N05715,6,Indre Kvarøy,2.7878602827814264e-05,2541,0.16119854468835712,50
9,Sleneset,3,3014,1718,1718,8N06671,14,Southern 4,2.7818007733851625e-05,2542,0.16119854468835712,50
9,Sleneset,3,3014,2136,2136,8N14517,11,Southern 1,2.748080529277566e-05,2543,0.16119854468835712,50
9,Sleneset,3,3014,1530,1530,8N05672,15,Southern 5,2.7306454643156312e-05,2544,0.16119854468835712,50
9,Sleneset,3,3014,250,250,8L48745,11,Southern 1,2.721178995008941e-05,2545,0.16119854468835712,50
9,Sleneset,3,3014,4413,4413,8730413,4,Gjerøy,2.7193148235741138e-05,2546,0.16119854468835712,50
9,Sleneset,3,3014,3182,3182,8N73512,7,Onøy og Lurøy,2.7064846190834187e-05,2547,0.16119854468835712,50
9,Sleneset,3,3014,811,811,8L89497,11,Southern 1,2.6942536197153898e-05,2548,0.16119854468835712,50
9,Sleneset,3,3014,3921,3921,8P14064,5,Hestmannøy,2.6889248255001218e-05,2549,0.16119854468835712,50
9,Sleneset,3,3014,2931,2931,8N72910,13,Southern 3,2.678663268529058e-05,2550,0.16119854468835712,50
9,Sleneset,3,3014,3811,3811,8P11400,14,Southern 4,2.674139233075662e-05,2551,0.16119854468835712,50
9,Sleneset,3,3014,2805,2805,8N42994,5,Hestmannøy,2.6423306646341377e-05,2552,0.16119854468835712,50
9,Sleneset,3,3014,3047,3047,8N73227,12,Southern 2,2.6231023900000482e-05,2553,0.16119854468835712,50
9,Sleneset,3,3014,2178,2178,8N14560,11,Southern 1,2.584725403774177e-05,2554,0.16119854468835712,50
9,Sleneset,3,3014,4554,4554,8732699,4,Gjerøy,2.5747658873418595e-05,2555,0.16119854468835712,50
9,Sleneset,3,3014,2488,2488,8N27825,6,Indre Kvarøy,2.5645082208063662e-05,2556,0.16119854468835712,50
9,Sleneset,3,3014,4286,4286,8651875,5,Hestmannøy,2.5616738162074353e-05,2557,0.16119854468835712,50
9,Sleneset,3,3014,1045,1045,8M72018,2,Træna,2.5600455761834172e-05,2558,0.16119854468835712,50
9,Sleneset,3,3014,5043,5043,8917814,3,Selvær,2.5512218964134915e-05,2559,0.16119854468835712,50
9,Sleneset,3,3014,629,629,8L89669,5,Hestmannøy,2.541686978126456e-05,2560,0.16119854468835712,50
9,Sleneset,3,3014,3474,3474,8N87362,5,Hestmannøy,2.535468736968048e-05,2561,0.16119854468835712,50
9,Sleneset,3,3014,3913,3913,8P14029,5,Hestmannøy,2.5327625281352137e-05,2562,0.16119854468835712,50
9,Sleneset,3,3014,199,199,8L48421,7,Onøy og Lurøy,2.4921993705384614e-05,2563,0.16119854468835712,50
9,Sleneset,3,3014,100,100,8L30372,2,Træna,2.4881154525267095e-05,2564,0.16119854468835712,50
9,Sleneset,3,3014,5004,5004,8887385,0,Nesøy,2.4670006568679458e-05,2565,0.16119854468835712,50
9,Sleneset,3,3014,3403,3403,8N73987,12,Southern 2,2.4609296501892226e-05,2566,0.16119854468835712,50
9,Sleneset,3,3014,5364,5364,8943597,8,Lovund,2.448381429531882e-05,2567,0.16119854468835712,50
9,Sleneset,3,3014,2940,2940,8N72919,13,Southern 3,2.4457730911349172e-05,2568,0.16119854468835712,50
9,Sleneset,3,3014,4057,4057,8P14960,14,Southern 4,2.4431423193960466e-05,2569,0.16119854468835712,50
9,Sleneset,3,3014,1212,1212,8N05003,4,Gjerøy,2.4391468153426436e-05,2570,0.16119854468835712,50
9,Sleneset,3,3014,3267,3267,8N73666,13,Southern 3,2.4348697737665986e-05,2571,0.16119854468835712,50
9,Sleneset,3,3014,5055,5055,8917953,2,Træna,2.4262252919823034e-05,2572,0.16119854468835712,50
9,Sleneset,3,3014,368,368,8L52551,4,Gjerøy,2.4181808102720774e-05,2573,0.16119854468835712,50
9,Sleneset,3,3014,1331,1331,8N05208,12,Southern 2,2.4103496759592462e-05,2574,0.16119854468835712,50
9,Sleneset,3,3014,673,673,8L89995,3,Selvær,2.396323856670762e-05,2575,0.16119854468835712,50
9,Sleneset,3,3014,5418,5418,8981198,11,Southern 1,2.385534841854303e-05,2576,0.16119854468835712,50
9,Sleneset,3,3014,4739,4739,8800031,5,Hestmannøy,2.3690583519841748e-05,2577,0.16119854468835712,50
9,Sleneset,3,3014,1015,1015,8M71587,1,Myken,2.3624519892532676e-05,2578,0.16119854468835712,50
9,Sleneset,3,3014,4837,4837,8800580,7,Onøy og Lurøy,2.354148522227692e-05,2579,0.16119854468835712,50
9,Sleneset,3,3014,2019,2019,8N13929,5,Hestmannøy,2.3433727355765994e-05,2580,0.16119854468835712,50
9,Sleneset,3,3014,2350,2350,8N14970,7,Onøy og Lurøy,2.3322398299484016e-05,2581,0.16119854468835712,50
9,Sleneset,3,3014,1770,1770,8N06830,11,Southern 1,2.3278931063304976e-05,2582,0.16119854468835712,50
9,Sleneset,3,3014,1684,1684,8N06480,12,Southern 2,2.3125179751167997e-05,2583,0.16119854468835712,50
9,Sleneset,3,3014,4307,4307,8681001,4,Gjerøy,2.2776693618973276e-05,2584,0.16119854468835712,50
9,Sleneset,3,3014,1319,1319,8N05196,13,Southern 3,2.2731224611625065e-05,2585,0.16119854468835712,50
9,Sleneset,3,3014,1622,1622,8N05894,11,Southern 1,2.2699422026638273e-05,2586,0.16119854468835712,50
9,Sleneset,3,3014,292,292,8L52231,3,Selvær,2.2355295334201968e-05,2587,0.16119854468835712,50
9,Sleneset,3,3014,1672,1672,8N06469,12,Southern 2,2.2203689671215222e-05,2588,0.16119854468835712,50
9,Sleneset,3,3014,1937,1937,8N13641,14,Southern 4,2.201262512138896e-05,2589,0.16119854468835712,50
9,Sleneset,3,3014,1289,1289,8N05165,12,Southern 2,2.1736451215068344e-05,2590,0.16119854468835712,50
9,Sleneset,3,3014,3395,3395,8N73979,12,Southern 2,2.1691733081943415e-05,2591,0.16119854468835712,50
