target_island,method,removal_fraction,cal_fraction,corr_eval,mse_adj,n_train_remaining,seed,epochs_trained
0,inrun_addition,0.1,0.2,-0.07103074342012405,1.369421362876892,558,10,12
0,inrun_addition,0.30000000000000004,0.2,0.09745548665523529,2.334167957305908,1673,10,12
0,inrun_addition,0.5,0.2,0.10566839575767517,2.0238254070281982,2789,10,12
0,inrun_addition,0.1,0.2,0.12885871529579163,1.345079779624939,558,11,12
0,inrun_addition,0.30000000000000004,0.2,0.1428038328886032,2.24389910697937,1673,11,12
0,inrun_addition,0.5,0.2,0.10115308314561844,2.085399627685547,2789,11,12
0,inrun_addition,0.1,0.2,0.043060969561338425,1.3533793687820435,558,12,12
0,inrun_addition,0.30000000000000004,0.2,-0.20001700520515442,2.35714054107666,1673,12,12
0,inrun_addition,0.5,0.2,0.05014502629637718,1.9718364477157593,2789,12,12
0,random_addition,0.1,0.2,-0.07103074342012405,1.369421362876892,558,10,12
0,random_addition,0.30000000000000004,0.2,-0.0033499649725854397,1.3582038879394531,1673,10,12
0,random_addition,0.5,0.2,0.16601654887199402,1.3288599252700806,2789,10,12
0,random_addition,0.1,0.2,0.12885871529579163,1.345079779624939,558,11,12
0,random_addition,0.30000000000000004,0.2,0.0662374272942543,1.35285222530365,1673,11,12
0,random_addition,0.5,0.2,0.21567384898662567,1.3481098413467407,2789,11,12
0,random_addition,0.1,0.2,0.043060969561338425,1.3533793687820435,558,12,12
0,random_addition,0.30000000000000004,0.2,-4.200195689918473e-06,1.3715720176696777,1673,12,12
0,random_addition,0.5,0.2,-0.07293810695409775,1.3665968179702759,2789,12,12
