ringnr,island,score,rank
8M72909,5,-2.1596094371372212e-05,0
8L48609,6,-2.0737546739500087e-05,1
8934064,5,-2.052382512782804e-05,2
8981026,5,-2.043319727761118e-05,3
8681409,5,-1.9028808906101808e-05,4
8747636,4,-1.8625251301686524e-05,5
8747741,6,-1.7983605336758255e-05,6
8730451,1,-1.7485244101192936e-05,7
8N28695,5,-1.7166455217337754e-05,8
8N14959,5,-1.6581138346291985e-05,9
8L30599,5,-1.6324031895730877e-05,10
8N42952,4,-1.5814410417907967e-05,11
8N42289,5,-1.5686715150704432e-05,12
8939150,4,-1.4394963612271804e-05,13
8309285,5,-1.4367515596443353e-05,14
8L19505,3,-1.4101697771835721e-05,15
8309251,5,-1.3765069788509577e-05,16
8P14278,4,-1.3696956237535837e-05,17
8943470,2,-1.3517476745689441e-05,18
8800375,4,-1.351054696359488e-05,19
8N14981,6,-1.31609907455895e-05,20
8N14220,5,-1.3073417605271927e-05,21
8N42642,7,-1.2981304665419974e-05,22
8N14980,6,-1.2812972721599717e-05,23
8L64795,13,-1.2734847284707464e-05,24
8N05220,12,-1.2638262307378544e-05,25
8N42771,10,-1.2556080751708539e-05,26
8N28432,2,-1.2477345627488812e-05,27
8816929,4,-1.2349783013032349e-05,28
8M31713,5,-1.2309506925499614e-05,29
8800059,4,-1.2284587588993706e-05,30
8L26595,6,-1.2269143232435397e-05,31
8P14622,2,-1.2229651032044226e-05,32
8M31435,4,-1.211911016125473e-05,33
8573989,3,-1.208871037175538e-05,34
8794305,4,-1.2015889222549915e-05,35
8934893,5,-1.1882128354129485e-05,36
8N05127,14,-1.1793109990450611e-05,37
8N14588,11,-1.1741839804597747e-05,38
8N73626,11,-1.1681396240231279e-05,39
8M31356,5,-1.165897318284798e-05,40
8887462,1,-1.157696142212302e-05,41
8939379,7,-1.1509925305886504e-05,42
8L89326,10,-1.1473000214027311e-05,43
8N73636,13,-1.1422570985291124e-05,44
8N87547,11,-1.1387900260456563e-05,45
8N14591,11,-1.1345402056709537e-05,46
8N14937,4,-1.1302144715350297e-05,47
8N73604,14,-1.1288488184904156e-05,48
8L48310,5,-1.1187273627221036e-05,49
8N27307,5,-1.1169333573133658e-05,50
8573603,5,-1.116441706983672e-05,51
8L64142,8,-1.1156365059085278e-05,52
8N14017,7,-1.1071056041750863e-05,53
8N42734,4,-1.1064025696293917e-05,54
8M71823,5,-1.1012982524998302e-05,55
8816921,6,-1.0996722933811105e-05,56
8N87574,11,-1.090398441075584e-05,57
8N73681,13,-1.0883237014652625e-05,58
8651952,5,-1.0879068285545833e-05,59
8N87057,5,-1.0875826903606211e-05,60
8N05167,12,-1.0717159162384635e-05,61
8L48592,5,-1.0705094074717715e-05,62
8N05203,12,-1.0698717732547459e-05,63
8N72348,6,-1.0670607161342853e-05,64
8P11530,15,-1.0656762841553215e-05,65
8939762,5,-1.0551389313526806e-05,66
8730584,5,-1.0548055579409989e-05,67
8939376,7,-1.0499536850086147e-05,68
8N28832,5,-1.049321619075486e-05,69
8N73624,13,-1.0483830695881439e-05,70
