ringnr,island,score,rank
8N72670,4,-6.88605132381781e-06,152
8N06889,11,-6.8819199441350065e-06,153
8747517,5,-6.8689751060446724e-06,154
8N05168,12,-6.8646409090433735e-06,155
8N28499,2,-6.847662916698027e-06,156
8N13931,5,-6.811270850448636e-06,157
8857276,10,-6.80299808664131e-06,158
8681361,4,-6.786138328607194e-06,159
8N73230,12,-6.780378498660866e-06,160
8747260,6,-6.776737791369669e-06,161
8N72673,11,-6.7749701884167735e-06,162
8651870,5,-6.759779807907762e-06,163
8L19656,3,-6.751363798684906e-06,164
8939375,7,-6.73260046823998e-06,165
8N27095,2,-6.731493158440571e-06,166
8681017,4,-6.731069788656896e-06,167
8N05297,13,-6.71578982291976e-06,168
8857104,7,-6.712039521516999e-06,169
8943704,11,-6.701687198074069e-06,170
8N72394,6,-6.658881375187775e-06,171
8800574,5,-6.65217930873041e-06,172
8N14803,9,-6.6327052081760485e-06,173
8N05567,3,-6.6154780142824166e-06,174
8N05263,13,-6.60270643493277e-06,175
8N73951,12,-6.574523013114231e-06,176
8L19610,9,-6.569938250322593e-06,177
8N05686,15,-6.542642950080335e-06,178
8917946,8,-6.528144695039373e-06,179
8P14852,14,-6.506459612865001e-06,180
8P14811,15,-6.503980785055319e-06,181
8L64560,12,-6.5021199588954914e-06,182
8N72496,2,-6.495324669231195e-06,183
8N14227,5,-6.483593551820377e-06,184
8N27981,10,-6.458140887843911e-06,185
8L52210,4,-6.450147793657379e-06,186
8939360,5,-6.435698196582962e-06,187
8N87325,6,-6.432027930713957e-06,188
8943014,10,-6.4303444560209755e-06,189
8857269,1,-6.408441549865529e-06,190
8L64272,5,-6.404565283446573e-06,191
8N73930,12,-6.399137419066392e-06,192
8L48336,5,-6.392695468093734e-06,193
8L52603,9,-6.3901347857608926e-06,194
8L30468,12,-6.38964593235869e-06,195
8747713,7,-6.386642780853435e-06,196
8N27031,14,-6.370381470333086e-06,197
8747879,1,-6.369386937876698e-06,198
8N73657,13,-6.351735009957338e-06,199
8800497,4,-6.341383596009109e-06,200
8N05878,11,-6.3263582887884695e-06,201
8N05445,6,-6.309686796157621e-06,202
8N87774,5,-6.30032445769757e-06,203
8N06851,11,-6.282819413172547e-06,204
8M72737,4,-6.279172339418437e-06,205
8681240,3,-6.26384553470416e-06,206
8L89202,5,-6.258364919631276e-06,207
