target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
4,5,Hestmannøy,0.16816518513657208,0.00015599738880943607,1078,1,4
4,0,Nesøy,0.04311712409304201,0.0003623287738911093,119,2,1
4,8,Lovund,0.029510728734209356,0.00018677676414056554,158,3,2
4,1,Myken,0.01685647581775061,0.00018322256323641966,92,4,3
4,6,Indre Kvarøy,0.014750331710344055,4.1433516040292286e-05,356,5,5
4,12,Southern 2,0.00594896733093629,1.4984804360041033e-05,397,6,7
4,9,Sleneset,0.003774882388111876,2.2740255350071544e-05,166,7,6
4,11,Southern 1,0.002987009097467754,5.123514746942974e-06,583,8,8
4,2,Træna,-0.008301596725685846,-2.8430125772896733e-05,292,9,9
4,15,Southern 5,-0.010216095304072031,-5.0574729228079364e-05,202,10,10
4,7,Onøy og Lurøy,-0.02674396124220176,-0.00010325853761467861,259,11,12
4,3,Selvær,-0.03170398455585131,-0.00016342260080335724,194,12,14
4,13,Southern 3,-0.036094289278940934,-6.180528986120024e-05,584,13,11
4,14,Southern 4,-0.06854657445228035,-0.00014104233426395134,486,14,13
4,10,Aldra,-0.0726628284465674,-0.0004200163494021237,173,15,15
