trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,3,pevmean_ga,50,0.149003931849976,,0.9447681903839112,1
body_mass,3,pevmean_ga,100,0.2363716701187442,,0.9101547002792358,1
body_mass,3,pevmean_ga,250,0.2423300395050502,,0.8892611265182495,1
body_mass,3,pevmean_ga,500,0.1474953879409445,,0.9106358885765076,1
body_mass,3,pevmean_ga,2000,0.240612838797311,,0.8886533379554749,1
body_mass,3,pevmean_ga,3500,0.2179449998942144,,0.8947381973266602,1
body_mass,3,pevmean_ga,5503,0.218658316114165,,0.8971816897392273,1
body_mass,3,random_individual,50,0.04226087703525474,0.06942285463571023,0.9377186298370361,5
body_mass,3,random_individual,100,0.015242579856487942,0.07068616073310258,0.9294481039047241,5
body_mass,3,random_individual,250,0.09808736155249234,0.026222801503957175,0.92003915309906,5
body_mass,3,random_individual,500,0.09142900656063398,0.017026222508439062,0.9260291457176208,5
body_mass,3,random_individual,2000,0.17621810948936686,0.07234766690751228,0.9053097367286682,5
body_mass,3,random_individual,3500,0.21606822813320195,0.024010173969032052,0.891653549671173,5
body_mass,3,random_individual,5503,0.218658316114165,,0.8971816897392273,1
