n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
12,3,567,-0.0372994576501106,1.023000955581665,random_individual,2,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,-0.0189298632907489,1.0213947296142578,random_individual,2,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.0107999261850048,1.0148667097091677,random_individual,2,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.0504904730766166,1.0056482553482056,random_individual,2,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1006541008179067,0.9936026334762572,random_individual,2,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.0968458744441212,0.991660177707672,random_individual,2,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1186172392104485,0.9845120310783386,random_individual,2,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1410575971764225,0.9800212979316713,random_individual,2,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1227647424673389,0.9818584322929382,random_individual,2,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1405528523050444,0.9768877625465392,random_individual,2,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1497907574332055,0.9719483852386476,random_individual,2,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.169792813347601,0.9657703042030334,random_individual,2,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1809296264514658,0.9624281525611876,random_individual,2,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.2109647894358659,0.9998775720596312,random_individual,3,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.244715191660316,0.99524986743927,random_individual,3,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.2643602532367508,0.9936269521713256,random_individual,3,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.1966537313956069,0.9838443994522096,random_individual,3,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.2022510737366132,0.9809688329696656,random_individual,3,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1707009260995921,0.9804295301437378,random_individual,3,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1860625225612522,0.96744304895401,random_individual,3,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.1919098630413019,0.964953064918518,random_individual,3,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1811364656486205,0.9630202054977416,random_individual,3,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1710297838941699,0.96628600358963,random_individual,3,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1854566104741918,0.9633543491363524,random_individual,3,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1743797560103311,0.9654455780982972,random_individual,3,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1756522985506006,0.9641653895378112,random_individual,3,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1816417630614879,0.9611771702766418,random_individual,3,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1809296264514658,0.9624281525611876,random_individual,3,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.1073434800285497,0.9931213855743408,random_individual,4,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.107220811701119,0.9932805299758912,random_individual,4,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.091562393622542,0.9950048923492432,random_individual,4,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.0753508558395326,1.0023709535598757,random_individual,4,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.1251535396448201,0.9950326085090636,random_individual,4,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1278784888452009,0.98685622215271,random_individual,4,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1193755362469597,0.9842479825019836,random_individual,4,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.1418890305961297,0.9796306490898132,random_individual,4,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1551767998140547,0.976478397846222,random_individual,4,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1376866593016354,0.9800530672073364,random_individual,4,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1115328674554574,0.9834662079811096,random_individual,4,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1332397850443803,0.9796605110168456,random_individual,4,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1586129397620498,0.9719632267951964,random_individual,4,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1687970443281427,0.9672541618347168,random_individual,4,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1809296264514658,0.9624281525611876,random_individual,4,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,194,0.0540324424828741,1.0288714170455933,shapley_mean,-1,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,0.1388262677108585,1.0228097438812256,shapley_mean,-1,2,313,9,Sleneset,5,1710782713,10,0.05
12,3,486,0.1585776105963773,1.022151231765747,shapley_mean,-1,3,486,9,Sleneset,5,1710782713,10,0.05
11,4,778,0.0826314571559029,1.0278700590133667,shapley_mean,-1,4,778,9,Sleneset,5,1710782713,10,0.05
10,5,1264,0.1251637562862221,1.0196658372879028,shapley_mean,-1,5,1264,9,Sleneset,5,1710782713,10,0.05
