n_permutations,cal_fraction,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,v_full_mean,gain_over_baseline,n_runs
10,0.05,0,15,0.1681867897569466,0.1681867897569466,-0.0201739876678264,0.0,10
10,0.1,0,15,0.14963538766163936,0.14963538766163936,0.3044975276575738,0.0,10
10,0.15,0,15,0.16392069701149034,0.16392069701149034,0.14326073373322545,0.0,10
10,0.2,0,15,0.17061602499655532,0.17061602499655532,0.12141378040585904,0.0,10
10,0.25,0,15,0.15120179385518587,0.15120179385518587,0.17554647638785154,0.0,10
25,0.05,0,15,0.1681867897569466,0.1681867897569466,-0.0201739876678264,0.0,10
25,0.1,0,15,0.14963538766163936,0.14963538766163936,0.3044975276575738,0.0,10
25,0.15,0,15,0.16392069701149034,0.16392069701149034,0.14326073373322545,0.0,10
25,0.2,0,15,0.17061602499655532,0.17061602499655532,0.12141378040585904,0.0,10
25,0.25,0,15,0.15120179385518587,0.15120179385518587,0.17554647638785154,0.0,10
50,0.05,0,15,0.1681867897569466,0.1681867897569466,-0.0201739876678264,0.0,10
50,0.1,0,15,0.14963538766163936,0.14963538766163936,0.3044975276575738,0.0,10
50,0.15,0,15,0.16392069701149034,0.16392069701149034,0.14326073373322545,0.0,10
50,0.2,0,15,0.17061602499655532,0.17061602499655532,0.12141378040585904,0.0,10
50,0.25,0,15,0.15120179385518587,0.15120179385518587,0.17554647638785154,0.0,10
75,0.05,0,15,0.1681867897569466,0.1681867897569466,-0.0201739876678264,0.0,10
75,0.1,0,15,0.14963538766163936,0.14963538766163936,0.3044975276575738,0.0,10
75,0.15,0,15,0.16392069701149034,0.16392069701149034,0.14326073373322545,0.0,10
75,0.2,0,15,0.17061602499655532,0.17061602499655532,0.12141378040585904,0.0,10
75,0.25,0,15,0.15120179385518587,0.15120179385518587,0.17554647638785154,0.0,10
100,0.05,0,15,0.1681867897569466,0.1681867897569466,-0.0201739876678264,0.0,10
100,0.1,0,15,0.14963538766163936,0.14963538766163936,0.3044975276575738,0.0,10
100,0.15,0,15,0.16392069701149034,0.16392069701149034,0.14326073373322545,0.0,10
100,0.2,0,15,0.17061602499655532,0.17061602499655532,0.12141378040585904,0.0,10
100,0.25,0,15,0.15120179385518587,0.15120179385518587,0.17554647638785154,0.0,10
