n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
2,360,-0.011508113704621792,1.4083046913146973,random_individual,3,0,1,1014
3,452,0.03360350802540779,1.448710560798645,random_individual,3,0,1,1014
4,1010,0.017649037763476372,1.4041646718978882,random_individual,3,0,1,1014
5,1366,0.17014913260936737,1.362706184387207,random_individual,3,0,1,1014
6,1763,0.14265146851539612,1.3952412605285645,random_individual,3,0,1,1014
7,2346,0.05832890421152115,1.4096797704696655,random_individual,3,0,1,1014
8,2548,0.16649562120437622,1.3858987092971802,random_individual,3,0,1,1014
9,2706,0.12793000042438507,1.4043623208999634,random_individual,3,0,1,1014
10,3192,0.08372627943754196,1.4228496551513672,random_individual,3,0,1,1014
11,4270,0.17649368941783905,1.3799123764038086,random_individual,3,0,1,1014
12,4854,0.20734086632728577,1.3795146942138672,random_individual,3,0,1,1014
13,5027,0.01528583001345396,1.4135241508483887,random_individual,3,0,1,1014
14,5319,0.017272425815463066,1.3938266038894653,random_individual,3,0,1,1014
15,5578,0.3670826256275177,1.3382447957992554,random_individual,3,0,1,1014
1,194,-0.08945662528276443,1.4294947385787964,random_individual,4,0,1,1014
2,360,-0.11481331288814545,1.4221090078353882,random_individual,4,0,1,1014
3,452,-0.057889148592948914,1.4054301977157593,random_individual,4,0,1,1014
4,1010,-0.059915974736213684,1.5160751342773438,random_individual,4,0,1,1014
5,1366,-0.0020038452930748463,1.464138388633728,random_individual,4,0,1,1014
6,1763,0.12144265323877335,1.420089602470398,random_individual,4,0,1,1014
7,2346,0.22059641778469086,1.3753446340560913,random_individual,4,0,1,1014
8,2548,0.09924425184726715,1.4336963891983032,random_individual,4,0,1,1014
9,2706,0.04483989626169205,1.4023367166519165,random_individual,4,0,1,1014
10,3192,0.218695729970932,1.4011424779891968,random_individual,4,0,1,1014
11,4270,0.11095807701349258,1.4104644060134888,random_individual,4,0,1,1014
12,4854,0.11272648721933365,1.3903056383132935,random_individual,4,0,1,1014
13,5027,-0.11815943568944931,1.4336885213851929,random_individual,4,0,1,1014
14,5319,0.10857792943716049,1.4351305961608887,random_individual,4,0,1,1014
15,5578,0.12970368564128876,1.3786110877990723,random_individual,4,0,1,1014
1,92,0.11978502571582794,1.3642865419387817,shapley_mean,-1,0,2,2014
2,258,0.1356973797082901,1.3540815114974976,shapley_mean,-1,0,2,2014
3,431,0.1943420171737671,1.3174346685409546,shapley_mean,-1,0,2,2014
4,625,0.19896885752677917,1.3221831321716309,shapley_mean,-1,0,2,2014
5,1209,0.16303583979606628,1.3215584754943848,shapley_mean,-1,0,2,2014
6,1565,0.21590833365917206,1.292920708656311,shapley_mean,-1,0,2,2014
7,2643,0.26912567019462585,1.324894905090332,shapley_mean,-1,0,2,2014
8,3129,0.2687254250049591,1.3300052881240845,shapley_mean,-1,0,2,2014
9,3331,0.24484595656394958,1.3726491928100586,shapley_mean,-1,0,2,2014
10,3914,0.23206281661987305,1.365847110748291,shapley_mean,-1,0,2,2014
11,4311,0.2512268126010895,1.337037205696106,shapley_mean,-1,0,2,2014
12,4469,0.2446722537279129,1.3256641626358032,shapley_mean,-1,0,2,2014
13,5027,0.262778639793396,1.3249496221542358,shapley_mean,-1,0,2,2014
