method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
random_individual,0,0.21112015068531037,0.06353261049097332,1.322563304901123,0.09701274473986177,25
random_individual,1,0.17936749756336212,0.0846400790475936,1.344464659690857,0.07672577433649265,25
random_individual,2,0.1764261268405244,0.08791684778627398,1.3443525123596192,0.08018453826781298,25
random_individual,3,0.1971526810899377,0.07401902459609165,1.343734016418457,0.0966947223069359,25
random_individual,4,0.17059640422463418,0.09345857187329412,1.3334346151351928,0.08332726427871362,25
random_individual,5,0.1872765488177538,0.08132264382411585,1.3127562665939332,0.0846468930899677,25
random_individual,6,0.1843350525200367,0.08240540981494306,1.3389109992980956,0.10495779938177281,25
random_individual,7,0.16355726674199103,0.10000035785314637,1.32157151222229,0.09070915784452908,25
random_individual,8,0.14928214237093926,0.07989858885625145,1.34202091217041,0.11006289947609485,25
random_individual,9,0.1433268721215427,0.0923641152019618,1.332753095626831,0.1011123940915926,25
random_individual,10,0.1120915624499321,0.1268795664778024,1.3342734718322753,0.11470082316382782,25
random_individual,11,0.08931100208312273,0.09717829117347689,1.3467962503433228,0.12407544772125727,25
random_individual,12,0.10477879907935858,0.1439933102941425,1.318909592628479,0.11070643906644619,25
random_individual,13,0.018771601505577565,0.14516603964828162,1.3279506492614745,0.09903484193416685,25
random_individual,14,0.09128985732793808,0.15207813735266948,1.3204061794281006,0.10545701270249516,25
shapley_mean,0,0.20436717867851256,0.09119588461501059,1.3221450567245483,0.07975872285245852,5
shapley_mean,1,0.25087493658065796,0.02254304398170355,1.3338274240493775,0.0239657412860667,5
shapley_mean,2,0.2089216113090515,0.08231295871940317,1.314646100997925,0.07543196520189942,5
shapley_mean,3,0.20635750889778137,0.06586953627107987,1.3208941698074341,0.08498658384468383,5
shapley_mean,4,0.19610924124717713,0.09259615252811115,1.323486852645874,0.08029651059731077,5
shapley_mean,5,0.18884870633482934,0.10649071705183655,1.3209399700164794,0.07641550506426244,5
shapley_mean,6,0.2381228744983673,0.04829963350066282,1.3402981996536254,0.02207846095753601,5
shapley_mean,7,0.23189135193824767,0.054746169376990096,1.3330626487731934,0.03290521634148903,5
shapley_mean,8,0.22928256690502166,0.05299848656718524,1.33649582862854,0.04512607260798585,5
shapley_mean,9,0.1982203610241413,0.1111176333869336,1.2991813182830811,0.07408268194337732,5
shapley_mean,10,0.22402044832706453,0.061585653215408626,1.3238027572631836,0.03670796472325612,5
shapley_mean,11,0.20064787454903127,0.11344503570801337,1.3105115175247193,0.06670206528456375,5
shapley_mean,12,0.15408786088228227,0.06777894636943292,1.3271248817443848,0.08114742497835337,5
shapley_mean,13,0.14612630307674407,0.05106540262243118,1.3379545211791992,0.08988489148675521,5
shapley_mean,14,0.12942674309015273,0.029324731408512567,1.341489887237549,0.09592815144461836,5
