method,n_islands,corr_mean,corr_std,mse_mean,mse_std,n_rows
random_individual,1,0.10481497427914292,0.11613723248474729,1.3074230480194091,0.10541619940681463,25
random_individual,2,0.08542678564786911,0.11122645764955474,1.3252181577682496,0.10351640089226691,25
random_individual,3,0.10864883996546268,0.12120818191125976,1.313894543647766,0.119480924613928,25
random_individual,4,0.10006752587854863,0.101277189331804,1.3321858882904052,0.11217334600409266,25
random_individual,5,0.1351205553673208,0.09795917214586018,1.3127998971939088,0.09704039672433284,25
random_individual,6,0.13076975814998149,0.09850396875743281,1.359731206893921,0.10536227757452216,25
random_individual,7,0.1377322438172996,0.11094702936649965,1.3397784805297852,0.09598193923385724,25
random_individual,8,0.14840032279491425,0.08436755741129041,1.3566781711578368,0.10428213561711071,25
random_individual,9,0.16866588354110718,0.06516765187857827,1.3392063617706298,0.10134590361882224,25
random_individual,10,0.153033234491013,0.09298759389713969,1.343028244972229,0.10565397590086946,25
random_individual,11,0.15901074774563312,0.06164292865510648,1.3562231540679932,0.09635600022044041,25
random_individual,12,0.19364555053412913,0.062741513474986,1.3431631660461425,0.09184076825570058,25
random_individual,13,0.1669386349245906,0.08130980045362972,1.3574338102340697,0.09945556583698476,25
random_individual,14,0.1995870139449835,0.05430095429784867,1.3574928045272827,0.09164302028810187,25
random_individual,15,0.20571022599935532,0.06663688176917781,1.3440999031066894,0.07988422923724778,25
shapley_mean,1,0.12942674309015273,0.029324731408512567,1.341489887237549,0.09592815144461836,5
shapley_mean,2,0.14612630307674407,0.05106540262243118,1.3379545211791992,0.08988489148675521,5
shapley_mean,3,0.15408786088228227,0.06777894636943292,1.3271248817443848,0.08114742497835337,5
shapley_mean,4,0.20064787454903127,0.11344503570801337,1.3105115175247193,0.06670206528456375,5
shapley_mean,5,0.22402044832706453,0.061585653215408626,1.3238027572631836,0.03670796472325612,5
shapley_mean,6,0.1982203610241413,0.1111176333869336,1.2991813182830811,0.07408268194337732,5
shapley_mean,7,0.22928256690502166,0.05299848656718524,1.33649582862854,0.04512607260798585,5
shapley_mean,8,0.23189135193824767,0.054746169376990096,1.3330626487731934,0.03290521634148903,5
shapley_mean,9,0.2381228744983673,0.04829963350066282,1.3402981996536254,0.02207846095753601,5
shapley_mean,10,0.18884870633482934,0.10649071705183655,1.3209399700164794,0.07641550506426244,5
shapley_mean,11,0.19610924124717713,0.09259615252811115,1.323486852645874,0.08029651059731077,5
shapley_mean,12,0.20635750889778137,0.06586953627107987,1.3208941698074341,0.08498658384468383,5
shapley_mean,13,0.2089216113090515,0.08231295871940317,1.314646100997925,0.07543196520189942,5
shapley_mean,14,0.25087493658065796,0.02254304398170355,1.3338274240493775,0.0239657412860667,5
shapley_mean,15,0.20436717867851256,0.09119588461501059,1.3221450567245483,0.07975872285245852,5
