source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
0,1,Nesøy,Myken,21.89997585625237,0.00022371695175240483,3,2.2371695175240482,Positive
0,2,Nesøy,Træna,26.346499755857668,0.0002850905694286407,3,2.850905694286407,Positive
0,3,Nesøy,Selvær,18.088059525853904,8.110561347562379e-05,3,0.811056134756238,Positive
0,4,Nesøy,Gjerøy,17.281149760859467,0.00015208508565035786,3,1.5208508565035785,Positive
0,5,Nesøy,Hestmannøy,9.534789809742941,0.00014286430330672954,3,1.4286430330672955,Positive
0,6,Nesøy,Indre Kvarøy,16.600488854328603,8.390038758283333e-05,3,0.8390038758283334,Positive
0,7,Nesøy,Onøy og Lurøy,21.029337005170788,-2.3252893829433337e-05,3,-0.23252893829433338,Negative
0,8,Nesøy,Lovund,27.16254255064661,0.00020628094631061796,3,2.0628094631061797,Positive
0,9,Nesøy,Sleneset,23.861940525088542,0.00013263549628136665,3,1.3263549628136664,Positive
0,10,Nesøy,Aldra,26.017997290856243,0.00013539964216147373,3,1.3539964216147373,Positive
0,11,Nesøy,Leka,172.07821192780375,-1.1156741110540697e-06,3,-0.011156741110540698,Negative
0,12,Nesøy,Vega,107.2382528330402,0.00021641194338493637,3,2.164119433849364,Positive
0,13,Nesøy,Vikna,199.79729199077198,-2.689842442948509e-05,3,-0.2689842442948509,Negative
0,14,Nesøy,Lauvøya,320.11818234304565,7.639324372895387e-05,3,0.7639324372895387,Positive
1,0,Myken,Nesøy,21.89997585625237,4.2563560995606616e-05,3,0.42563560995606614,Positive
1,2,Myken,Træna,33.94384131075169,0.00037568677708193333,3,3.7568677708193334,Positive
1,3,Myken,Selvær,21.98925342379559,0.00033603713591682914,3,3.3603713591682913,Positive
1,4,Myken,Gjerøy,28.895620061767442,0.00015147228512663334,3,1.5147228512663333,Positive
1,5,Myken,Hestmannøy,29.52729444660615,4.115308645200001e-05,3,0.4115308645200001,Positive
1,6,Myken,Indre Kvarøy,36.88857339434147,-2.4146286662779803e-05,3,-0.24146286662779803,Negative
1,7,Myken,Onøy og Lurøy,42.830052595587574,0.00017287575606236586,3,1.7287575606236585,Positive
1,8,Myken,Lovund,44.544783971350654,0.000136591769186961,3,1.36591769186961,Positive
1,9,Myken,Sleneset,44.68134443444084,0.0003540123087097,3,3.540123087097,Positive
1,10,Myken,Aldra,46.75317456724916,-6.313733915740457e-05,3,-0.6313733915740457,Negative
1,11,Myken,Leka,190.314131621147,-0.00027888943259180005,3,-2.7888943259180006,Negative
1,12,Myken,Vega,125.23654512152534,-0.00020279540841833382,3,-2.0279540841833383,Negative
1,13,Myken,Vikna,216.53801730892877,0.00019426312882711173,3,1.9426312882711174,Positive
1,14,Myken,Lauvøya,336.1969051410113,-0.00015462406565652562,3,-1.5462406565652562,Negative
2,0,Træna,Nesøy,26.346499755857668,0.00018459879981346105,3,1.8459879981346106,Positive
2,1,Træna,Myken,33.94384131075169,0.0001714485725300201,3,1.714485725300201,Positive
2,3,Træna,Selvær,12.001480357297899,0.0004671305706465667,3,4.671305706465667,Positive
2,4,Træna,Gjerøy,43.61110539152316,1.596198503731198e-05,3,0.1596198503731198,Positive
2,5,Træna,Hestmannøy,33.75813562529129,0.00011798033239162626,3,1.1798033239162626,Positive
2,6,Træna,Indre Kvarøy,38.30629687683305,-4.0931238668397e-05,3,-0.40931238668397,Negative
2,7,Træna,Onøy og Lurøy,36.154615005776925,3.134459263697885e-05,3,0.31344592636978846,Positive
2,8,Træna,Lovund,18.84306694501531,0.00010454210874345642,3,1.0454210874345642,Positive
2,9,Træna,Sleneset,27.459604159299595,9.424787831710376e-05,3,0.9424787831710376,Positive
2,10,Træna,Aldra,44.52470617150215,8.484223025274656e-05,3,0.8484223025274655,Positive
2,11,Træna,Leka,158.63916738173316,-2.834030825604126e-05,3,-0.2834030825604126,Negative
2,12,Træna,Vega,93.83014047761338,5.0211996818568475e-05,3,0.5021199681856847,Positive
2,13,Træna,Vikna,183.5702186335209,0.00010850586965858171,3,1.085058696585817,Positive
2,14,Træna,Lauvøya,302.7617332650209,-6.348044195770678e-05,3,-0.6348044195770678,Negative
3,0,Selvær,Nesøy,18.088059525853904,6.969120339017351e-05,3,0.6969120339017352,Positive
3,1,Selvær,Myken,21.98925342379559,0.00031407580350930074,3,3.1407580350930075,Positive
3,2,Selvær,Træna,12.001480357297899,0.0005018880230707409,3,5.018880230707409,Positive
3,4,Selvær,Gjerøy,34.843669936832505,-9.99982420501022e-05,3,-0.9999824205010219,Negative
3,5,Selvær,Hestmannøy,27.160136758982777,-1.6798864919788664e-05,3,-0.16798864919788664,Negative
3,6,Selvær,Indre Kvarøy,33.320994417271756,0.0001192866089669432,3,1.192866089669432,Positive
3,7,Selvær,Onøy og Lurøy,34.222179676197506,5.186180994792085e-06,3,0.05186180994792085,Positive
3,8,Selvær,Lovund,25.2486784861134,0.0002740922697134,3,2.7409226971339997,Positive
3,9,Selvær,Sleneset,29.71691369237924,0.00016044115665851062,3,1.6044115665851062,Positive
3,10,Selvær,Aldra,41.47007846003094,-1.2458904294788262e-05,3,-0.12458904294788262,Negative
3,11,Selvær,Leka,169.39819240525358,-7.366050221204218e-07,3,-0.007366050221204218,Negative
3,12,Selvær,Vega,104.39443539345504,-9.52208849640661e-05,3,-0.952208849640661,Negative
3,13,Selvær,Vikna,194.9532977258153,9.803160275608111e-05,3,0.9803160275608112,Positive
3,14,Selvær,Lauvøya,314.3929669088815,4.221535415040996e-05,3,0.4221535415040996,Positive
