trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,best_n_pcs,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed
thr_wing,1,0,Nesøy,20,5515,118,65344,4500,38631.05061034435,0.203142241791409,0.19128541634498297,0.9739188551902771,0.6434950069524348,500.2950494349934,100
thr_wing,2,1,Myken,22,5541,92,65344,5000,49095.77734495326,0.1964167230298253,0.24906047965680267,0.9881325364112854,0.7100615908857435,338.86596285784617,100
thr_wing,3,2,Træna,23,5347,286,65344,2500,98639.25464916464,0.1815766837025841,0.24593207148258972,0.8472139239311218,0.31134539493359625,271.12914919806644,100
thr_wing,4,3,Selvær,24,5442,191,65344,4000,52989.09398017167,0.17535250182932777,0.36135777853359635,0.953777551651001,0.5093897581100464,376.992079840973,100
thr_wing,5,4,Gjerøy,26,5080,553,65344,4500,25834.069970025284,0.20346181290920765,0.09884426998834527,0.9739188551902771,0.5868104849942029,525.1474025989883,100
thr_wing,6,5,Hestmannøy,27,4578,1055,65344,5000,31921.41625147768,0.19224485704099373,0.15752544440237573,0.9881325364112854,0.6083874951582402,351.3829045230523,100
thr_wing,7,6,Indre Kvarøy,28,5284,349,65344,4500,30816.640025225992,0.1861412482282661,0.3272289888465508,0.9739188551902771,0.5926522230729461,432.2652954370715,100
thr_wing,8,7,Onøy og Lurøy,33,5377,256,65344,4500,32127.097242938355,0.18273654411186488,0.3797421496823191,0.9739188551902771,0.6256830841302872,485.0743256378919,100
thr_wing,9,8,Lovund,34,5482,151,65344,4500,36401.536475895344,0.19534499661163593,0.2054385934228335,0.9739188551902771,1.1135185349266976,319.02952289092354,100
thr_wing,10,9,Sleneset,35,5473,160,65344,4500,49593.29395148907,0.19770790899959517,0.17434448011547507,0.9739188551902771,0.5906108350027353,396.7574940370396,100
thr_wing,11,10,Aldra,38,5460,173,65344,4500,35441.07561404237,0.2021065063799702,0.1638938319828518,0.9739188551902771,0.5958014109637588,288.40479809208773,100
thr_wing,12,11,Leka,60,5052,581,65344,5000,37938.44261537756,0.20088812908171033,0.14543947581398675,0.9881325364112854,0.756762107135728,280.9158732329961,100
thr_wing,13,12,Vega,61,5236,397,65344,4000,37923.25643887591,0.21450945412408431,0.04700446890011585,0.953777551651001,0.5520269060507417,457.2007060360629,100
thr_wing,14,13,Vikna,63,5050,583,65344,4500,45873.1963182461,0.20683998057941408,0.09299506351510792,0.9739188551902771,2.875686915125698,350.3513248078525,100
thr_wing,15,14,Lauvøya,67,4945,688,65344,4500,34834.27194561125,0.20536113537497228,0.1086054635054864,0.9739188551902771,0.55386211280711,440.6709096559789,100
