n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,286,0.04221886784766936,0.5775564312934875,shapley_mean,-1,1,286,5
13,2,459,0.033812793226762304,0.5797454714775085,shapley_mean,-1,2,459,5
12,3,622,0.06594659643780347,0.5769357085227966,shapley_mean,-1,3,622,5
11,4,774,0.08062083269984797,0.5754545331001282,shapley_mean,-1,4,774,5
10,5,1329,0.15979471091963648,0.5662214756011963,shapley_mean,-1,5,1329,5
9,6,1421,0.176623651409193,0.5633739233016968,shapley_mean,-1,6,1421,5
8,7,1769,0.22464706482569172,0.5555064082145691,shapley_mean,-1,7,1769,5
7,8,2165,0.2151690021687182,0.5563355088233948,shapley_mean,-1,8,2165,5
6,9,2748,0.20375301591532644,0.5570897459983826,shapley_mean,-1,9,2748,5
5,10,3234,0.20433413514796997,0.5569435358047485,shapley_mean,-1,10,3234,5
4,11,3817,0.20534764952033008,0.5570086240768433,shapley_mean,-1,11,3817,5
3,12,4011,0.2063932285781331,0.557008683681488,shapley_mean,-1,12,4011,5
2,13,4268,0.2131436240624214,0.5549967885017395,shapley_mean,-1,13,4268,5
1,14,4470,0.21335754680791919,0.55497807264328,shapley_mean,-1,14,4470,5
0,15,4587,0.22570126701436105,0.5529806017875671,shapley_mean,-1,15,4587,5
14,1,286,0.07387677468179858,0.5845500826835632,random_individual,0,1,286,5
13,2,459,0.09785553490743047,0.5843830108642578,random_individual,0,2,459,5
12,3,622,0.10035620948174645,0.5797843933105469,random_individual,0,3,622,5
11,4,774,0.10812642223151071,0.5774465799331665,random_individual,0,4,774,5
10,5,1329,0.15089217191112816,0.5688916444778442,random_individual,0,5,1329,5
9,6,1421,0.14809594930787554,0.5690237283706665,random_individual,0,6,1421,5
8,7,1769,0.18351648562692563,0.5645492076873779,random_individual,0,7,1769,5
7,8,2165,0.18073368747582058,0.5632534027099609,random_individual,0,8,2165,5
6,9,2748,0.16873913525860365,0.5641589760780334,random_individual,0,9,2748,5
5,10,3234,0.2060635918250866,0.5574449300765991,random_individual,0,10,3234,5
4,11,3817,0.21096905472865976,0.5564621686935425,random_individual,0,11,3817,5
3,12,4011,0.2182528771205041,0.5550327897071838,random_individual,0,12,4011,5
2,13,4268,0.22905424308435363,0.5527655482292175,random_individual,0,13,4268,5
1,14,4470,0.22504319154968713,0.5528672337532043,random_individual,0,14,4470,5
0,15,4587,0.22570126701436105,0.5529806017875671,random_individual,0,15,4587,5
14,1,286,0.05692738302511981,0.5799100995063782,random_individual,1,1,286,5
13,2,459,0.10693991285149251,0.5736494660377502,random_individual,1,2,459,5
12,3,622,0.1358827266195458,0.5706833004951477,random_individual,1,3,622,5
11,4,774,0.1270513986129209,0.5709207653999329,random_individual,1,4,774,5
10,5,1329,0.1261865012220781,0.5696830153465271,random_individual,1,5,1329,5
9,6,1421,0.13551480057509346,0.5686596632003784,random_individual,1,6,1421,5
8,7,1769,0.18659317456394572,0.5630377531051636,random_individual,1,7,1769,5
7,8,2165,0.1940837787292087,0.5621019601821899,random_individual,1,8,2165,5
6,9,2748,0.2012289811543338,0.5593260526657104,random_individual,1,9,2748,5
5,10,3234,0.20816473592669493,0.5575547218322754,random_individual,1,10,3234,5
4,11,3817,0.22339082510235625,0.5543159246444702,random_individual,1,11,3817,5
3,12,4011,0.21798765906456438,0.5548539757728577,random_individual,1,12,4011,5
2,13,4268,0.2289799393660123,0.5532373785972595,random_individual,1,13,4268,5
1,14,4470,0.2261674760660392,0.5535315275192261,random_individual,1,14,4470,5
0,15,4587,0.22570126701436105,0.5529806017875671,random_individual,1,15,4587,5
14,1,286,0.1449830220814424,0.5738756060600281,random_individual,2,1,286,5
13,2,459,0.1667357567051507,0.571392297744751,random_individual,2,2,459,5
12,3,622,0.15204599668829621,0.5709131956100464,random_individual,2,3,622,5
11,4,774,0.16049573215709034,0.5700268745422363,random_individual,2,4,774,5
10,5,1329,0.16471144416939154,0.5672338008880615,random_individual,2,5,1329,5
9,6,1421,0.18000283174837492,0.564807116985321,random_individual,2,6,1421,5
8,7,1769,0.1844640253682727,0.5643719434738159,random_individual,2,7,1769,5
7,8,2165,0.19656807414863123,0.5626651644706726,random_individual,2,8,2165,5
6,9,2748,0.19221834433153326,0.5615622401237488,random_individual,2,9,2748,5
