trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
body_mass,2,full_train_pc_ridge,full_train,-1,-1,5127,5127,570,4000,100,4000,62178.10809025701,0.33119303727644717,1.3488327264785767,0.014476391486823559,0,0,0.0,0.9866178988013417
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2000514,500,5127,570,4000,100,4000,62178.10809025701,0.21972958736154752,1.48634672164917,0.038718320429325104,300,26319,51.02914978400804,0.019972356967628002
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2001014,1000,5127,570,4000,100,4000,62178.10809025701,0.2638450940509154,1.4422255754470825,0.031128866598010063,300,26476,59.402548260986805,0.06180950114503503
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2001514,1500,5127,570,4000,100,4000,62178.10809025701,0.2478936487356234,1.4249387979507446,0.026160404086112976,300,26474,69.02510695508681,0.11509444494731724
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2002014,2000,5127,570,4000,100,4000,62178.10809025701,0.3064755403929401,1.405620813369751,0.022824037820100784,300,26632,79.87301750294864,0.2121765569318086
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2002514,2500,5127,570,4000,100,4000,62178.10809025701,0.31251873369973615,1.3919880390167236,0.020490124821662903,300,26621,88.68907700991258,0.33068066113628447
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2003014,3000,5127,570,4000,100,4000,62178.10809025701,0.2823995710131615,1.39005446434021,0.018670624122023582,300,26580,98.42397265299223,0.5044166878797114
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2003514,3500,5127,570,4000,100,4000,62178.10809025701,0.3142384499372605,1.3686506748199463,0.017239714041352272,300,26631,107.8758644699119,0.6110199510585517
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2004014,4000,5127,570,4000,100,4000,62178.10809025701,0.3184920604141591,1.3632686138153076,0.01609908416867256,300,26429,117.54189069615677,0.952345616184175
body_mass,2,pevmean_ga_pc_ridge,pevmean_ga,0,2004514,4500,5127,570,4000,100,4000,62178.10809025701,0.3165330284354769,1.3631471395492554,0.015164135955274105,300,26603,117.6549157211557,1.0197664690203965
