trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
thr_tarsus,random_pc_ridge,500,0.11551976756584462,0.09851834867704463,379.9523360188802,5.814122374553605,150,3500,156026.34,4.477690087991498
thr_tarsus,random_pc_ridge,1000,0.16567676818690186,0.09048667491004453,380.2560697428385,5.715740428957137,150,3500,156026.34,9.347804872984845
thr_tarsus,random_pc_ridge,1500,0.1736266157045243,0.09122823591441319,380.0953076171875,5.542323748858562,150,3500,156026.34,17.074238282009894
thr_tarsus,random_pc_ridge,2000,0.20354511401641712,0.09316510762286383,380.1598655192057,5.53229719416595,150,3500,156026.34,20.720310994984168
thr_tarsus,random_pc_ridge,2500,0.20409695918169735,0.08390510585336902,380.169916788737,5.418375732200815,150,3500,156026.34,21.923095591973826
thr_tarsus,random_pc_ridge,3000,0.22309915780920023,0.08524312438014642,380.2048514811198,5.44258517271406,150,3500,156026.34,29.945682286986987
thr_tarsus,random_pc_ridge,3500,0.22691708334714084,0.08137014423363625,380.246401570638,5.395142848974972,150,3500,156026.34,39.62174686002254
thr_tarsus,random_pc_ridge,4000,0.2361661320770039,0.08333996519677636,380.2050602213542,5.341150503677194,150,3500,156026.34,40.07482417998108
thr_tarsus,random_pc_ridge,4500,0.2426366117173078,0.08030039390311579,380.27460998535156,5.2910925926272165,150,3500,156026.34,42.65205633198274
