trait,trait_label,mean_r,sd_r,median_inner_r,median_outer_minus_inner_r,median_n_pcs,median_alpha,modal_weighting,median_clip_max,median_prob_clip,median_n_components,median_logistic_c,median_rho,median_ess,median_ess_ratio,median_pre_shrink_ess_ratio,n_trials,rejected_trials,rejected_trial_fraction
body_mass,Body mass,0.1869353052540747,0.09521713062846637,0.21144450193012232,-0.04229158010868353,2500.0,155796.8731303772,PC logistic,2.5,0.025484430152900667,40.0,1.6837192686443294,0.7,4133.668181022556,0.7601920415130342,0.553930185250566,4500,34,0.007555555555555556
thr_tarsus,Tarsus length,0.25540990649995754,0.07566928279259322,0.2787828578345498,-0.043890883884762005,3000.0,153954.2917408332,PC logistic,4.0,0.018385623798592467,40.0,0.003177629432430359,0.5,4716.316776266626,0.8661869537669022,0.4118475674306173,4500,30,0.006666666666666667
thr_wing,Wing length,0.20056121114061992,0.10872224180101707,0.23067241221891616,-0.06504049087497943,4000.0,63504.4220053902,PC logistic,4.0,0.021812907780410812,100.0,0.00010328407742819704,0.85,4267.131432976433,0.8140012807431607,0.6936491296969953,4500,23,0.005111111111111111
