analysis,method,selection_method,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,target_island,target_island_name,repeat,repeat_seed,trait,n_components,selection_n_components,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,False,5605,0.3216936059725373,1.622669695305082,1,Myken,0,2041129560,body_mass,500,,-0.0011549602703682,
ranked_subset,random_individual,random,0,False,500,0.2689879579718554,1.705811903752554,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1000,0.173158638848299,1.781108437291088,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1500,0.2292669111496626,1.7082007854384793,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2000,0.2274572942175685,1.6859536964363293,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2500,0.1955965195985141,1.7155662394731166,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3000,0.2676397443642309,1.6605392369098024,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3500,0.2743169830844645,1.6567167771285174,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4000,0.3004869277000366,1.6355431366313915,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4500,0.2883201182130247,1.6425786149889468,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,500,0.1791818436530117,1.7093288907619626,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1000,0.2402811019677851,1.6836053317395765,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1500,0.3375167696275835,1.6353727714043638,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2000,0.3359946153154606,1.6242189932861744,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2500,0.3120749505674238,1.6375232885064128,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3000,0.3120623373612787,1.6340009833396676,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3500,0.3176213420398673,1.6374809719509842,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4000,0.3324920628876112,1.6152331419566754,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4500,0.3289142508810377,1.612014989774526,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,500,0.316805580285671,1.6089314034741855,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1000,0.3614831825194353,1.6075702589192926,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1500,0.3558153583704866,1.6262782074471915,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2000,0.3534768580480502,1.6079089832302444,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2500,0.3138071944065587,1.6243494327408372,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3000,0.329611699681884,1.6200348892374576,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3500,0.3171090284957606,1.6194702171647577,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4000,0.3181752530944922,1.6186606842980142,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4500,0.326302893385008,1.622668965251371,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,500,0.2046181720344805,1.7213806013981396,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1000,0.1777326715483889,1.7229974903805527,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1500,0.2228697692391297,1.6925242695559033,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2000,0.2572675010624636,1.6742321217422618,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2500,0.2325237378238615,1.6958719334797434,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3000,0.2448342704864737,1.6833867663272324,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3500,0.3254406451784309,1.6427325340527048,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,4000,0.3317091889670341,1.6089631997656146,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,4500,0.337339882761204,1.6093384494768916,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,500,0.289190822205298,1.6549753196059795,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,1000,0.2548597181360315,1.6710482893061511,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,1500,0.2529983599350429,1.6823617348344828,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,2000,0.3114561872340035,1.6438750805463216,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,2500,0.3039086766864201,1.650112320702305,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,3000,0.3084973151727695,1.6441584773802809,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,4,False,3500,0.3064779417819996,1.6474882813264913,1,Myken,0,2041129560,body_mass,500,,,
