trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
thr_tarsus,1,0,Nesøy,20,5533,117,65344,4000,114078.83,0.31641789111435453,0.951714277267456,0.4788186000000678
thr_tarsus,2,1,Myken,22,5558,92,65344,4000,114078.83,0.33898913678838166,0.951714277267456,0.5269796999998562
thr_tarsus,3,2,Træna,23,5364,286,65344,4000,114078.83,0.23782773949885952,0.951714277267456,0.468474199999946
thr_tarsus,4,3,Selvær,24,5456,194,65344,4000,114078.83,0.27957051104227243,0.951714277267456,0.47600229999989097
thr_tarsus,5,4,Gjerøy,26,5095,555,65344,4000,114078.83,0.2547330936550208,0.951714277267456,0.4698866999999609
thr_tarsus,6,5,Hestmannøy,27,4587,1063,65344,4000,114078.83,0.23141208237751693,0.951714277267456,0.4506785000000946
thr_tarsus,7,6,Indre Kvarøy,28,5302,348,65344,4000,114078.83,0.3586003734829507,0.951714277267456,0.5094784999998865
thr_tarsus,8,7,Onøy og Lurøy,33,5393,257,65344,4000,114078.83,0.21816143107008465,0.951714277267456,0.4949122000000443
thr_tarsus,9,8,Lovund,34,5498,152,65344,4000,114078.83,0.4274986185785057,0.951714277267456,0.5031048999999257
thr_tarsus,10,9,Sleneset,35,5487,163,65344,4000,114078.83,0.2596613225426324,0.951714277267456,0.484439600000087
thr_tarsus,11,10,Aldra,38,5477,173,65344,4000,114078.83,0.22931509378480086,0.951714277267456,0.49974780000002283
thr_tarsus,12,11,Leka,60,5067,583,65344,4000,114078.83,0.24471336485529904,0.951714277267456,0.48325850000014725
thr_tarsus,13,12,Vega,61,5254,396,65344,4000,114078.83,0.14488859380657068,0.951714277267456,0.4730277000001024
thr_tarsus,14,13,Vikna,63,5067,583,65344,4000,114078.83,0.11642089399178117,0.951714277267456,0.4546364000000267
thr_tarsus,15,14,Lauvøya,67,4962,688,65344,4000,114078.83,0.15531867060126264,0.951714277267456,0.46592089999990094
