target_island,target_island_name,source_island,source_island_name,phi_mean,phi_std,phi_median,phi_p25,phi_p75,n_individuals,n_repeats
0,Nesøy,1,Myken,6.516523954117543e-05,0.0005081446898108605,5.973847862039179e-05,-0.000107154253034075,0.00024568713705212504,552,6
0,Nesøy,4,Gjerøy,5.6664468740169304e-05,0.0005106310370347743,3.6167539513367366e-05,-0.000121087080545075,0.000202696140812925,3348,6
0,Nesøy,9,Sleneset,5.208157016338096e-05,0.0002949413825735639,3.215341520256393e-05,-0.00011020908508042499,0.00017858504122815,996,6
0,Nesøy,6,Indre Kvarøy,5.031186467278441e-05,0.00035908099094056833,4.328549588472337e-05,-0.00011362054371182499,0.00020196961448935,2136,6
0,Nesøy,3,Selvær,4.842709824823164e-05,0.00028473372043405536,3.8259760719083104e-05,-9.698310800057812e-05,0.00018612816237405,1164,6
0,Nesøy,5,Hestmannøy,4.6779478030059344e-05,0.0004807078684665136,3.770773451045647e-05,-0.00012484112000925,0.000201353899720325,6468,6
0,Nesøy,2,Træna,4.331557988819612e-05,0.0003441614845216504,4.0432696901212596e-05,-0.00011176405420645001,0.000199690595775775,1752,6
0,Nesøy,13,Vikna,3.9154856429308634e-05,0.00023617638667438776,3.656526415869772e-05,-8.625674993052229e-05,0.000160960191594075,3504,6
0,Nesøy,11,Leka,3.828525956927915e-05,0.00023086971370418394,3.760096005995593e-05,-9.22725315278394e-05,0.000164534973857625,3498,6
0,Nesøy,12,Vega,3.813921852618338e-05,0.0002790596162875301,3.2961579823088284e-05,-9.688416654641222e-05,0.000172549350112075,2382,6
0,Nesøy,14,Lauvøya,3.593876210267523e-05,0.00022686084565651574,3.6776908764022816e-05,-8.93342045873003e-05,0.000159934878118025,4128,6
0,Nesøy,10,Aldra,3.525943448321247e-05,0.00029663560862378056,3.588455411956561e-05,-0.000106722174742525,0.000196408151019375,1038,6
0,Nesøy,8,Lovund,2.877471409230917e-05,0.00031113065917418156,2.6127425332459532e-05,-0.00012676398891385,0.000168740648434075,948,6
0,Nesøy,7,Onøy og Lurøy,1.0625074803257022e-05,0.00039527923591906527,2.3739113613676946e-05,-0.000145127716465375,0.00017600521274545,1554,6
3,Selvær,1,Myken,6.229687608258727e-05,0.0008482935820190898,5.37141116673208e-05,-0.00022750376586525,0.0003427154455537,552,6
3,Selvær,2,Træna,5.8519480916385585e-05,0.000811509237318375,4.4649925759297494e-05,-0.000190337281471175,0.000284728563855025,1752,6
3,Selvær,0,Nesøy,4.2617393782951216e-05,0.0003402031644725162,2.9415222661328844e-05,-0.000122478006278625,0.000200598192116275,714,6
3,Selvær,8,Lovund,3.3821885996450495e-05,0.0004236918346158401,2.7037888430398408e-05,-0.00015306480254454998,0.0001989194578042,948,6
3,Selvær,10,Aldra,3.3446051061239714e-05,0.00029941026978178167,3.131160928430655e-05,-0.00012552058136069998,0.0001778386846033,1038,6
3,Selvær,6,Indre Kvarøy,3.095233915657132e-05,0.00031596260508335504,2.722953774347351e-05,-0.00011487302250785,0.000175036260144375,2136,6
3,Selvær,5,Hestmannøy,2.863464749689046e-05,0.0003528059712464597,2.9741499744831995e-05,-0.000121404111027025,0.00017850618045747501,6468,6
3,Selvær,14,Lauvøya,2.716827761795737e-05,0.000225858828772462,1.9978940064454317e-05,-0.0001018257680022,0.000147714103338925,4128,6
