n_islands,effective_n_islands,n_train,best_cal_epoch,best_cal_loss,test_loss_at_best_cal,final_epoch,final_cal_loss,final_test_loss,used_early_stopping,patience,stopped_early
1,1,92,150,1.0419024229049683,1.3636629581451416,150,1.0419024229049683,1.3636629581451416,True,20,False
3,3,614,75,1.048362374305725,1.3481844663619995,95,1.0632433891296387,1.3484861850738525,True,20,True
7,7,2246,97,0.8792479038238525,1.374953031539917,117,0.9004607796669006,1.3877484798431396,True,20,True
10,10,3879,4,1.088495135307312,1.3290566205978394,24,1.2999041080474854,1.3081159591674805,True,20,True
15,15,5578,1,1.0216217041015625,1.3502873182296753,21,1.2805010080337524,1.4439826011657715,True,20,True
