n_islands,effective_n_islands,n_train,best_cal_epoch,best_cal_loss,test_loss_at_best_cal,final_epoch,final_cal_loss,final_test_loss
1,1,92,150,1.0419024229049683,1.3636629581451416,150,1.0419024229049683,1.3636629581451416
3,3,614,143,1.0364859104156494,1.3443464040756226,150,1.0448025465011597,1.3478658199310303
7,7,2246,141,0.8702924847602844,1.392923355102539,150,0.8868831992149353,1.401789665222168
10,10,3879,4,1.088495135307312,1.3290566205978394,150,1.3898357152938843,1.3533358573913574
15,15,5578,1,1.0216217041015625,1.3502873182296753,150,1.402846336364746,1.464914083480835
