trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,pevmean_ga,500,0.288376148223295,,1.2442718744277954,1
body_mass,0,pevmean_ga,1000,0.2486217453824272,,1.2766577005386353,1
body_mass,0,pevmean_ga,1500,0.3148842286923415,,1.2150686979293823,1
body_mass,0,pevmean_ga,2000,0.2041543309014726,,1.313065528869629,1
body_mass,0,pevmean_ga,2500,0.2098797514240525,,1.2993099689483645,1
body_mass,0,pevmean_ga,3000,0.2206129812493412,,1.327450394630432,1
body_mass,0,pevmean_ga,3500,0.2489539597535964,,1.3103266954421997,1
body_mass,0,pevmean_ga,4000,0.226059253535434,,1.3021612167358398,1
body_mass,0,pevmean_ga,4500,0.1991794622458564,,1.3100396394729614,1
body_mass,0,pevmean_ga,5578,0.2306614664451909,,1.3017499446868896,1
body_mass,0,random_individual,5578,0.2306614664451909,,1.3017499446868896,1
body_mass,1,pevmean_ga,500,0.2026093247381183,,1.705061674118042,1
body_mass,1,pevmean_ga,1000,0.266183937374391,,1.6658729314804075,1
body_mass,1,pevmean_ga,1500,0.2722821938077086,,1.6479722261428833,1
body_mass,1,pevmean_ga,2000,0.2955645037604929,,1.6523051261901855,1
body_mass,1,pevmean_ga,2500,0.3551948567590048,,1.5728591680526731,1
body_mass,1,pevmean_ga,3000,0.3434279523635877,,1.596747636795044,1
body_mass,1,pevmean_ga,3500,0.3735612181244529,,1.559882402420044,1
body_mass,1,pevmean_ga,4000,0.3602845961278774,,1.5611321926116943,1
body_mass,1,pevmean_ga,4500,0.435907041207152,,1.523457407951355,1
body_mass,1,pevmean_ga,5605,0.4427758176777955,,1.5016508102416992,1
body_mass,1,random_individual,5605,0.4427758176777955,,1.5016508102416992,1
body_mass,2,pevmean_ga,500,0.1986730767074223,,1.191330075263977,1
body_mass,2,pevmean_ga,1000,0.2413724373451257,,1.185706377029419,1
body_mass,2,pevmean_ga,1500,0.1683677552002238,,1.203626275062561,1
body_mass,2,pevmean_ga,2000,0.0856412279115145,,1.245081663131714,1
body_mass,2,pevmean_ga,2500,0.0964068775146355,,1.2409093379974363,1
body_mass,2,pevmean_ga,3000,0.1570536542022591,,1.2266722917556765,1
body_mass,2,pevmean_ga,3500,0.1333784558460301,,1.2359089851379397,1
body_mass,2,pevmean_ga,4000,0.152313515172372,,1.2262994050979614,1
body_mass,2,pevmean_ga,4500,0.1635334341326579,,1.227297067642212,1
body_mass,2,pevmean_ga,5405,0.1558373708452569,,1.2322531938552856,1
body_mass,2,random_individual,5405,0.1558373708452569,,1.2322531938552856,1
body_mass,3,pevmean_ga,500,0.1138945755480065,,0.9371235370635986,1
body_mass,3,pevmean_ga,1000,0.2165191332940496,,0.9072128534317015,1
body_mass,3,pevmean_ga,1500,0.1520642173492739,,0.922773540019989,1
body_mass,3,pevmean_ga,2000,0.1869490567960212,,0.9538580775260924,1
body_mass,3,pevmean_ga,2500,0.2017410608391291,,0.9107784032821656,1
body_mass,3,pevmean_ga,3000,0.2003748425636668,,0.9260522723197936,1
body_mass,3,pevmean_ga,3500,0.2076639599830017,,0.925941526889801,1
body_mass,3,pevmean_ga,4000,0.2009892868431041,,0.9282119870185852,1
body_mass,3,pevmean_ga,4500,0.209181396156766,,0.924079418182373,1
body_mass,3,pevmean_ga,5503,0.2135076285673531,,0.9276846647262572,1
body_mass,3,random_individual,5503,0.2135076285673531,,0.9276846647262572,1
body_mass,4,pevmean_ga,500,0.0713961533339861,,1.4863170385360718,1
