target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations,n_evals
5,Hestmannøy,0,14,292,292,8L52420,4,Gjerøy,0.00048566855835953995,342,0.17024848497923442,300,164
5,Hestmannøy,0,14,161,161,8L48457,10,Aldra,0.0004856633962168355,343,0.17024848497923442,300,153
5,Hestmannøy,0,14,392,392,8L64398,3,Selvær,0.00048502025412774756,344,0.17024848497923442,300,156
5,Hestmannøy,0,14,3435,3435,8P14741,8,Lovund,0.00048420741931266056,345,0.17024848497923442,300,156
5,Hestmannøy,0,14,2598,2598,8N73306,14,Lauvøya,0.0004839333918297024,346,0.17024848497923442,300,165
5,Hestmannøy,0,14,3085,3085,8N87807,14,Lauvøya,0.00048310903582036687,347,0.17024848497923442,300,165
5,Hestmannøy,0,14,2617,2617,8N73407,4,Gjerøy,0.0004827333525784258,348,0.17024848497923442,300,158
5,Hestmannøy,0,14,3685,3685,8651903,2,Træna,0.00048168046851254,349,0.17024848497923442,300,165
5,Hestmannøy,0,14,3916,3916,8747295,9,Sleneset,0.0004810435575055827,350,0.17024848497923442,300,161
5,Hestmannøy,0,14,3315,3315,8P11547,14,Lauvøya,0.0004804031865721371,351,0.17024848497923442,300,159
5,Hestmannøy,0,14,1557,1557,8N13149,14,Lauvøya,0.0004788135897972016,352,0.17024848497923442,300,156
5,Hestmannøy,0,14,501,501,8L89722,4,Gjerøy,0.0004772891092863208,353,0.17024848497923442,300,171
5,Hestmannøy,0,14,3800,3800,8730902,6,Indre Kvarøy,0.0004768782419064853,354,0.17024848497923442,300,166
5,Hestmannøy,0,14,1226,1226,8N05658,13,Vikna,0.0004765269914062644,355,0.17024848497923442,300,166
5,Hestmannøy,0,14,3542,3542,8P26518,9,Sleneset,0.000476206205837278,356,0.17024848497923442,300,166
5,Hestmannøy,0,14,3915,3915,8747294,9,Sleneset,0.0004750481795526192,357,0.17024848497923442,300,166
5,Hestmannøy,0,14,391,391,8L64397,3,Selvær,0.0004749249831288349,358,0.17024848497923442,300,168
5,Hestmannøy,0,14,393,393,8L64399,2,Træna,0.0004740879763235677,359,0.17024848497923442,300,166
5,Hestmannøy,0,14,1143,1143,8N05302,13,Vikna,0.00047370437714231654,360,0.17024848497923442,300,169
5,Hestmannøy,0,14,2928,2928,8N87243,2,Træna,0.00047259244330772785,361,0.17024848497923442,300,153
5,Hestmannøy,0,14,229,229,8L52228,8,Lovund,0.0004724906530983962,362,0.17024848497923442,300,159
5,Hestmannøy,0,14,3623,3623,8573156,4,Gjerøy,0.00047140468281016055,363,0.17024848497923442,300,174
5,Hestmannøy,0,14,4352,4352,8934808,3,Selvær,0.00046941229265182784,364,0.17024848497923442,300,160
5,Hestmannøy,0,14,2127,2127,8N28001,2,Træna,0.0004690151557519452,365,0.17024848497923442,300,163
5,Hestmannøy,0,14,3191,3191,8N87917,13,Vikna,0.00046700117039734276,366,0.17024848497923442,300,161
5,Hestmannøy,0,14,4031,4031,8800005,9,Sleneset,0.00046656536936335935,367,0.17024848497923442,300,173
5,Hestmannøy,0,14,1223,1223,8N05655,14,Lauvøya,0.00046613450567450487,368,0.17024848497923442,300,160
5,Hestmannøy,0,14,984,984,8N05140,12,Vega,0.0004630972862625891,369,0.17024848497923442,300,166
5,Hestmannøy,0,14,281,281,8L52393,12,Vega,0.00046301797739062745,370,0.17024848497923442,300,162
5,Hestmannøy,0,14,2296,2296,8N42664,4,Gjerøy,0.00046145486784622195,371,0.17024848497923442,300,163
5,Hestmannøy,0,14,3530,3530,8P14988,14,Lauvøya,0.00046107013079995393,372,0.17024848497923442,300,181
5,Hestmannøy,0,14,2362,2362,8N72354,6,Indre Kvarøy,0.00046016729529323603,373,0.17024848497923442,300,162
5,Hestmannøy,0,14,3741,3741,8681287,7,Onøy og Lurøy,0.0004592129559984265,374,0.17024848497923442,300,167
5,Hestmannøy,0,14,1491,1491,8N06859,11,Leka,0.0004590082464213172,375,0.17024848497923442,300,167
5,Hestmannøy,0,14,419,419,8L64840,3,Selvær,0.0004586626759238264,376,0.17024848497923442,300,164
5,Hestmannøy,0,14,2050,2050,8N27200,14,Lauvøya,0.0004580548876889189,377,0.17024848497923442,300,164
5,Hestmannøy,0,14,1312,1312,8N05883,11,Leka,0.00045791785956014947,378,0.17024848497923442,300,166
5,Hestmannøy,0,14,582,582,8M31551,6,Indre Kvarøy,0.00045741211524348487,379,0.17024848497923442,300,160
5,Hestmannøy,0,14,429,429,8M71079,7,Onøy og Lurøy,0.0004572890675003372,380,0.17024848497923442,300,164
5,Hestmannøy,0,14,2757,2757,8N73652,13,Vikna,0.00045657872748463494,381,0.17024848497923442,300,162
5,Hestmannøy,0,14,1345,1345,8N06290,2,Træna,0.0004562749813283264,382,0.17024848497923442,300,169
5,Hestmannøy,0,14,841,841,8M72539,11,Leka,0.00045526902976522973,383,0.17024848497923442,300,157
5,Hestmannøy,0,14,2029,2029,8N27096,8,Lovund,0.000453615225981367,384,0.17024848497923442,300,162
5,Hestmannøy,0,14,3034,3034,8N87592,11,Leka,0.00045258761982854554,385,0.17024848497923442,300,171
5,Hestmannøy,0,14,1800,1800,8N14534,11,Leka,0.0004525342148742062,386,0.17024848497923442,300,163
5,Hestmannøy,0,14,1255,1255,8N05687,14,Lauvøya,0.00045244986745260053,387,0.17024848497923442,300,155
5,Hestmannøy,0,14,2381,2381,8N72496,2,Træna,0.0004519737422108134,388,0.17024848497923442,300,166
5,Hestmannøy,0,14,26,26,8L19860,10,Aldra,0.0004519645207436892,389,0.17024848497923442,300,169
5,Hestmannøy,0,14,2789,2789,8N73684,13,Vikna,0.00044827958939314296,390,0.17024848497923442,300,166
5,Hestmannøy,0,14,1573,1573,8N13425,9,Sleneset,0.0004473873695830176,391,0.17024848497923442,300,170
5,Hestmannøy,0,14,3005,3005,8N87562,11,Leka,0.000446569717924948,392,0.17024848497923442,300,153
5,Hestmannøy,0,14,2000,2000,8N27067,14,Lauvøya,0.0004464523303304812,393,0.17024848497923442,300,158
5,Hestmannøy,0,14,3528,3528,8P14987,14,Lauvøya,0.0004456864453395922,394,0.17024848497923442,300,165
