trait,trait_label,mean_r,sd_r,median_inner_r,median_outer_minus_inner_r,median_n_pcs,modal_architecture,median_dropout,median_lr,median_weight_decay,median_epochs,modal_loss,modal_optimizer,median_ess,median_ess_ratio
body_mass,Body mass,0.13980251766730598,0.12788641528653089,0.20017668915929554,-0.07394043548024626,1000.0,1024-256,0.47734475287110373,0.00028190535622426357,8.849509001923102e-06,200.0,mse,adamw,5405.0,1.0
thr_tarsus,Tarsus length,0.19774065468616117,0.10122390731793228,0.247783388982482,-0.07829858352767277,1000.0,1024-256,0.5267182528888179,0.00024264082705598297,2.101132455087788e-06,181.0,mae,adamw,5364.0,1.0
thr_wing,Wing length,0.17238883296100851,0.07853630377051485,0.21889059107650932,-0.07604993794547232,4000.0,1024-256,0.349001031213618,0.00024787315653993126,5.937068253898744e-06,141.0,mae,adam,5347.0,1.0
