trait,trait_label,fold,test_island_code,test_island,pearson_r,mean_inner_r,outer_minus_inner_r,model_type,weighting_mode,n_pcs,num_snps,hidden_dims,architecture,dropout,batch_norm,lr,log10_lr,weight_decay,log10_weight_decay,epochs,loss,optimizer,test_size,n_train,effective_sample_size,ess_ratio,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,source_file,n_complete_trials,best_inner_r_from_history,median_trial_inner_r,p90_trial_inner_r,trial_inner_r_iqr
body_mass,Body mass,1,0,Nesøy,0.24343938560337697,0.21230433593160686,0.03113504967177011,pc_mlp,uniform,1000,1000,"[512, 64]",512-64,0.45036657408109604,False,0.00039080087116796715,-3.408044476828855,2.0967492183721343e-08,-7.67845351020712,178,mae,adam,119,5578.0,5578.0,1.0,10,3326,0.006709758384866434,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,143.0,0.21230433593160686,0.1767799296381063,0.19716632656444122,0.029005240849552638
body_mass,Body mass,2,1,Myken,0.47075958320020533,0.1973592989418474,0.27340028425835794,pc_mlp,uniform,1000,1000,"[1024, 256]",1024-256,0.5450935591993338,False,0.00036821792712406724,-3.433895071178205,3.1945267428743314e-07,-6.495593471834819,268,mae,adamw,92,5605.0,5605.0,1.0,10,3353,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,128.0,0.1973592989418474,0.1696517989244829,0.18265679484642844,0.021384671606742123
body_mass,Body mass,3,2,Træna,0.1102757860249845,0.18421622150523076,-0.07394043548024626,pc_mlp,uniform,1500,1500,"[512, 128]",512-128,0.12235908393954355,False,0.000322955285433037,-3.490857603470672,8.918334113575272e-07,-6.049716261414089,264,mae,adam,292,5405.0,5405.0,1.0,10,3377,0.01955742013566733,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,142.0,0.18421622150523076,0.1579361223584188,0.17345359412005368,0.023609224291484154
body_mass,Body mass,4,3,Selvær,0.1977854126208562,0.20326429620859146,-0.005478883587735267,pc_mlp,uniform,1000,1000,"[512, 64]",512-64,0.4713486599130447,False,9.455458695096127e-05,-4.024317398186776,7.559283837646399e-05,-4.121519347367978,209,mse,adam,194,5503.0,5503.0,1.0,10,3475,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,141.0,0.20326429620859146,0.1630349470066329,0.183797419544987,0.0227550308633524
body_mass,Body mass,5,4,Gjerøy,0.13476720513425441,0.20903588043907656,-0.07426867530482215,pc_mlp,uniform,1000,1000,"[512, 256]",512-256,0.12272553864275909,False,0.00047067750854545875,-3.327276554079156,1.4954459118874954e-06,-5.825229290150948,140,mae,adam,558,5139.0,5139.0,1.0,10,2887,0.004662839239021407,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,110.0,0.20903588043907656,0.18617060641026062,0.20149773611408858,0.019664731348334352
body_mass,Body mass,6,5,Hestmannøy,0.1122562938357632,0.2164457286594653,-0.10418943482370209,pc_mlp,uniform,1000,1000,"[512, 128]",512-128,0.5765337320951807,False,0.00043385278096757135,-3.362657614404408,2.4168971654657863e-06,-5.616741827631595,287,mae,adam,1078,4619.0,4619.0,1.0,10,2367,0.004662839239021405,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,138.0,0.2164457286594653,0.1664876908001265,0.2039645992582046,0.046467837175918875
body_mass,Body mass,7,6,Indre Kvarøy,0.20711369007793648,0.20017668915929554,0.00693700091864094,pc_mlp,uniform,2500,2500,"[1024, 256]",1024-256,0.4290375196883386,False,0.0001956614046089197,-3.708494833097461,0.0008014537289719852,-3.096121546088646,164,mse,adamw,356,5341.0,5341.0,1.0,10,3089,0.004430847037161113,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,138.0,0.20017668915929554,0.16225537783372673,0.18583473981459472,0.029435335192079637
body_mass,Body mass,8,7,Onøy og Lurøy,-0.03527763168728431,0.23774835260980573,-0.27302598429709,pc_mlp,uniform,1000,1000,"[512, 256]",512-256,0.4828596394022931,False,7.369476399769434e-05,-4.132563367604845,1.3425878267431045e-07,-6.872057294885542,178,mse,adamw,259,5438.0,5438.0,1.0,10,3186,0.009088772220621457,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,137.0,0.23774835260980573,0.20569373144378483,0.21962789320616483,0.020176322998508966
body_mass,Body mass,9,8,Lovund,0.252545122027013,0.1731131903820334,0.07943193164497961,pc_mlp,uniform,1000,1000,"[256, 128]",256-128,0.5038701588234085,False,0.00014444216009569066,-3.840306025433357,0.0001626556217750863,-3.7887309218459713,261,mse,adam,158,5539.0,5539.0,1.0,10,3511,0.02253442554417144,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,137.0,0.1731131903820334,0.1457578699214248,0.16446647450707721,0.024861330317339614
body_mass,Body mass,10,9,Sleneset,0.029992871195872087,0.2164443054532174,-0.18645143425734534,pc_mlp,uniform,1000,1000,"[256, 64]",256-64,0.47734475287110373,False,0.00017636579794759377,-3.7535856323720447,1.2307214840329786e-05,-4.909840218094793,104,mae,adamw,166,5531.0,5531.0,1.0,10,3503,0.022534425544171444,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e8_pc_mlp_uniform\body_mass\e8_pc_mlp_uniform_body_mass_results.json,142.0,0.2164443054532174,0.17313714700001198,0.1912143671036066,0.029299964835441172
