target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
0,5,Hestmannøy,0.1565731029305607,0.00014524406579829378,1078,1,3
0,4,Gjerøy,0.11398796216119081,0.0002042795020809871,558,2,1
0,13,Southern 3,0.03680637010373175,6.302460634200643e-05,584,3,6
0,9,Sleneset,0.03213987179100514,0.00019361368548798276,166,4,2
0,12,Southern 2,0.026711902320384978,6.728438871633496e-05,397,5,5
0,10,Aldra,0.016071047997102142,9.289623119712221e-05,173,6,4
0,6,Indre Kvarøy,0.00921994329430163,2.58987171188248e-05,356,7,8
0,3,Selvær,0.008371881190687418,4.3154026756120716e-05,194,8,7
0,14,Southern 4,0.005558677946683019,1.143760894379222e-05,486,9,9
0,1,Myken,-0.008977400222793221,-9.758043720427415e-05,92,10,12
0,8,Lovund,-0.016620379835367204,-0.00010519227743903293,158,11,13
0,15,Southern 5,-0.018512817446608095,-9.164761112182225e-05,202,12,11
0,11,Southern 1,-0.04161483883857727,-7.13805125876111e-05,583,13,10
0,2,Træna,-0.046887186118401585,-0.00016057255520000543,292,14,14
0,7,Onøy og Lurøy,-0.07232505619060248,-0.00027924732119923734,259,15,15
