n_islands,corr_eval,mse_adj,method,order_seed,target_island
8,0.026223329827189445,1.4637807607650757,random,3,0
9,-0.04091530665755272,1.5267397165298462,random,3,0
10,0.006542430724948645,1.5130380392074585,random,3,0
11,0.18059717118740082,1.5367892980575562,random,3,0
12,0.17644287645816803,1.4653514623641968,random,3,0
13,0.16498509049415588,1.4421600103378296,random,3,0
14,0.2241102010011673,1.477444052696228,random,3,0
15,0.20050308108329773,1.4846372604370117,random,3,0
1,0.01423217449337244,1.4108442068099976,random,4,0
2,0.010397464968264103,1.4098914861679077,random,4,0
3,0.0021066279150545597,1.4232670068740845,random,4,0
4,0.01591484621167183,1.416749119758606,random,4,0
5,0.2381993979215622,1.3934077024459839,random,4,0
6,0.23108035326004028,1.434560775756836,random,4,0
7,0.2409886121749878,1.418449878692627,random,4,0
8,0.2685803472995758,1.3959099054336548,random,4,0
9,0.23599424958229065,1.4236631393432617,random,4,0
10,0.2145080715417862,1.4679266214370728,random,4,0
11,0.24135488271713257,1.4966217279434204,random,4,0
12,0.2743232548236847,1.4289708137512207,random,4,0
13,0.244002565741539,1.4694241285324097,random,4,0
14,0.2215864062309265,1.489699363708496,random,4,0
15,0.20050308108329773,1.4846372604370117,random,4,0
1,0.01423217449337244,1.4108442068099976,random,5,0
2,-0.09510120004415512,1.5017801523208618,random,5,0
3,-0.05653856694698334,1.4613937139511108,random,5,0
4,-0.02037615142762661,1.4839271306991577,random,5,0
5,0.1658281832933426,1.4531631469726562,random,5,0
6,0.17551052570343018,1.4200299978256226,random,5,0
7,0.12954910099506378,1.4321956634521484,random,5,0
8,0.16293160617351532,1.4135373830795288,random,5,0
9,0.20456385612487793,1.3558353185653687,random,5,0
10,0.1853979527950287,1.37714421749115,random,5,0
11,0.17798000574111938,1.3959522247314453,random,5,0
12,0.11987162381410599,1.4664469957351685,random,5,0
13,0.14806313812732697,1.449442982673645,random,5,0
14,0.12187618762254715,1.459722876548767,random,5,0
15,0.20050308108329773,1.4846372604370117,random,5,0
1,0.21907047927379608,1.3933963775634766,random,6,0
2,0.1622728556394577,1.4241905212402344,random,6,0
3,0.13680951297283173,1.4278172254562378,random,6,0
4,0.09848156571388245,1.4788004159927368,random,6,0
5,0.01640055514872074,1.5431278944015503,random,6,0
6,0.04452504217624664,1.4976487159729004,random,6,0
7,0.010650529526174068,1.5374952554702759,random,6,0
8,0.05936238914728165,1.4800472259521484,random,6,0
9,0.034093353897333145,1.5349578857421875,random,6,0
10,0.05894799157977104,1.4613991975784302,random,6,0
11,0.16332758963108063,1.488481879234314,random,6,0
12,0.1696246862411499,1.5289760828018188,random,6,0
13,0.18989799916744232,1.5020580291748047,random,6,0
14,0.16926099359989166,1.530910849571228,random,6,0
15,0.20050308108329773,1.4846372604370117,random,6,0
1,-0.17586153745651245,1.426190972328186,random,7,0
2,0.1622728556394577,1.4241905212402344,random,7,0
3,0.17610584199428558,1.4275037050247192,random,7,0
4,0.15343987941741943,1.4576400518417358,random,7,0
5,0.2310272455215454,1.4750417470932007,random,7,0
6,0.2461005449295044,1.4911646842956543,random,7,0
7,0.22931089997291565,1.4547467231750488,random,7,0
8,0.22718925774097443,1.4832830429077148,random,7,0
9,0.23295843601226807,1.4774037599563599,random,7,0
10,0.2409186214208603,1.4251493215560913,random,7,0
11,0.24762669205665588,1.3970999717712402,random,7,0
12,0.2215321660041809,1.46078360080719,random,7,0
13,0.23397037386894226,1.4398807287216187,random,7,0
14,0.25117039680480957,1.43405020236969,random,7,0
15,0.20050308108329773,1.4846372604370117,random,7,0
1,-0.11078884452581406,1.4153276681900024,random,8,0
2,-0.030559169128537178,1.3884817361831665,random,8,0
3,0.007964326068758965,1.4134966135025024,random,8,0
4,-0.07460255175828934,1.4636598825454712,random,8,0
5,-0.04851585254073143,1.4594483375549316,random,8,0
6,0.010871059261262417,1.3991364240646362,random,8,0
7,0.0464739054441452,1.3996108770370483,random,8,0
8,0.038129888474941254,1.3888579607009888,random,8,0
9,0.017986727878451347,1.413107991218567,random,8,0
10,0.23602280020713806,1.4246106147766113,random,8,0
11,0.18066129088401794,1.3955789804458618,random,8,0
12,0.1973617672920227,1.4266043901443481,random,8,0
13,0.2200089395046234,1.4334017038345337,random,8,0
14,0.20471599698066711,1.4657896757125854,random,8,0
15,0.20050308108329773,1.4846372604370117,random,8,0
1,-0.10096714645624161,1.405313491821289,random,9,0
2,0.2322646528482437,1.4207448959350586,random,9,0
3,0.17611262202262878,1.4640144109725952,random,9,0
4,0.19505897164344788,1.4407697916030884,random,9,0
5,0.19865000247955322,1.4362239837646484,random,9,0
6,0.19159942865371704,1.4285783767700195,random,9,0
7,0.17483273148536682,1.4579896926879883,random,9,0
8,0.210566908121109,1.5128265619277954,random,9,0
9,0.2522587776184082,1.4562689065933228,random,9,0
10,0.27363061904907227,1.4233511686325073,random,9,0
11,0.2914733588695526,1.3605774641036987,random,9,0
12,0.26449042558670044,1.379581093788147,random,9,0
13,0.2519069314002991,1.4274702072143555,random,9,0
14,0.2089204639196396,1.454003930091858,random,9,0
15,0.20050308108329773,1.4846372604370117,random,9,0
