n_islands,corr_eval,mse_adj,method,order_seed,target_island
1,0.21907047927379608,1.3933963775634766,shapley,-1,0
2,0.2524113357067108,1.360300064086914,shapley,-1,0
3,0.29881277680397034,1.3843969106674194,shapley,-1,0
4,0.28918004035949707,1.3825405836105347,shapley,-1,0
5,0.3013736605644226,1.3849178552627563,shapley,-1,0
6,0.31022611260414124,1.3876537084579468,shapley,-1,0
7,0.3358709514141083,1.3301057815551758,shapley,-1,0
8,0.3335947096347809,1.3490276336669922,shapley,-1,0
9,0.33433109521865845,1.3688716888427734,shapley,-1,0
10,0.3010968863964081,1.351927638053894,shapley,-1,0
11,0.32043081521987915,1.3487011194229126,shapley,-1,0
12,0.3152720630168915,1.3844178915023804,shapley,-1,0
13,0.25927799940109253,1.4192014932632446,shapley,-1,0
14,0.2241102010011673,1.477444052696228,shapley,-1,0
15,0.20050308108329773,1.4846372604370117,shapley,-1,0
1,-0.11078884452581406,1.4153276681900024,random,0,0
2,-0.132704958319664,1.438673496246338,random,0,0
3,-0.1728515625,1.4810432195663452,random,0,0
4,-0.10018973797559738,1.5272170305252075,random,0,0
5,0.16165974736213684,1.480756402015686,random,0,0
6,0.13680532574653625,1.4911967515945435,random,0,0
7,0.12973128259181976,1.4588170051574707,random,0,0
8,0.239310622215271,1.4711459875106812,random,0,0
9,0.24498246610164642,1.3941131830215454,random,0,0
10,0.23923547565937042,1.4054702520370483,random,0,0
11,0.25598272681236267,1.420089840888977,random,0,0
12,0.20813648402690887,1.4809118509292603,random,0,0
13,0.17522773146629333,1.508804202079773,random,0,0
14,0.15690462291240692,1.5482501983642578,random,0,0
15,0.20050308108329773,1.4846372604370117,random,0,0
1,0.016368335112929344,1.3650422096252441,random,1,0
2,0.09028389304876328,1.3318036794662476,random,1,0
3,0.06061170995235443,1.351656436920166,random,1,0
4,0.0630328431725502,1.3752551078796387,random,1,0
5,0.08449695259332657,1.3678346872329712,random,1,0
6,0.151285320520401,1.311132550239563,random,1,0
7,0.18078860640525818,1.2907265424728394,random,1,0
8,0.1458495408296585,1.3332685232162476,random,1,0
9,0.1439131647348404,1.3345876932144165,random,1,0
10,0.05092265456914902,1.4336795806884766,random,1,0
11,-0.023202527314424515,1.4851611852645874,random,1,0
12,0.18491891026496887,1.4558855295181274,random,1,0
13,0.18275028467178345,1.4760208129882812,random,1,0
14,0.2215864062309265,1.489699363708496,random,1,0
15,0.20050308108329773,1.4846372604370117,random,1,0
1,0.01181305106729269,1.4025497436523438,random,2,0
2,0.05242954194545746,1.44684636592865,random,2,0
3,0.04626324027776718,1.4750984907150269,random,2,0
4,0.11461236327886581,1.428834319114685,random,2,0
5,0.17438383400440216,1.3516201972961426,random,2,0
6,0.11297861486673355,1.4058727025985718,random,2,0
7,0.03350365161895752,1.4748672246932983,random,2,0
8,0.016467390581965446,1.4940600395202637,random,2,0
9,-0.05351802334189415,1.5457412004470825,random,2,0
10,0.17475788295269012,1.4958056211471558,random,2,0
11,0.16350634396076202,1.4817485809326172,random,2,0
12,0.1871831864118576,1.5551072359085083,random,2,0
13,0.1871054768562317,1.4875898361206055,random,2,0
14,0.19729000329971313,1.470859408378601,random,2,0
15,0.20050308108329773,1.4846372604370117,random,2,0
1,-0.17586153745651245,1.426190972328186,random,3,0
2,-0.14407137036323547,1.4513882398605347,random,3,0
3,-0.1728515625,1.4810432195663452,random,3,0
4,-0.13659368455410004,1.5138098001480103,random,3,0
5,-0.07749515026807785,1.5476347208023071,random,3,0
6,-0.05756271630525589,1.5943928956985474,random,3,0
7,-0.027252089232206345,1.5458455085754395,random,3,0
