alpha,removal_fraction,cv_mse_mean,cv_mse_std,cv_time_mean_s,cv_time_std_s,n_trials
100000.0,0.0,,,0.0,0.0,3
100000.0,0.25,,,0.0,0.0,3
100000.0,0.5,,,0.0,0.0,3
100000.0,0.75,,,0.0,0.0,3
