target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,alpha_best,alpha_cv_mse_best,corr_eval,mse_adj
0,Nesøy,0,10,0.0,5578,119,3.8474912121891975,ridge,100000.0,,0.13861458003520966,1.318896770477295
0,Nesøy,0,10,0.25,4184,119,2.112725429935381,ridge,100000.0,,0.16907891631126404,1.303117275238037
0,Nesøy,0,10,0.5,2789,119,1.3160602368880063,ridge,100000.0,,0.1797826588153839,1.2900750637054443
0,Nesøy,0,10,0.75,1394,119,0.6029532910324633,ridge,100000.0,,0.25713270902633667,1.2878535985946655
0,Nesøy,1,1010,0.0,5578,119,3.1168775849509984,ridge,100000.0,,0.2017974555492401,1.2877297401428223
0,Nesøy,1,1010,0.25,4184,119,2.110568662872538,ridge,100000.0,,0.16952066123485565,1.2892777919769287
0,Nesøy,1,1010,0.5,2789,119,1.3178840009495616,ridge,100000.0,,0.28069788217544556,1.2523537874221802
0,Nesøy,1,1010,0.75,1394,119,0.6011012208182365,ridge,100000.0,,0.09031105041503906,1.3377926349639893
0,Nesøy,2,2010,0.0,5578,119,3.109534132061526,ridge,100000.0,,0.2301095575094223,1.2758697271347046
0,Nesøy,2,2010,0.25,4184,119,2.1141201299615204,ridge,100000.0,,0.1891823261976242,1.2787790298461914
0,Nesøy,2,2010,0.5,2789,119,1.311718706972897,ridge,100000.0,,0.09280320256948471,1.3083598613739014
0,Nesøy,2,2010,0.75,1394,119,0.6020847610197961,ridge,100000.0,,0.08894168585538864,1.3049838542938232
