trait,method,selection_method,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_wing,full_train_pc_ridge,full_train,5070,0.3574676057409881,,0.9928412437438964,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,500,0.2705258216694718,,1.1428982019424438,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1000,0.2345181305489097,,1.1448657512664795,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1500,0.299005047747152,,1.0689562559127808,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2000,0.3102197775333704,,1.057970404624939,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2500,0.2947544125308123,,1.0725456476211548,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3000,0.321384414550022,,1.0489075183868408,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3500,0.3363376898958218,,1.0236462354660034,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4000,0.3347802883366443,,1.0011733770370483,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4500,0.3534352766721241,,0.9979307651519777,1
