analysis,method,selection_method,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,target_island,target_island_name,repeat,repeat_seed,trait,n_components,selection_n_components,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,False,5524,0.13584118515421525,3.434481506269332,10,Aldra,0,859124446,body_mass,500,,-0.005076303334098852,
ranked_subset,random_individual,random,0,False,500,0.0819687571192393,3.5524659252445026,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1000,0.09274746685956849,3.4878298482689476,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1500,0.13687226619170553,3.46644743095747,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2000,0.14599734803591366,3.4307115179538656,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2500,0.15857388131159283,3.407494646531332,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3000,0.16395962149960397,3.365394630823318,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3500,0.14960624204239026,3.426476280600959,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4000,0.15786509351400785,3.3916153938980043,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4500,0.14148431073489978,3.43504521450553,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,500,0.17365943555329044,3.3074398299119947,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1000,0.1649418650176331,3.340313106451476,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1500,0.19874410438694648,3.285154015685384,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2000,0.2218544458373405,3.253979317580859,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2500,0.21361366635723913,3.251794335170319,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3000,0.1946512735879229,3.3172528179089853,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3500,0.16299198593029682,3.398711020895902,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4000,0.16531176449966614,3.4085309272836706,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4500,0.15302120588790596,3.406218400908216,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,2,False,500,0.10540068275105721,3.3336762396204014,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1000,0.035768153359099705,3.382869474402024,10,Aldra,0,859124446,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1500,0.10815253001463908,3.3376744985630387,10,Aldra,0,859124446,body_mass,500,,,
