trait,target_island,method,n_train_size,n_cal_samples,corr_test_mean,corr_test_std,corr_cal_mean,mse_test_mean,n_rows
body_mass,3,all_individuals,5503,25,0.2309859710575681,,-0.0134438422100142,0.9469987154006958,1
body_mass,3,all_individuals,5503,50,0.2059735947749453,,0.252042256768829,0.7929892539978027,1
body_mass,3,all_individuals,5503,100,0.2654241988947665,,0.164772635496046,1.044413924217224,1
body_mass,3,calibration_ga,500,25,0.0234798547412577,,0.9821954227541992,0.9854812026023864,1
body_mass,3,calibration_ga,500,50,0.1320329050319925,,0.9087152333631884,0.8138412833213806,1
body_mass,3,calibration_ga,500,100,0.0944079475013437,,0.8117497561254238,1.0748549699783323,1
body_mass,3,calibration_ga,1000,25,0.1609597894202388,,0.9888955394143156,0.9647048115730286,1
body_mass,3,calibration_ga,1000,50,0.1727975561869974,,0.9010298954161844,0.8206420540809631,1
body_mass,3,calibration_ga,1000,100,0.0561940898384182,,0.787697730799378,1.093695044517517,1
body_mass,3,calibration_ga,2000,25,0.2104487301503628,,0.951235963655591,0.9514537453651428,1
body_mass,3,calibration_ga,2000,50,0.1561586149916856,,0.8836517176302692,0.799967348575592,1
body_mass,3,calibration_ga,2000,100,0.081054098645789,,0.7554213483679354,1.0841281414031982,1
body_mass,3,calibration_ga,3000,25,0.1936359053292546,,0.8560274008601017,0.9578366279602052,1
body_mass,3,calibration_ga,3000,50,0.1723743415563066,,0.7732808415658307,0.7971837520599365,1
body_mass,3,calibration_ga,3000,100,0.2672596023318262,,0.6196911020810019,1.0379973649978638,1
body_mass,3,calibration_ga,4000,25,0.1665228910935862,,0.795981525183492,0.9644566178321838,1
body_mass,3,calibration_ga,4000,50,0.2095943930304228,,0.611977079385317,0.7958970665931702,1
body_mass,3,calibration_ga,4000,100,0.2194826361899242,,0.5087990765564898,1.0669134855270386,1
body_mass,3,pevmean_ga,500,25,0.2201517071005486,,0.214527348009419,0.9507262110710144,1
body_mass,3,pevmean_ga,500,50,0.1433480207021447,,0.3698434766391295,0.8075820207595825,1
body_mass,3,pevmean_ga,500,100,0.3248564628846651,,0.1018005680927999,1.031022071838379,1
body_mass,3,pevmean_ga,1000,25,0.2451560863626367,,0.2518268243774413,0.9382615089416504,1
body_mass,3,pevmean_ga,1000,50,0.162389597109617,,0.438701032711492,0.8019089102745056,1
body_mass,3,pevmean_ga,1000,100,0.2860157669224055,,0.2035675778793132,1.0315078496932983,1
body_mass,3,pevmean_ga,2000,25,0.1940362115074708,,0.1024185857671912,0.9540035128593444,1
body_mass,3,pevmean_ga,2000,50,0.1670581098051639,,0.2355075080331271,0.804797887802124,1
body_mass,3,pevmean_ga,2000,100,0.2645335209765743,,0.0975206567341756,1.0359408855438232,1
body_mass,3,pevmean_ga,3000,25,0.2128808541963853,,0.0520827809646406,0.9539337158203124,1
body_mass,3,pevmean_ga,3000,50,0.2185143458421647,,0.2281498446968329,0.7895572185516357,1
body_mass,3,pevmean_ga,3000,100,0.2665931218124024,,0.1276906820674286,1.0487029552459717,1
body_mass,3,pevmean_ga,4000,25,0.2138030821194844,,-0.020043493771248,0.947304904460907,1
body_mass,3,pevmean_ga,4000,50,0.1918950286697812,,0.226792350668145,0.7944869995117188,1
body_mass,3,pevmean_ga,4000,100,0.2504149573228363,,0.1448623457107246,1.0431921482086182,1
body_mass,3,random,500,25,0.08035536991262117,0.10331348935132312,-0.12799901251494578,0.9799141407012939,5
body_mass,3,random,500,50,0.09081915003024169,0.07004540788877724,0.09882038011786212,0.8183162450790405,5
body_mass,3,random,500,100,0.040225301410360834,0.08937881968982349,0.10320764316264178,1.089180588722229,5
body_mass,3,random,1000,25,0.1800421890943269,0.09003059974514788,-0.05774437505327684,0.9595736622810364,5
body_mass,3,random,1000,50,0.09046622419753061,0.05086118994829404,0.14983733810155847,0.8175974011421203,5
body_mass,3,random,1000,100,0.2110241976541686,0.0767757575432567,0.048446544694622416,1.0497971296310424,5
body_mass,3,random,2000,25,0.15510094712755187,0.0246037313640413,0.026422551829684976,0.9648835778236389,5
body_mass,3,random,2000,50,0.12206638922964266,0.06595332213874987,0.18127266467387804,0.8085862398147583,5
body_mass,3,random,2000,100,0.2189431027541829,0.057059927407216084,0.0386515150892909,1.0502945184707642,5
body_mass,3,random,3000,25,0.21632363946164027,0.029062888000750912,0.025014596382000383,0.9470366358757019,5
body_mass,3,random,3000,50,0.13788843643108328,0.02605236314794683,0.21654285381220525,0.8098912715911866,5
body_mass,3,random,3000,100,0.22093402167727624,0.050161068472511734,0.0963617659233087,1.058534812927246,5
body_mass,3,random,4000,25,0.2014246812476732,0.008777471020987521,-0.03338220624344536,0.9560736656188965,5
body_mass,3,random,4000,50,0.19259540827726584,0.021365428377211677,0.2657396428353185,0.7981490850448608,5
body_mass,3,random,4000,100,0.24090082050328793,0.037088799458732995,0.12044430828815696,1.0530369997024536,5
