n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,92,0.034622860917917664,1.4660447835922241,shapley_mean,-1,1,92,4
13,2,250,0.07022398598932483,1.461540699005127,shapley_mean,-1,2,250,4
12,3,606,0.11485073898127508,1.4510650634765625,shapley_mean,-1,3,606,4
11,4,1189,0.13459868931918473,1.4448440074920654,shapley_mean,-1,4,1189,4
10,5,1448,0.10543522018529912,1.4495265483856201,shapley_mean,-1,5,1448,4
9,6,1845,0.10160000257379427,1.4489631652832031,shapley_mean,-1,6,1845,4
8,7,2137,0.10305259263497779,1.4492367506027222,shapley_mean,-1,7,2137,4
7,8,2339,0.09431052355027468,1.451070785522461,shapley_mean,-1,8,2339,4
6,9,2458,0.11516119036271533,1.4465162754058838,shapley_mean,-1,9,2458,4
5,10,2624,0.10072718477243289,1.4516961574554443,shapley_mean,-1,10,2624,4
4,11,3702,0.14811445988117378,1.4311938285827637,shapley_mean,-1,11,3702,4
3,12,4188,0.1533727309994944,1.4295707941055298,shapley_mean,-1,12,4188,4
2,13,4772,0.1365375082567014,1.4341336488723755,shapley_mean,-1,13,4772,4
1,14,4966,0.12283333839224239,1.4403047561645508,shapley_mean,-1,14,4966,4
0,15,5139,0.1151575733675031,1.4404751062393188,shapley_mean,-1,15,5139,4
