trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,3,Selvær,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,2500,0.2023098086642327,,3.5143301183179654,1
body_mass,3,Selvær,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,3500,0.2015569282569377,,3.543389398826149,1
body_mass,4,Gjerøy,full_baseline,full_source_unweighted,none,500,,5139,0.093336413879612,,3.9603208799482776,1
body_mass,4,Gjerøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,500,0.0123320837643405,,4.194514814678964,1
body_mass,4,Gjerøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,2000,0.079943014115385,,3.959367099780019,1
