trait,trait_label,mean_r,sd_r,median_inner_r,median_outer_minus_inner_r,modal_n_pcs,median_n_pcs,alpha_geomean,median_alpha,median_pca_cumvar,median_study_time_seconds,median_n_trials,median_inner_top_k_used,median_inner_validation_n_samples
body_mass,Body mass,0.18826522284091135,0.11864550463293311,0.1988935265635125,0.0013312682272248189,2500,2500.0,80473.8654638175,89093.19844067557,0.8452488780021667,171.29833348235115,100.0,10.0,3186.0
thr_tarsus,Tarsus length,0.24256089940312978,0.08687259646491524,0.2712496069273718,-0.04812508405058419,1000,3500.0,163772.9856465669,156026.34200677826,0.9265527725219728,215.0918070198968,100.0,10.0,3143.0
thr_wing,Wing length,0.19645026852081934,0.09854497045488371,0.2217472208333163,-0.05785338885046451,4500,4500.0,34682.83997988439,32010.226030350503,0.9739188551902772,261.2756109619513,100.0,10.0,3128.0
