target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
4,5,Hestmannøy,0.09656332709602473,8.957637021894687e-05,1078,1,5
4,6,Indre Kvarøy,0.08426899340104699,0.0002367106556209185,356,2,1
4,8,Lovund,0.030916024150530193,0.0001956710389274063,158,3,2
4,0,Nesøy,0.020326361803294335,0.00017080976305289356,119,4,3
4,9,Sleneset,0.018815313617195593,0.00011334526275419032,166,5,4
4,12,Southern 2,0.010622503409878886,2.675693554125664e-05,397,6,6
4,11,Southern 1,0.008466941122934283,1.4523055099372698e-05,583,7,8
4,1,Myken,0.0015436394420199721,1.677868958717361e-05,92,8,7
4,2,Træna,-0.0012020516959725077,-4.116615397166122e-06,292,9,9
4,15,Southern 5,-0.003166107465099271,-1.567379933217461e-05,202,10,10
4,10,Aldra,-0.009022218650497594,-5.215155289304967e-05,173,11,12
4,14,Southern 4,-0.016706142261585313,-3.4374778316019165e-05,486,12,11
4,3,Selvær,-0.02439463081782494,-0.00012574551967951,194,13,14
4,7,Onøy og Lurøy,-0.02789882691263495,-0.00010771747842716197,259,14,13
4,13,Southern 3,-0.09928694751543606,-0.0001700118964305412,584,15,15
