n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1000,0.11651640577879604,1.4718024730682373,pevmean_ga,-1,18288.666283351427,4,Gjerøy,4,172047015,body_mass
4000,0.07994000583559473,1.4760247468948364,pevmean_ga,-1,17279.0177321467,4,Gjerøy,4,172047015,body_mass
1000,0.10364120442155605,1.4756529331207275,random_individual,0,,4,Gjerøy,4,172047015,body_mass
4000,0.07987226270463406,1.476616621017456,random_individual,0,,4,Gjerøy,4,172047015,body_mass
1000,0.12277043372499655,1.474307894706726,random_individual,1,,4,Gjerøy,4,172047015,body_mass
4000,0.1128858331582196,1.4714354276657104,random_individual,1,,4,Gjerøy,4,172047015,body_mass
1000,0.004646636120722813,1.4946658611297607,random_individual,2,,4,Gjerøy,4,172047015,body_mass
4000,0.056769291754614745,1.4878761768341064,random_individual,2,,4,Gjerøy,4,172047015,body_mass
1000,0.00466868421696934,1.4918872117996216,random_individual,3,,4,Gjerøy,4,172047015,body_mass
4000,0.096011609836895,1.4760417938232422,random_individual,3,,4,Gjerøy,4,172047015,body_mass
1000,-0.03641775155485036,1.5010634660720825,random_individual,4,,4,Gjerøy,4,172047015,body_mass
4000,0.0459961382619749,1.4915732145309448,random_individual,4,,4,Gjerøy,4,172047015,body_mass
