n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
5,10,3893,0.1174723007555301,0.5428895950317383,random_individual,1,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.1565359801377639,0.5381161570549011,random_individual,1,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.1501825492448422,0.5386002063751221,random_individual,1,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.0924389495662652,0.547382652759552,random_individual,1,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1553331152858118,0.5377538204193115,random_individual,1,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,random_individual,1,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,-0.2711130823196434,0.5562114119529724,random_individual,2,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
13,2,280,-0.3603327860341849,0.5619446039199829,random_individual,2,2,280,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
12,3,432,-0.1764299072201754,0.5542983412742615,random_individual,2,3,432,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
11,4,718,-0.1830171375100138,0.5594056248664856,random_individual,2,4,718,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
10,5,1114,-0.0788245109665686,0.559486448764801,random_individual,2,5,1114,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
9,6,1206,-0.0848000345840775,0.5623356103897095,random_individual,2,6,1206,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
8,7,1761,-0.1921877861409236,0.567051351070404,random_individual,2,7,1761,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
7,8,2824,0.0409817637229065,0.5528907179832458,random_individual,2,8,2824,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
6,9,3310,0.0550526022797813,0.5505532622337341,random_individual,2,9,3310,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
5,10,3893,0.0195428404089897,0.5563334226608276,random_individual,2,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.0062170314678729,0.5594478845596313,random_individual,2,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.1254284906163309,0.5415008068084717,random_individual,2,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.1519583689801963,0.5377981662750244,random_individual,2,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1647818455481649,0.5369104743003845,random_individual,2,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,random_individual,2,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,0.0345039927509313,0.5632927417755127,random_individual,3,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
13,2,280,0.008386404173228,0.5523161292076111,random_individual,3,2,280,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
12,3,432,0.0844106369745573,0.546779990196228,random_individual,3,3,432,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
11,4,718,0.0379010003213681,0.5511016249656677,random_individual,3,4,718,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
10,5,1114,-0.0325441636975405,0.5595951676368713,random_individual,3,5,1114,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
9,6,1206,0.0511275429489271,0.552273690700531,random_individual,3,6,1206,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
8,7,1761,0.1643372555026659,0.5424623489379883,random_individual,3,7,1761,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
7,8,2824,0.2043584640661407,0.5305503010749817,random_individual,3,8,2824,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
6,9,3310,0.2355233388509118,0.5271265506744385,random_individual,3,9,3310,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
5,10,3893,0.2149714634168887,0.5303353667259216,random_individual,3,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.252193993186103,0.5228297710418701,random_individual,3,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.2414341498870628,0.5244035124778748,random_individual,3,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.2211682970413427,0.5271649360656738,random_individual,3,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1655046839277955,0.5364024639129639,random_individual,3,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,random_individual,3,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,-0.0514876937587168,0.5720374584197998,random_individual,4,1,117,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
13,2,280,0.2722989930945281,0.5512548089027405,random_individual,4,2,280,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
12,3,432,0.3096001701510297,0.5438721776008606,random_individual,4,3,432,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
11,4,718,0.3245412626445834,0.5402470231056213,random_individual,4,4,718,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
10,5,1114,0.3268872492013063,0.534287691116333,random_individual,4,5,1114,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
9,6,1206,0.3173836731503513,0.5333477258682251,random_individual,4,6,1206,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
8,7,1761,0.1391967688210166,0.5467404723167419,random_individual,4,7,1761,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
7,8,2824,0.1927583362701368,0.5370351076126099,random_individual,4,8,2824,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
6,9,3310,0.2002906844586969,0.5321292877197266,random_individual,4,9,3310,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
5,10,3893,0.1075341071533737,0.5458956956863403,random_individual,4,10,3893,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
4,11,4476,0.104987168479367,0.545684814453125,random_individual,4,11,4476,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
3,12,4678,0.1206693082158445,0.5435885190963745,random_individual,4,12,4678,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
2,13,4851,0.1189022736564441,0.5440438985824585,random_individual,4,13,4851,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
1,14,5199,0.1109259645097979,0.5465943217277527,random_individual,4,14,5199,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
0,15,5456,0.1450057394355028,0.540614664554596,random_individual,4,15,5456,3,Selvær,0,373658297,10,tarsus,0.0515463917525773,10
14,1,117,0.0009216701694447,0.5519735217094421,shapley_mean,-1,1,117,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
13,2,269,0.0884904852565711,0.545135498046875,shapley_mean,-1,2,269,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
12,3,432,-0.003608864691247,0.5518326163291931,shapley_mean,-1,3,432,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
11,4,718,-0.0196666814568521,0.559428870677948,shapley_mean,-1,4,718,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
10,5,810,0.1729235795946782,0.5384509563446045,shapley_mean,-1,5,810,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
9,6,1365,0.1863478408535966,0.5355123281478882,shapley_mean,-1,6,1365,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
8,7,2428,0.2214538148519934,0.5297759175300598,shapley_mean,-1,7,2428,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
7,8,2824,0.1717576885211136,0.5371446013450623,shapley_mean,-1,8,2824,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
6,9,3310,0.1730115037067971,0.5361713171005249,shapley_mean,-1,9,3310,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
5,10,3512,0.1646667108935755,0.538327157497406,shapley_mean,-1,10,3512,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
4,11,4095,0.162197692367312,0.537828803062439,shapley_mean,-1,11,4095,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
3,12,4268,0.1514021202626218,0.5396392941474915,shapley_mean,-1,12,4268,3,Selvær,0,373658297,20,tarsus,0.0515463917525773,10
