n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
2000,pevmean_ga,-1,0.2530285676451973,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26561,81.43842422403395
2500,pevmean_ga,-1,0.21865444788325641,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26708,90.5378512297757
3000,pevmean_ga,-1,0.19477823231253052,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26706,100.85514311911538
3500,pevmean_ga,-1,0.17918290658066288,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26630,110.73065804317594
4000,pevmean_ga,-1,0.163830052711879,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26594,120.8035596339032
4500,pevmean_ga,-1,0.15435449496665385,100,502.6502333305817,0,Nesøy,4,555131593,thr_tarsus,300,26560,112.12337385071442
500,pevmean_ga,-1,0.09221008731177217,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26464,50.91528173210099
1000,pevmean_ga,-1,0.061308791427778966,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26721,60.87711961194873
1500,pevmean_ga,-1,0.04777672063500416,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26566,70.69112013233826
2000,pevmean_ga,-1,0.04065783218613472,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26569,81.35704252589494
2500,pevmean_ga,-1,0.0363178090345021,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26680,89.88337034685537
3000,pevmean_ga,-1,0.032501802762083455,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26621,101.03261405276135
3500,pevmean_ga,-1,0.030029450798947935,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26555,111.03139928122982
4000,pevmean_ga,-1,0.02807053942936277,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26554,120.75913621904328
4500,pevmean_ga,-1,0.026514261244067167,100,502.6502333305817,1,Myken,0,1714262082,thr_tarsus,300,26641,128.42727605206892
500,pevmean_ga,-1,0.09497848009414926,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26389,50.9595136269927
1000,pevmean_ga,-1,0.06027345381436742,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26607,61.100584431085736
