trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,6,pevmean_ga,50,0.0612895219875198,,1.5878324508666992,1
body_mass,6,pevmean_ga,100,0.0147902216107212,,1.5974162817001345,1
body_mass,6,pevmean_ga,250,0.0046559870814262,,1.601078987121582,1
body_mass,6,pevmean_ga,500,0.0581169891608849,,1.5933668613433838,1
body_mass,6,pevmean_ga,2000,0.2772901996037668,,1.5206867456436155,1
body_mass,6,pevmean_ga,3500,0.3095979062925006,,1.488227367401123,1
body_mass,6,pevmean_ga,5341,0.3187685430344943,,1.4793694019317627,1
body_mass,6,random_individual,50,0.0517130172928979,0.0714733019647859,1.6087432146072387,5
body_mass,6,random_individual,100,0.12416498243484897,0.04937525190097614,1.6041785955429078,5
body_mass,6,random_individual,250,0.07872290021193178,0.041538949579905324,1.5892684698104858,5
body_mass,6,random_individual,500,0.10997013182415408,0.0529630617104813,1.582858109474182,5
body_mass,6,random_individual,2000,0.23956239914141006,0.023757712015279646,1.5355978727340698,5
body_mass,6,random_individual,3500,0.2900400959985099,0.01808400780382774,1.5086803674697875,5
body_mass,6,random_individual,5341,0.3187685430344943,,1.4793694019317627,1
