trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,pevmean_ga,500,0.288376148223295,,1.2442718744277954,1
body_mass,0,pevmean_ga,4500,0.1991794622458564,,1.3100396394729614,1
body_mass,0,pevmean_ga,5578,0.2306614664451909,,1.3017499446868896,1
body_mass,0,random_individual,5578,0.2306614664451909,,1.3017499446868896,1
body_mass,4,pevmean_ga,500,0.0713961533339861,,1.4863170385360718,1
body_mass,4,pevmean_ga,1000,0.1148940231468595,,1.4744879007339478,1
body_mass,4,pevmean_ga,3000,0.0782889550588667,,1.493391752243042,1
body_mass,8,pevmean_ga,2500,0.283019867822498,,0.9029529690742492,1
body_mass,8,pevmean_ga,4000,0.3800921507927881,,0.8424302935600281,1
body_mass,12,pevmean_ga,2000,0.1362710527776101,,1.2139493227005005,1
