trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
thr_wing,0,pevmean_ga,500,0.4749198132413907,0.005764606234394737,260.01600134093314,5
thr_wing,0,pevmean_ga,1000,0.33059069365128985,0.004238982416768675,311.76109801302664,5
thr_wing,0,pevmean_ga,1500,0.26928454891902515,0.0035044981932789636,361.8822131480556,5
thr_wing,0,pevmean_ga,2000,0.22973000543543728,0.002028841700897028,415.3631366051268,5
thr_wing,0,pevmean_ga,2500,0.20286613137283535,0.0004809458736997604,461.81720293476246,5
thr_wing,0,pevmean_ga,3000,0.18390156556118706,0.0012501430041587994,515.2705736549105,5
thr_wing,0,pevmean_ga,3500,0.1689067126330839,0.0009552974441525,569.1927983139176,5
thr_wing,0,pevmean_ga,4000,0.15752444765216553,0.0004832924521659187,619.5745545732789,5
thr_wing,0,pevmean_ga,4500,0.14819095285759326,0.0005390196039679779,648.9160447099712,5
thr_wing,1,pevmean_ga,500,0.09031234465811559,0.0008451660121286605,260.85007527819835,5
thr_wing,1,pevmean_ga,1000,0.06031807419936238,0.0007023723754752967,312.07913583214395,5
thr_wing,1,pevmean_ga,1500,0.04784159278437568,0.0002515235060348151,361.56731813796796,5
thr_wing,1,pevmean_ga,2000,0.0408358605971973,0.00027624056977994547,417.5931551391259,5
thr_wing,1,pevmean_ga,2500,0.0360560622903868,0.0001640526443263856,465.45617785002105,5
thr_wing,1,pevmean_ga,3000,0.03290683506482188,6.732349134201374e-05,517.4760500059929,5
thr_wing,1,pevmean_ga,3500,0.030252254253813136,0.00015924211404115117,569.6138208953198,5
thr_wing,1,pevmean_ga,4000,0.02835831863207418,6.908505851826241e-05,620.5866970103234,5
thr_wing,1,pevmean_ga,4500,0.02685253219947436,4.419106591642598e-05,639.6657634070143,5
thr_wing,2,pevmean_ga,500,0.08246683819228036,0.0015971502243265687,272.99935601837933,5
thr_wing,2,pevmean_ga,1000,0.0526468452450493,0.0005811676518576175,323.42311340617016,5
