target_island,method,removal_fraction,cal_fraction,corr_eval,mse_adj,n_train_remaining,seed,epochs_trained
0,tracin_iterative,0,0.2,0.10006515681743622,1.336122989654541,5578,10,46
0,tracin_iterative,1,0.2,0.07322195917367935,1.3393796682357788,5300,10,42
0,tracin_iterative,2,0.2,0.19280879199504852,1.2987903356552124,5035,10,59
0,tracin_iterative,3,0.2,0.03130124881863594,1.3517080545425415,4784,10,31
0,tracin_iterative,0,0.2,-0.012274414300918579,1.3550301790237427,5578,11,39
0,tracin_iterative,1,0.2,0.15580707788467407,1.3096257448196411,5300,11,54
0,tracin_iterative,2,0.2,0.08712808787822723,1.3280291557312012,5035,11,51
0,tracin_iterative,3,0.2,0.10148829221725464,1.3473526239395142,4784,11,38
0,tracin_iterative,0,0.2,0.28346097469329834,1.3172028064727783,5578,12,39
0,tracin_iterative,1,0.2,0.09682201594114304,1.3308018445968628,5300,12,56
0,tracin_iterative,2,0.2,0.034379053860902786,1.3488516807556152,5035,12,31
0,tracin_iterative,3,0.2,0.12164918333292007,1.3391366004943848,4784,12,60
0,random_iterative,0,0.2,0.2096722275018692,1.3287110328674316,5578,10,46
0,random_iterative,1,0.2,0.18181100487709045,1.3202310800552368,5300,10,45
0,random_iterative,2,0.2,0.1428893357515335,1.3357309103012085,5035,10,36
0,random_iterative,3,0.2,-0.10617486387491226,1.3785651922225952,4784,10,31
0,random_iterative,0,0.2,0.0051093921065330505,1.3547931909561157,5578,11,39
0,random_iterative,1,0.2,-0.030393918976187706,1.3575124740600586,5300,11,34
0,random_iterative,2,0.2,0.19959531724452972,1.3482732772827148,5035,11,35
0,random_iterative,3,0.2,-0.014141963794827461,1.360873818397522,4784,11,39
0,random_iterative,0,0.2,0.246196448802948,1.3110181093215942,5578,12,47
0,random_iterative,1,0.2,0.0010406315559521317,1.3612979650497437,5300,12,44
0,random_iterative,2,0.2,-0.0329531691968441,1.357778549194336,5035,12,31
0,random_iterative,3,0.2,0.05343613401055336,1.368287444114685,4784,12,50
