n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
4000,0.216505448036869,0.8918535709381104,random_individual,3,,3,Selvær,2,1562338001,body_mass
1000,0.1937683756706536,0.9000088572502136,random_individual,4,,3,Selvær,2,1562338001,body_mass
4000,0.2411264853396316,0.879096508026123,random_individual,4,,3,Selvær,2,1562338001,body_mass
1000,0.2133424345983618,0.8938111066818237,pevmean_ga,-1,18100.211640050697,3,Selvær,3,980813718,body_mass
4000,0.1865915055368794,0.9073508381843568,pevmean_ga,-1,16898.550385573217,3,Selvær,3,980813718,body_mass
1000,0.1670191077475045,0.9092766046524048,random_individual,0,,3,Selvær,3,980813718,body_mass
4000,0.2205968105374418,0.8956171274185181,random_individual,0,,3,Selvær,3,980813718,body_mass
1000,0.1469008100413182,0.9142950177192688,random_individual,1,,3,Selvær,3,980813718,body_mass
4000,0.1716651497807202,0.9015990495681764,random_individual,1,,3,Selvær,3,980813718,body_mass
1000,0.0847884670190469,0.9237242341041564,random_individual,2,,3,Selvær,3,980813718,body_mass
4000,0.2137987034166431,0.9019267559051514,random_individual,2,,3,Selvær,3,980813718,body_mass
1000,0.1897035783256263,0.9092121124267578,random_individual,3,,3,Selvær,3,980813718,body_mass
4000,0.1755038887748005,0.9085223078727722,random_individual,3,,3,Selvær,3,980813718,body_mass
1000,0.0791586746609794,0.9167221188545228,random_individual,4,,3,Selvær,3,980813718,body_mass
4000,0.176746431572366,0.9010196924209596,random_individual,4,,3,Selvær,3,980813718,body_mass
1000,0.1519293377493945,0.90717214345932,pevmean_ga,-1,18067.83666854702,3,Selvær,4,1849893988,body_mass
4000,0.2117439058088317,0.894946277141571,pevmean_ga,-1,16906.617358492986,3,Selvær,4,1849893988,body_mass
1000,0.0541074033990498,0.935722291469574,random_individual,0,,3,Selvær,4,1849893988,body_mass
4000,0.1873056983157945,0.903053104877472,random_individual,0,,3,Selvær,4,1849893988,body_mass
1000,0.2076124428426028,0.897220253944397,random_individual,1,,3,Selvær,4,1849893988,body_mass
4000,0.2027608695221898,0.8931450843811035,random_individual,1,,3,Selvær,4,1849893988,body_mass
1000,0.0550758625558197,0.9316115379333496,random_individual,2,,3,Selvær,4,1849893988,body_mass
4000,0.2193219526212205,0.8918387293815613,random_individual,2,,3,Selvær,4,1849893988,body_mass
