n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,173,-0.0160573159308896,1.2795510292053225,shapley_mean,-1,1,173,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
13,2,429,0.1205223187962231,1.2722588777542114,shapley_mean,-1,2,429,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
12,3,826,0.0342418826161454,1.2843801975250244,shapley_mean,-1,3,826,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
11,4,1112,0.3443242361207517,1.165149450302124,shapley_mean,-1,4,1112,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
10,5,1263,0.3545909183808183,1.174774408340454,shapley_mean,-1,5,1263,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
9,6,2318,0.3110370534833432,1.1714046001434326,shapley_mean,-1,6,2318,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
8,7,2436,0.3095424826284103,1.1650395393371582,shapley_mean,-1,7,2436,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
7,8,2785,0.2813114457653771,1.1565452814102173,shapley_mean,-1,8,2785,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
6,9,3338,0.2762420819625268,1.1735334396362305,shapley_mean,-1,9,3338,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
5,10,3824,0.2576227342497361,1.173045635223389,shapley_mean,-1,10,3824,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
4,11,4405,0.2789966676298142,1.1590336561203003,shapley_mean,-1,11,4405,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
3,12,4988,0.2751942230401465,1.173513889312744,shapley_mean,-1,12,4988,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
2,13,5148,0.300661248338908,1.1607511043548584,shapley_mean,-1,13,5148,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
1,14,5350,0.3072252341854572,1.157336711883545,shapley_mean,-1,14,5350,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
0,15,5442,0.3762264266296962,1.1356040239334106,shapley_mean,-1,15,5442,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
14,1,173,-0.2532018967820376,1.3119946718215942,random_individual,0,1,173,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
13,2,429,-0.025845425542649,1.280048966407776,random_individual,0,2,429,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
12,3,826,0.4200132243966615,1.1881743669509888,random_individual,0,3,826,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
11,4,1112,0.2947206560127655,1.184966802597046,random_individual,0,4,1112,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
10,5,1263,0.3462124471212972,1.17021644115448,random_individual,0,5,1263,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
9,6,2318,0.4471145891591509,1.1246137619018557,random_individual,0,6,2318,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
8,7,2436,0.4604375517974046,1.1246293783187866,random_individual,0,7,2436,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
7,8,2785,0.4917688997312835,1.1217199563980105,random_individual,0,8,2785,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
6,9,3338,0.4257151770786607,1.12017560005188,random_individual,0,9,3338,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
5,10,3824,0.3820569068137586,1.128793478012085,random_individual,0,10,3824,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
4,11,4405,0.4076938426791354,1.118093967437744,random_individual,0,11,4405,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
3,12,4988,0.4137018489993009,1.1250426769256592,random_individual,0,12,4988,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
2,13,5148,0.4012954484498397,1.1302827596664429,random_individual,0,13,5148,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
1,14,5350,0.3945839629184747,1.1322892904281616,random_individual,0,14,5350,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
0,15,5442,0.3762264266296962,1.1356040239334106,random_individual,0,15,5442,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
14,1,173,-0.3188295041186368,1.307517409324646,random_individual,1,1,173,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
13,2,429,0.0722978485273965,1.2777652740478516,random_individual,1,2,429,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
12,3,826,0.1319133003430261,1.2579162120819092,random_individual,1,3,826,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
11,4,1112,0.2139599133553333,1.25469970703125,random_individual,1,4,1112,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
10,5,1263,0.169706711397709,1.2656803131103516,random_individual,1,5,1263,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
9,6,2318,0.3037902477363298,1.1893863677978516,random_individual,1,6,2318,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
8,7,2436,0.2917934367757352,1.1957772970199585,random_individual,1,7,2436,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
7,8,2785,0.3011400470790237,1.189832091331482,random_individual,1,8,2785,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
6,9,3338,0.3021543830658885,1.1699066162109375,random_individual,1,9,3338,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
5,10,3824,0.3717329733153674,1.168046951293945,random_individual,1,10,3824,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
4,11,4405,0.3860638054905729,1.142822504043579,random_individual,1,11,4405,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
3,12,4988,0.3572768947871245,1.150112867355347,random_individual,1,12,4988,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
2,13,5148,0.3659240371369647,1.1400513648986816,random_individual,1,13,5148,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
1,14,5350,0.3771043938684449,1.133676052093506,random_individual,1,14,5350,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
0,15,5442,0.3762264266296962,1.1356040239334106,random_individual,1,15,5442,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
14,1,173,-0.0462472649085222,1.3265845775604248,random_individual,2,1,173,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
13,2,429,0.0577950534780095,1.2883540391921997,random_individual,2,2,429,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
12,3,826,0.1165948332117974,1.276303768157959,random_individual,2,3,826,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
11,4,1112,0.1431795921697457,1.2554185390472412,random_individual,2,4,1112,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
10,5,1263,0.2164842226978629,1.243755340576172,random_individual,2,5,1263,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
9,6,2318,0.1516090235597512,1.2433515787124634,random_individual,2,6,2318,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
8,7,2436,0.1588658207033897,1.2402966022491455,random_individual,2,7,2436,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
7,8,2785,0.1839443230116885,1.2322529554367063,random_individual,2,8,2785,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
6,9,3338,0.3259226100948636,1.1766953468322754,random_individual,2,9,3338,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
5,10,3824,0.3347450632688644,1.158183217048645,random_individual,2,10,3824,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
4,11,4405,0.3153981937596699,1.1568166017532349,random_individual,2,11,4405,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
3,12,4988,0.3500967141158942,1.1414839029312134,random_individual,2,12,4988,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
2,13,5148,0.3646014468584949,1.1311248540878296,random_individual,2,13,5148,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
1,14,5350,0.3583284870407285,1.1367180347442627,random_individual,2,14,5350,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
0,15,5442,0.3762264266296962,1.1356040239334106,random_individual,2,15,5442,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
14,1,173,0.1854744371401573,1.2920233011245728,random_individual,3,1,173,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
13,2,429,0.307673618111397,1.2769678831100464,random_individual,3,2,429,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
12,3,826,0.2556538868116169,1.269810914993286,random_individual,3,3,826,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
11,4,1112,0.3094060460782298,1.2333799600601196,random_individual,3,4,1112,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
10,5,1263,0.2447234625314112,1.2377469539642334,random_individual,3,5,1263,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
9,6,2318,0.3382143755041666,1.180601954460144,random_individual,3,6,2318,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
8,7,2436,0.3528796777651117,1.178261399269104,random_individual,3,7,2436,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
7,8,2785,0.3651394297862408,1.148836374282837,random_individual,3,8,2785,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
6,9,3338,0.3259501106728198,1.166889190673828,random_individual,3,9,3338,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
5,10,3824,0.3232819179796892,1.1797856092453003,random_individual,3,10,3824,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
4,11,4405,0.3504624798926707,1.158118486404419,random_individual,3,11,4405,3,Selvær,0,1658532137,10,wing,0.0523560209424083,10
