n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,256,0.12004325236353058,1.340451955795288,shapley_mean,-1,1,256,5
13,2,605,0.1409415504088935,1.337744951248169,shapley_mean,-1,2,605,5
12,3,1091,0.14572957597787903,1.3305315971374512,shapley_mean,-1,3,1091,5
11,4,1264,0.14860699033323146,1.326723575592041,shapley_mean,-1,4,1264,5
10,5,1845,0.14859249371673455,1.3240355253219604,shapley_mean,-1,5,1845,5
9,6,2242,0.14479907829828453,1.3255988359451294,shapley_mean,-1,6,2242,5
8,7,2433,0.14433347214722186,1.324184536933899,shapley_mean,-1,7,2433,5
7,8,2719,0.1544547826241564,1.3201409578323364,shapley_mean,-1,8,2719,5
6,9,3272,0.1561261063364769,1.3294991254806519,shapley_mean,-1,9,3272,5
5,10,3474,0.15475279434647676,1.331736445426941,shapley_mean,-1,10,3474,5
4,11,4057,0.14404104364240625,1.3322149515151978,shapley_mean,-1,11,4057,5
3,12,4217,0.14852777867574365,1.3301373720169067,shapley_mean,-1,12,4217,5
2,13,4335,0.1558480682005798,1.3270213603973389,shapley_mean,-1,13,4335,5
1,14,4427,0.15658078692193245,1.3272446393966675,shapley_mean,-1,14,4427,5
0,15,4578,0.1605526361075856,1.3264408111572266,shapley_mean,-1,15,4578,5
14,1,256,0.05881879356582315,1.357517123222351,random_individual,0,1,256,5
13,2,605,0.07618128451157377,1.3493703603744507,random_individual,0,2,605,5
12,3,1091,0.1278278240607923,1.339584231376648,random_individual,0,3,1091,5
11,4,1264,0.12204127608735633,1.3390989303588867,random_individual,0,4,1264,5
10,5,1845,0.1651020070038562,1.3296537399291992,random_individual,0,5,1845,5
9,6,2242,0.17500894468207331,1.3262603282928467,random_individual,0,6,2242,5
8,7,2433,0.1735913764617794,1.3279885053634644,random_individual,0,7,2433,5
7,8,2719,0.175377872106976,1.3261643648147583,random_individual,0,8,2719,5
6,9,3272,0.1587575665383351,1.335458755493164,random_individual,0,9,3272,5
5,10,3474,0.17119356967040306,1.3294461965560913,random_individual,0,10,3474,5
4,11,4057,0.17511165970676867,1.3236784934997559,random_individual,0,11,4057,5
3,12,4217,0.1659639808572682,1.3264963626861572,random_individual,0,12,4217,5
2,13,4335,0.1595746507369701,1.326859474182129,random_individual,0,13,4335,5
1,14,4427,0.1565726805550019,1.3278889656066895,random_individual,0,14,4427,5
0,15,4578,0.1605526361075856,1.3264408111572266,random_individual,0,15,4578,5
14,1,256,0.0713668333358522,1.3694337606430054,random_individual,1,1,256,5
13,2,605,0.09731552676860596,1.344594120979309,random_individual,1,2,605,5
12,3,1091,0.0788520697299238,1.3441210985183716,random_individual,1,3,1091,5
11,4,1264,0.09871312162020002,1.3386802673339844,random_individual,1,4,1264,5
10,5,1845,0.13226056500941363,1.3334424495697021,random_individual,1,5,1845,5
9,6,2242,0.11346147320248405,1.336730718612671,random_individual,1,6,2242,5
8,7,2433,0.11389513665701462,1.3339952230453491,random_individual,1,7,2433,5
