trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,500,500,2500,2500,89093.2,0.2183827270949127,1070.66845703125,0.010730500012869015,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,1000,1000,2500,2500,89093.2,0.23197811250660857,1067.7264404296875,0.023211499996250495,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,1500,1500,2500,2500,89093.2,0.22596185869879512,1068.7041015625,0.05217169999377802,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,2000,2000,2500,2500,89093.2,0.20479472025920017,1068.827880859375,0.09629390001646243,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,2500,2500,2500,2500,89093.2,0.19254733160009202,1068.7550048828125,0.14551010000286624,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,3000,3000,2500,2500,89093.2,0.21004110978286752,1068.81689453125,0.15636620001168922,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,3500,3500,2500,2500,89093.2,0.2174806712807321,1069.595703125,0.16143320000264794,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,4000,4000,2500,2500,89093.2,0.22281739368922382,1069.49462890625,0.17389030000776984,119
body_mass,avggrm_diversity_lam1,0,Nesøy,0,14,4500,4500,2500,2500,89093.2,0.22822166427125581,1069.2769775390625,0.17988060001516715,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,500,500,2500,2500,89093.2,0.20610972454586138,1069.2208251953125,0.010090099996887147,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,1000,1000,2500,2500,89093.2,0.20271457963665837,1069.4305419921875,0.02242409999598749,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,1500,1500,2500,2500,89093.2,0.19398380810602237,1069.2296142578125,0.05207700000028126,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,2000,2000,2500,2500,89093.2,0.18352876624817688,1069.0234375,0.07971140000154264,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,2500,2500,2500,2500,89093.2,0.18459415331399245,1069.1407470703125,0.12883480000891723,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,3000,3000,2500,2500,89093.2,0.20181082650840987,1068.957763671875,0.1437302999838721,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,3500,3500,2500,2500,89093.2,0.22121341643391296,1068.9293212890625,0.17349000001559034,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,4000,4000,2500,2500,89093.2,0.2385537959135083,1069.4356689453125,0.18976500001735985,119
body_mass,avggrm_diversity_lam2,0,Nesøy,0,14,4500,4500,2500,2500,89093.2,0.23372429572104778,1069.1622314453125,0.188742700003786,119
body_mass,avggrm_topk,1,Myken,0,14,500,500,2500,2500,89093.2,0.27622876909929917,1032.4998779296875,0.01005420001456514,92
body_mass,avggrm_topk,1,Myken,0,14,1000,1000,2500,2500,89093.2,0.3228543492036149,1030.4609375,0.023000899993348867,92
body_mass,avggrm_topk,1,Myken,0,14,1500,1500,2500,2500,89093.2,0.37428072290293957,1031.328857421875,0.053572700009681284,92
body_mass,avggrm_topk,1,Myken,0,14,2000,2000,2500,2500,89093.2,0.3541893805669692,1031.3253173828125,0.08308579999720678,92
body_mass,avggrm_topk,1,Myken,0,14,2500,2500,2500,2500,89093.2,0.40503969825773917,1030.88525390625,0.1329725999967195,92
body_mass,avggrm_topk,1,Myken,0,14,3000,3000,2500,2500,89093.2,0.41242165673672293,1030.8204345703125,0.1447518999921158,92
body_mass,avggrm_topk,1,Myken,0,14,3500,3500,2500,2500,89093.2,0.44016299817577437,1030.4072265625,0.16685760000837035,92
body_mass,avggrm_topk,1,Myken,0,14,4000,4000,2500,2500,89093.2,0.4276027218322977,1031.077392578125,0.16835389999323525,92
body_mass,avggrm_topk,1,Myken,0,14,4500,4500,2500,2500,89093.2,0.42372867673378484,1030.96630859375,0.1988656000175979,92
