trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
body_mass,avggrm_diversity_lam0p25,500,0.1768137134960094,0.06671115370455853,997.4465128580729,36.67902401520852,15,2500,89093.2,0.18162080014008097
body_mass,avggrm_diversity_lam0p25,1000,0.17395705850176676,0.08852144014140959,997.3583902994792,36.66268294094895,15,2500,89093.2,0.43362290007644333
body_mass,avggrm_diversity_lam0p25,1500,0.17474514036960187,0.09224458068285638,997.8330891927084,36.726109914922624,15,2500,89093.2,0.8908935000363272
body_mass,avggrm_diversity_lam0p25,2000,0.1836313932225878,0.10026641515633,998.1564412434896,36.65307716757778,15,2500,89093.2,1.4451789000886492
body_mass,avggrm_diversity_lam0p25,2500,0.18121848730071102,0.10527346718958668,998.1894205729167,36.82439941863808,15,2500,89093.2,2.40522149996832
body_mass,avggrm_diversity_lam0p25,3000,0.19019109948128957,0.11332562653978388,998.0258341471355,36.76062833398599,15,2500,89093.2,2.6611927000049036
body_mass,avggrm_diversity_lam0p25,3500,0.19264944827501404,0.1126292172587725,997.9918986002605,36.71323214150873,15,2500,89093.2,2.8208914999559056
body_mass,avggrm_diversity_lam0p25,4000,0.1919171378777287,0.1149816923286088,997.8995849609375,36.875327998905135,15,2500,89093.2,3.1215862999961246
body_mass,avggrm_diversity_lam0p25,4500,0.1900825379253711,0.11959853634558407,997.93603515625,36.81352828988522,15,2500,89093.2,3.416908599989256
body_mass,avggrm_diversity_lam0p5,500,0.16847008245361347,0.08007162636104496,997.6128540039062,36.90577883316247,15,2500,89093.2,0.17647650005528703
body_mass,avggrm_diversity_lam0p5,1000,0.1734676033093831,0.08724441656234812,997.96484375,37.02513064689461,15,2500,89093.2,0.4636687999009155
body_mass,avggrm_diversity_lam0p5,1500,0.18548944549762955,0.09121866770822498,998.1705118815104,36.686279188502844,15,2500,89093.2,0.9191829000483267
body_mass,avggrm_diversity_lam0p5,2000,0.18512135943452354,0.10124364170308027,998.1436767578125,36.61249066993371,15,2500,89093.2,1.451893999997992
