trait,model_type,target_island,target_island_name,analysis,method,selection_method,lambda_label,lambda_div,n_components,n_individuals,corr_mean,corr_std,mse_mean,avg_grm_target_mean,avg_grm_train_train_mean,objective_mean,n_rows
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,500,0.2271297096136333,,0.8963888883590698,0.0169819433728579,0.0145604214540639,0.0097017326458259,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1000,0.2222712652464349,,0.8902578353881836,0.0115591524964888,0.0080385758072636,0.007539864592857,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1500,0.2273052023382319,,0.8891871571540833,0.0082414362077806,0.0048785010418668,0.0058021856868471,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2000,0.1951956373690646,,0.8997377753257751,0.0061301165061356,0.003294627252102,0.0044828028800846,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2500,0.2096698844249228,,0.8948763608932495,0.0046107200517148,0.0023482782469702,0.0034365809282296,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3000,0.2046500854837118,,0.8964567184448242,0.0033810086094853,0.0016522285359199,0.0025548943415254,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3500,0.2153267304378821,,0.8951480388641357,0.0023514230299373,0.0011409498748273,0.0017809480925236,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4000,0.2122162798345589,,0.8957074284553528,0.0014392776754473,0.000737375899135,0.0010705897258798,1
body_mass,ridge,3,Selvær,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4500,0.2099816194107303,,0.8978342413902283,0.0005948633048964,0.0004121428005377,0.0003887919046276,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,500,0.3214651078166502,,0.9430404901504515,0.0149493191062893,0.0137491629317645,0.008074737640407,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1000,0.2903920805756581,,0.9302055239677428,0.0112874448341263,0.008733454457607,0.0069207176053228,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1500,0.3219314167781172,,0.9171574115753174,0.0085518972143854,0.0057274900299968,0.0056881521993869,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2000,0.3423177850076336,,0.9067472815513612,0.0065833356693208,0.0039243064502476,0.004621182444197,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2500,0.3444254310800201,,0.904229462146759,0.0050950494398625,0.0027831413831852,0.0037034787482699,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3000,0.3626382600573549,,0.891663670539856,0.0038616923792556,0.0019324564176644,0.0028954641704233,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3500,0.3658514579511487,,0.8910968899726868,0.0028103175033807,0.0013015884028282,0.0021595233019666,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4000,0.3681869280347251,,0.8875950574874878,0.0018682491276486,0.000807811850105,0.0014643432025961,1
body_mass,ridge,8,Lovund,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4500,0.3777641165019617,,0.8846045136451721,0.0010046609480434,0.0004410655676343,0.0007841281642262,1
body_mass,ridge,12,Southern 2,full_baseline,full_source_unweighted,none,none,,,5300,0.0031270729156581,,1.2505650520324707,-0.0036900626994202,0.0002740784480845,,1
body_mass,ridge,13,Southern 3,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,500,0.1691621022818811,,1.0103594064712524,0.0105921170592947,0.0103849810291009,0.0053996265447442,1
body_mass,ridge,13,Southern 3,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1000,0.1694890787168991,,1.0060936212539673,0.008002664920512,0.007985807216557,0.0040097613122334,1
