target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
4,Gjerøy,2,2014,4741,4741,8934287,7,Onøy og Lurøy,0.013714492811646465,1,-0.0960542507313315,50
4,Gjerøy,2,2014,4845,4845,8939344,5,Hestmannøy,0.011181932112583524,2,-0.0960542507313315,50
4,Gjerøy,2,2014,3007,3007,8N73662,13,Southern 3,0.00926049648127892,3,-0.0960542507313315,50
4,Gjerøy,2,2014,4432,4432,8800095,6,Indre Kvarøy,0.008139460482814364,4,-0.0960542507313315,50
4,Gjerøy,2,2014,4221,4221,8732667,2,Træna,0.007998361553510792,5,-0.0960542507313315,50
4,Gjerøy,2,2014,3925,3925,8537728,5,Hestmannøy,0.006967661072427498,6,-0.0960542507313315,50
4,Gjerøy,2,2014,37,37,8L19928,10,Aldra,0.0067446273928053364,7,-0.0960542507313315,50
4,Gjerøy,2,2014,2614,2614,8N72348,6,Indre Kvarøy,0.006478146850938238,8,-0.0960542507313315,50
4,Gjerøy,2,2014,2297,2297,8N27879,5,Hestmannøy,0.006408444508153524,9,-0.0960542507313315,50
4,Gjerøy,2,2014,2588,2588,8N42990,14,Southern 4,0.0063607190048904595,10,-0.0960542507313315,50
4,Gjerøy,2,2014,33,33,8L19919,5,Hestmannøy,0.006287105086079985,11,-0.0960542507313315,50
4,Gjerøy,2,2014,2646,2646,8N72673,11,Southern 1,0.006153071801199263,12,-0.0960542507313315,50
4,Gjerøy,2,2014,946,946,8M72087,5,Hestmannøy,0.005713977449098737,13,-0.0960542507313315,50
4,Gjerøy,2,2014,1660,1660,8N06890,11,Southern 1,0.0054509539957570356,14,-0.0960542507313315,50
4,Gjerøy,2,2014,3949,3949,8598602,6,Indre Kvarøy,0.005307498807289873,15,-0.0960542507313315,50
4,Gjerøy,2,2014,1708,1708,8N13423,9,Sleneset,0.005073903825722292,16,-0.0960542507313315,50
4,Gjerøy,2,2014,3796,3796,8P14982,14,Southern 4,0.005045630511645377,17,-0.0960542507313315,50
4,Gjerøy,2,2014,218,218,8L48609,6,Indre Kvarøy,0.004949578945860392,18,-0.0960542507313315,50
4,Gjerøy,2,2014,4015,4015,8681044,5,Hestmannøy,0.0048364592243714,19,-0.0960542507313315,50
4,Gjerøy,2,2014,1637,1637,8N06864,11,Southern 1,0.004830687810739572,20,-0.0960542507313315,50
4,Gjerøy,2,2014,2439,2439,8N28795,14,Southern 4,0.004830490929891818,21,-0.0960542507313315,50
4,Gjerøy,2,2014,1693,1693,8N13149,14,Southern 4,0.004511989673081809,22,-0.0960542507313315,50
4,Gjerøy,2,2014,606,606,8L89793,5,Hestmannøy,0.004475403441935687,23,-0.0960542507313315,50
4,Gjerøy,2,2014,4460,4460,8800330,7,Onøy og Lurøy,0.0044488463911038865,24,-0.0960542507313315,50
4,Gjerøy,2,2014,763,763,8M31927,5,Hestmannøy,0.004358477597225738,25,-0.0960542507313315,50
4,Gjerøy,2,2014,3948,3948,8598592,3,Selvær,0.004334061356158249,26,-0.0960542507313315,50
4,Gjerøy,2,2014,3648,3648,8P14126,7,Onøy og Lurøy,0.004300051774830866,27,-0.0960542507313315,50
4,Gjerøy,2,2014,5088,5088,8981657,2,Træna,0.004292740056653771,28,-0.0960542507313315,50
4,Gjerøy,2,2014,1895,1895,8N14115,5,Hestmannøy,0.004268071288521006,29,-0.0960542507313315,50
4,Gjerøy,2,2014,3385,3385,8N87853,14,Southern 4,0.004265782436486521,30,-0.0960542507313315,50
4,Gjerøy,2,2014,821,821,8M71254,5,Hestmannøy,0.004260340654586881,31,-0.0960542507313315,50
4,Gjerøy,2,2014,1845,1845,8N13927,5,Hestmannøy,0.004087470644400294,32,-0.0960542507313315,50
4,Gjerøy,2,2014,4005,4005,8681025,5,Hestmannøy,0.004086522640605724,33,-0.0960542507313315,50
4,Gjerøy,2,2014,2618,2618,8N72394,6,Indre Kvarøy,0.004082590789979453,34,-0.0960542507313315,50
4,Gjerøy,2,2014,970,970,8M72405,13,Southern 3,0.004068320767837486,35,-0.0960542507313315,50
4,Gjerøy,2,2014,2212,2212,8N27122,7,Onøy og Lurøy,0.003975603625175383,36,-0.0960542507313315,50
4,Gjerøy,2,2014,1290,1290,8M71867,5,Hestmannøy,0.003962350469113504,37,-0.0960542507313315,50
4,Gjerøy,2,2014,3889,3889,8309128,5,Hestmannøy,0.0039022172619323286,38,-0.0960542507313315,50
4,Gjerøy,2,2014,3227,3227,8N87526,11,Southern 1,0.0038949100056856144,39,-0.0960542507313315,50
4,Gjerøy,2,2014,3492,3492,8N87962,13,Southern 3,0.003884961688755781,40,-0.0960542507313315,50
4,Gjerøy,2,2014,4347,4347,8747713,7,Onøy og Lurøy,0.0038742275322903395,41,-0.0960542507313315,50
4,Gjerøy,2,2014,731,731,8M31793,11,Southern 1,0.003872585995728799,42,-0.0960542507313315,50
4,Gjerøy,2,2014,869,869,8M71372,12,Southern 2,0.003859004760553796,43,-0.0960542507313315,50
4,Gjerøy,2,2014,852,852,8M71328,11,Southern 1,0.003785154849643373,44,-0.0960542507313315,50
4,Gjerøy,2,2014,3927,3927,8537770,7,Onøy og Lurøy,0.003774420361600851,45,-0.0960542507313315,50
4,Gjerøy,2,2014,4467,4467,8800352,5,Hestmannøy,0.0037256985057658575,46,-0.0960542507313315,50
4,Gjerøy,2,2014,1889,1889,8N14057,6,Indre Kvarøy,0.003718241891888574,47,-0.0960542507313315,50
4,Gjerøy,2,2014,5017,5017,8981047,12,Southern 2,0.003694719879925013,48,-0.0960542507313315,50
4,Gjerøy,2,2014,4392,4392,8747905,6,Indre Kvarøy,0.0036838536209974388,49,-0.0960542507313315,50
4,Gjerøy,2,2014,5013,5013,8981029,0,Nesøy,0.003678612253483542,50,-0.0960542507313315,50
4,Gjerøy,2,2014,953,953,8M72218,8,Lovund,0.0036434876009183025,51,-0.0960542507313315,50
4,Gjerøy,2,2014,368,368,8L52950,5,Hestmannøy,0.003633084552414283,52,-0.0960542507313315,50
4,Gjerøy,2,2014,4291,4291,8747410,0,Nesøy,0.0035502838681315653,53,-0.0960542507313315,50
4,Gjerøy,2,2014,4678,4678,8904640,7,Onøy og Lurøy,0.0035500667755084987,54,-0.0960542507313315,50
4,Gjerøy,2,2014,4040,4040,8681069,9,Sleneset,0.003548632647270775,55,-0.0960542507313315,50
4,Gjerøy,2,2014,829,829,8M71292,6,Indre Kvarøy,0.0035266564618704156,56,-0.0960542507313315,50
4,Gjerøy,2,2014,2635,2635,8N72551,6,Indre Kvarøy,0.0034721358434655963,57,-0.0960542507313315,50
4,Gjerøy,2,2014,58,58,8L19995,0,Nesøy,0.0034181716895779063,58,-0.0960542507313315,50
4,Gjerøy,2,2014,2033,2033,8N14604,13,Southern 3,0.003385464436634305,59,-0.0960542507313315,50
4,Gjerøy,2,2014,1659,1659,8N06889,11,Southern 1,0.0033660448148216037,60,-0.0960542507313315,50
4,Gjerøy,2,2014,2797,2797,8N73221,12,Southern 2,0.0032582225746542355,61,-0.0960542507313315,50
4,Gjerøy,2,2014,4969,4969,8943470,2,Træna,0.0032130850159511727,62,-0.0960542507313315,50
4,Gjerøy,2,2014,4068,4068,8681371,5,Hestmannøy,0.0031991157728123634,63,-0.0960542507313315,50
4,Gjerøy,2,2014,1917,1917,8N14225,5,Hestmannøy,0.0031964219970112627,64,-0.0960542507313315,50
4,Gjerøy,2,2014,5054,5054,8981278,5,Hestmannøy,0.0031636968222325894,65,-0.0960542507313315,50
4,Gjerøy,2,2014,3614,3614,8P11788,2,Træna,0.0031551270857053874,66,-0.0960542507313315,50
4,Gjerøy,2,2014,38,38,8L19926,10,Aldra,0.0031443519014035678,67,-0.0960542507313315,50
4,Gjerøy,2,2014,2500,2500,8N42286,5,Hestmannøy,0.0031278926596792255,68,-0.0960542507313315,50
