target_island,method,removal_fraction,cal_fraction,corr_eval,mse_adj,n_train_remaining,seed,epochs_trained
0,tracin_addition,0.1,0.2,0.03320613130927086,1.4671157598495483,558,27,150
0,tracin_addition,0.25,0.2,0.1494372934103012,1.5309897661209106,1394,27,150
0,tracin_addition,0.5,0.2,0.20472347736358643,1.40248441696167,2789,27,150
0,tracin_addition,0.1,0.2,0.30193576216697693,1.3993064165115356,558,28,150
0,tracin_addition,0.25,0.2,0.22150760889053345,1.5061122179031372,1394,28,150
0,tracin_addition,0.5,0.2,0.1817903369665146,1.5238720178604126,2789,28,150
0,tracin_addition,0.1,0.2,0.20092913508415222,1.4580745697021484,558,29,150
0,tracin_addition,0.25,0.2,0.21722710132598877,1.552748680114746,1394,29,150
0,tracin_addition,0.5,0.2,0.23175811767578125,1.4504657983779907,2789,29,150
0,tracin_addition,0.1,0.2,0.21684151887893677,1.4677873849868774,558,30,150
0,tracin_addition,0.25,0.2,-0.015283157117664814,1.49969482421875,1394,30,150
0,tracin_addition,0.5,0.2,0.1395251601934433,1.601430892944336,2789,30,150
0,tracin_addition,0.1,0.2,0.1656000167131424,1.4775896072387695,558,31,150
0,tracin_addition,0.25,0.2,0.23157648742198944,1.4597924947738647,1394,31,150
0,tracin_addition,0.5,0.2,0.08037586510181427,1.6052918434143066,2789,31,150
0,random_addition,0.1,0.2,0.03320613130927086,1.4671157598495483,558,27,150
0,random_addition,0.25,0.2,0.2078622579574585,1.4851394891738892,1394,27,150
0,random_addition,0.5,0.2,0.17205403745174408,1.4684219360351562,2789,27,150
0,random_addition,0.1,0.2,0.30193576216697693,1.3993064165115356,558,28,150
0,random_addition,0.25,0.2,0.10906017571687698,1.483785629272461,1394,28,150
0,random_addition,0.5,0.2,0.19798429310321808,1.4500765800476074,2789,28,150
0,random_addition,0.1,0.2,0.20092913508415222,1.4580745697021484,558,29,150
0,random_addition,0.25,0.2,0.269589364528656,1.4730154275894165,1394,29,150
0,random_addition,0.5,0.2,0.20593062043190002,1.5072517395019531,2789,29,150
0,random_addition,0.1,0.2,0.21684151887893677,1.4677873849868774,558,30,150
0,random_addition,0.25,0.2,0.19246059656143188,1.47256338596344,1394,30,150
0,random_addition,0.5,0.2,0.14284348487854004,1.4590520858764648,2789,30,150
0,random_addition,0.1,0.2,0.1656000167131424,1.4775896072387695,558,31,150
0,random_addition,0.25,0.2,0.21619820594787598,1.5065330266952515,1394,31,150
0,random_addition,0.5,0.2,0.31434282660484314,1.4958451986312866,2789,31,150
