trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
thr_tarsus,5,full_train_pc_ridge,full_train,-1,-1,5085,5085,565,3250,100,3250,107097.74831514445,0.4242882475525742,0.5410980582237244,0.012502525001764297,0,0,0.0,0.7490745119284838
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5000514,500,5085,565,3250,100,3250,107097.74831514445,0.28616286386376527,0.594214677810669,0.02694196067750454,300,26291,58.55715965596028,0.020850692875683308
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5001014,1000,5085,565,3250,100,3250,107097.74831514445,0.30746193074866285,0.5879796147346497,0.0229195449501276,300,26313,70.35959010687657,0.060443688882514834
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5001514,1500,5085,565,3250,100,3250,107097.74831514445,0.3492581457018966,0.5770294666290283,0.020054461434483528,300,26582,81.45042584906332,0.1282741311006248
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5002014,2000,5085,565,3250,100,3250,107097.74831514445,0.38135131139389244,0.5653231143951416,0.018081316724419594,300,26560,92.67702219099738,0.21893893112428486
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5002514,2500,5085,565,3250,100,3250,107097.74831514445,0.4011541373115273,0.5584733486175537,0.016659297049045563,300,26493,102.53949688584544,0.3678344450891018
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5003014,3000,5085,565,3250,100,3250,107097.74831514445,0.4014643488670892,0.5551915764808655,0.015384623780846596,300,26596,114.131439934019,0.5298451019916683
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5003514,3500,5085,565,3250,100,3250,107097.74831514445,0.40696513575170323,0.551089882850647,0.014497501775622368,300,26617,126.513333595125,0.671542254043743
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5004014,4000,5085,565,3250,100,3250,107097.74831514445,0.43274699546440887,0.5433172583580017,0.013636087998747826,300,26549,137.30233125388622,0.6995773839298636
thr_tarsus,5,pevmean_ga_pc_ridge,pevmean_ga,0,5004514,4500,5085,565,3250,100,3250,107097.74831514445,0.4240161332218308,0.5429800152778625,0.012985044158995152,300,26384,144.32503169891424,0.74677725112997
