n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
5405,0.15583737084525698,1.2322531938552856,pevmean_ga,-2,49965.231695627815,2,Træna,0,405385771,body_mass
5405,0.15583737084525698,1.2322531938552856,random_individual,-2,49965.231695627815,2,Træna,0,405385771,body_mass
500,0.1986730767074223,1.191330075263977,pevmean_ga,-1,59183.68204318414,2,Træna,0,405385771,body_mass
4500,0.16353343413265792,1.227297067642212,pevmean_ga,-1,50774.41236977643,2,Træna,0,405385771,body_mass
500,0.10531792474755065,1.5699905157089233,pevmean_ga,-1,57880.19134370175,6,Indre Kvarøy,0,2036077539,body_mass
1000,0.13565333158942722,1.5654393434524536,pevmean_ga,-1,55978.88025959707,6,Indre Kvarøy,0,2036077539,body_mass
3000,0.29105064885780096,1.462440013885498,pevmean_ga,-1,51299.213139725725,6,Indre Kvarøy,0,2036077539,body_mass
2500,0.19200498472687832,1.3869074583053589,pevmean_ga,-1,65297.313582905066,10,Aldra,0,2138453555,body_mass
4000,0.24281888225054415,1.3714475631713867,pevmean_ga,-1,62632.6460058269,10,Aldra,0,2138453555,body_mass
2000,0.12469493177490115,0.9705960750579834,pevmean_ga,-1,63298.549740406175,14,Southern 4,0,1319110456,body_mass
