n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
12,3,572,-0.037936870723847486,1.1175506114959717,random_individual,2,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,-0.015322475626441043,1.116653561592102,random_individual,2,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,-0.006011200851083138,1.1183356046676636,random_individual,2,5,903,9,Sleneset,3,36289244,10,0.05
9,6,1487,-0.017662051210597954,1.1247928142547607,random_individual,2,6,1487,9,Sleneset,3,36289244,10,0.05
8,7,1884,0.0029498951267870333,1.1166926622390747,random_individual,2,7,1884,9,Sleneset,3,36289244,10,0.05
7,8,2467,0.0505427909255054,1.1086052656173706,random_individual,2,8,2467,9,Sleneset,3,36289244,10,0.05
6,9,2759,0.09081729408752723,1.0982475280761719,random_individual,2,9,2759,9,Sleneset,3,36289244,10,0.05
5,10,2851,0.08929529924171677,1.0972743034362793,random_individual,2,10,2851,9,Sleneset,3,36289244,10,0.05
4,11,3337,0.10809732920293338,1.0896656513214111,random_individual,2,11,3337,9,Sleneset,3,36289244,10,0.05
3,12,3539,0.13367267549703143,1.0841093063354492,random_individual,2,12,3539,9,Sleneset,3,36289244,10,0.05
2,13,4617,0.1331125465811518,1.0823776721954346,random_individual,2,13,4617,9,Sleneset,3,36289244,10,0.05
1,14,5175,0.12431364770953693,1.0826424360275269,random_individual,2,14,5175,9,Sleneset,3,36289244,10,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,2,15,5531,9,Sleneset,3,36289244,10,0.05
14,1,194,0.09818071586270756,1.1235474348068237,random_individual,3,1,194,9,Sleneset,3,36289244,10,0.05
13,2,453,0.0703407795115045,1.1058034896850586,random_individual,3,2,453,9,Sleneset,3,36289244,10,0.05
12,3,572,0.11230907137635898,1.0991296768188477,random_individual,3,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,0.13945059812142682,1.094032645225525,random_individual,3,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,0.106513386880445,1.0979331731796265,random_individual,3,5,903,9,Sleneset,3,36289244,10,0.05
9,6,1487,0.16071475382836561,1.0853228569030762,random_individual,3,6,1487,9,Sleneset,3,36289244,10,0.05
8,7,1884,0.23809683048483715,1.0689400434494019,random_individual,3,7,1884,9,Sleneset,3,36289244,10,0.05
7,8,2467,0.17588295849983718,1.078256368637085,random_individual,3,8,2467,9,Sleneset,3,36289244,10,0.05
6,9,2759,0.15835028928676304,1.0816290378570557,random_individual,3,9,2759,9,Sleneset,3,36289244,10,0.05
5,10,2851,0.1728874603753257,1.0797390937805176,random_individual,3,10,2851,9,Sleneset,3,36289244,10,0.05
4,11,3337,0.16528978979809497,1.0787346363067627,random_individual,3,11,3337,9,Sleneset,3,36289244,10,0.05
3,12,3539,0.13172756171070366,1.0878654718399048,random_individual,3,12,3539,9,Sleneset,3,36289244,10,0.05
2,13,4617,0.12712328762782182,1.0869039297103882,random_individual,3,13,4617,9,Sleneset,3,36289244,10,0.05
1,14,5175,0.16784593992399485,1.0729727745056152,random_individual,3,14,5175,9,Sleneset,3,36289244,10,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,3,15,5531,9,Sleneset,3,36289244,10,0.05
14,1,194,-0.07674887095866618,1.1243810653686523,random_individual,4,1,194,9,Sleneset,3,36289244,10,0.05
13,2,453,-0.026843994814534224,1.1285731792449951,random_individual,4,2,453,9,Sleneset,3,36289244,10,0.05
12,3,572,0.007650464643387015,1.1201516389846802,random_individual,4,3,572,9,Sleneset,3,36289244,10,0.05
11,4,730,0.02892532034669727,1.1154695749282837,random_individual,4,4,730,9,Sleneset,3,36289244,10,0.05
10,5,903,0.051161579560816135,1.112062931060791,random_individual,4,5,903,9,Sleneset,3,36289244,10,0.05
9,6,1487,0.021010881580628034,1.114219307899475,random_individual,4,6,1487,9,Sleneset,3,36289244,10,0.05
8,7,1884,-0.01598248636221361,1.1218339204788208,random_individual,4,7,1884,9,Sleneset,3,36289244,10,0.05
7,8,2467,-0.02771805952232626,1.1273068189620972,random_individual,4,8,2467,9,Sleneset,3,36289244,10,0.05
6,9,2759,0.014561070737402601,1.115348219871521,random_individual,4,9,2759,9,Sleneset,3,36289244,10,0.05
5,10,2851,0.0032826126098322197,1.1194056272506714,random_individual,4,10,2851,9,Sleneset,3,36289244,10,0.05
4,11,3337,0.06480092724570179,1.1025807857513428,random_individual,4,11,3337,9,Sleneset,3,36289244,10,0.05
3,12,3539,0.05475029475308041,1.1035617589950562,random_individual,4,12,3539,9,Sleneset,3,36289244,10,0.05
2,13,4617,0.12893839397102572,1.0823596715927124,random_individual,4,13,4617,9,Sleneset,3,36289244,10,0.05
1,14,5175,0.15402385675987898,1.0748112201690674,random_individual,4,14,5175,9,Sleneset,3,36289244,10,0.05
0,15,5531,0.1440526408992472,1.0772640705108643,random_individual,4,15,5531,9,Sleneset,3,36289244,10,0.05
