n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,158,-0.01514202590995311,0.9471902251243591,shapley_mean,-1,1,158,14
13,2,450,-0.053450612269515724,0.9511162042617798,shapley_mean,-1,2,450,14
12,3,644,-0.04454519774214103,0.9513243436813354,shapley_mean,-1,3,644,14
11,4,1227,0.013215494314827615,0.9511822462081909,shapley_mean,-1,4,1227,14
10,5,1624,0.0742680426720064,0.9403899908065796,shapley_mean,-1,5,1624,14
9,6,2182,0.07192746646842044,0.9401769042015076,shapley_mean,-1,6,2182,14
8,7,2766,0.10771883034968575,0.9289675354957581,shapley_mean,-1,7,2766,14
7,8,2932,0.11551146821054036,0.9270824193954468,shapley_mean,-1,8,2932,14
6,9,3051,0.11296964781363504,0.9270312786102295,shapley_mean,-1,9,3051,14
5,10,3143,0.10318270363439602,0.9283903241157532,shapley_mean,-1,10,3143,14
4,11,4221,0.10451206017121108,0.9268866181373596,shapley_mean,-1,11,4221,14
3,12,4480,0.12611269016084564,0.9226526618003845,shapley_mean,-1,12,4480,14
2,13,4836,0.12700150375139957,0.9214631915092468,shapley_mean,-1,13,4836,14
1,14,5009,0.12009641467066517,0.9231715202331543,shapley_mean,-1,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,shapley_mean,-1,15,5211,14
14,1,158,0.006938387986296427,0.947130560874939,random_individual,0,1,158,14
13,2,450,0.08145263284816323,0.9492138624191284,random_individual,0,2,450,14
12,3,644,0.10402719346248268,0.9430051445960999,random_individual,0,3,644,14
11,4,1227,0.09962703592383206,0.936812698841095,random_individual,0,4,1227,14
10,5,1624,0.06946846607819235,0.941188633441925,random_individual,0,5,1624,14
9,6,2182,0.0956343635145788,0.9359059929847717,random_individual,0,6,2182,14
8,7,2766,0.10913256983495538,0.9332936406135559,random_individual,0,7,2766,14
7,8,2932,0.11415432293412645,0.9317160844802856,random_individual,0,8,2932,14
6,9,3051,0.12081730310409483,0.9314887523651123,random_individual,0,9,3051,14
5,10,3143,0.11753317007386167,0.9323805570602417,random_individual,0,10,3143,14
4,11,4221,0.14644743075729671,0.9204981923103333,random_individual,0,11,4221,14
3,12,4480,0.15160747408758624,0.9198724031448364,random_individual,0,12,4480,14
2,13,4836,0.16602026519297014,0.9144933819770813,random_individual,0,13,4836,14
1,14,5009,0.17721993368435457,0.9112222790718079,random_individual,0,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,random_individual,0,15,5211,14
14,1,158,0.006667369753622305,1.0432101488113403,random_individual,1,1,158,14
13,2,450,0.11099722649798156,0.9544905424118042,random_individual,1,2,450,14
12,3,644,0.0957369278542345,0.9561731219291687,random_individual,1,3,644,14
11,4,1227,0.11087990309017516,0.9330731630325317,random_individual,1,4,1227,14
10,5,1624,0.09383993450243958,0.9366496801376343,random_individual,1,5,1624,14
9,6,2182,0.10240032208731815,0.9327330589294434,random_individual,1,6,2182,14
8,7,2766,0.12936883773863375,0.9288021922111511,random_individual,1,7,2766,14
7,8,2932,0.13404543841653252,0.9288725852966309,random_individual,1,8,2932,14
6,9,3051,0.1386233270703762,0.9264850616455078,random_individual,1,9,3051,14
5,10,3143,0.127219993130698,0.9285987019538879,random_individual,1,10,3143,14
4,11,4221,0.18815697178649754,0.9108109474182129,random_individual,1,11,4221,14
3,12,4480,0.1853075860303135,0.9120572209358215,random_individual,1,12,4480,14
2,13,4836,0.18570615138345611,0.9097698926925659,random_individual,1,13,4836,14
1,14,5009,0.183219025814325,0.9101206660270691,random_individual,1,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,random_individual,1,15,5211,14
14,1,158,0.16483452190309178,0.9425234198570251,random_individual,2,1,158,14
13,2,450,0.16643512996445506,0.9369906187057495,random_individual,2,2,450,14
12,3,644,0.13903115812924968,0.9462760090827942,random_individual,2,3,644,14
11,4,1227,0.1252000524904481,0.9395560026168823,random_individual,2,4,1227,14
10,5,1624,0.1479039101471667,0.9399853944778442,random_individual,2,5,1624,14
9,6,2182,0.10699601564952935,0.9382155537605286,random_individual,2,6,2182,14
8,7,2766,0.11073489376907589,0.9324455261230469,random_individual,2,7,2766,14
7,8,2932,0.10287006880669751,0.9342877268791199,random_individual,2,8,2932,14
6,9,3051,0.09479809080044961,0.9345640540122986,random_individual,2,9,3051,14
5,10,3143,0.09165318455468717,0.9341545104980469,random_individual,2,10,3143,14
4,11,4221,0.13656465645312585,0.9208248853683472,random_individual,2,11,4221,14
3,12,4480,0.13342891433479773,0.9222019910812378,random_individual,2,12,4480,14
2,13,4836,0.1291479287665703,0.9229914546012878,random_individual,2,13,4836,14
1,14,5009,0.14214025320126283,0.9195853471755981,random_individual,2,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,random_individual,2,15,5211,14
14,1,158,0.044956726587156076,0.9554815888404846,random_individual,3,1,158,14
13,2,450,0.08082202437407526,0.9578706622123718,random_individual,3,2,450,14
12,3,644,0.06071985843132925,0.9552505016326904,random_individual,3,3,644,14
11,4,1227,0.009597445433424324,0.9481254816055298,random_individual,3,4,1227,14
10,5,1624,0.01170870383145364,0.9515432715415955,random_individual,3,5,1624,14
9,6,2182,0.07745796279335383,0.9370373487472534,random_individual,3,6,2182,14
8,7,2766,0.07816776462434848,0.9368117451667786,random_individual,3,7,2766,14
7,8,2932,0.0985936435151128,0.9338346123695374,random_individual,3,8,2932,14
6,9,3051,0.12767852238438634,0.9284361004829407,random_individual,3,9,3051,14
5,10,3143,0.122062794311134,0.9289417266845703,random_individual,3,10,3143,14
4,11,4221,0.13465503067291104,0.9243109822273254,random_individual,3,11,4221,14
3,12,4480,0.1359003280838004,0.9225319623947144,random_individual,3,12,4480,14
2,13,4836,0.14878365174345604,0.9200387597084045,random_individual,3,13,4836,14
1,14,5009,0.15488554633878182,0.9180989265441895,random_individual,3,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,random_individual,3,15,5211,14
14,1,158,0.024215616300252575,0.9577381610870361,random_individual,4,1,158,14
13,2,450,0.048812448715738754,0.9574668407440186,random_individual,4,2,450,14
12,3,644,0.06955478093069954,0.9440690875053406,random_individual,4,3,644,14
11,4,1227,0.09957978298142872,0.9388083219528198,random_individual,4,4,1227,14
10,5,1624,0.13083765430476413,0.9304501414299011,random_individual,4,5,1624,14
9,6,2182,0.12896692119615277,0.9291506409645081,random_individual,4,6,2182,14
8,7,2766,0.12570565162080255,0.9283223748207092,random_individual,4,7,2766,14
7,8,2932,0.11022232283785258,0.9311287999153137,random_individual,4,8,2932,14
6,9,3051,0.11164494776304512,0.9301974177360535,random_individual,4,9,3051,14
5,10,3143,0.11226445860525067,0.9294315576553345,random_individual,4,10,3143,14
4,11,4221,0.1466800921416983,0.9210705757141113,random_individual,4,11,4221,14
3,12,4480,0.14487444011360698,0.9208127856254578,random_individual,4,12,4480,14
2,13,4836,0.16288956359164783,0.9158808588981628,random_individual,4,13,4836,14
1,14,5009,0.157056291554617,0.9164343476295471,random_individual,4,14,5009,14
0,15,5211,0.1615830766430795,0.9146701097488403,random_individual,4,15,5211,14
