method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
all_individuals,5503,5503,-0.0134438422100142,0.2309859710575681,0.9469987154006958,16597.565144808566,-2.443002400511396e-06,3,Selvær,25,0,1743042106,body_mass,-2,0,0.0
calibration_ga,500,500,0.9821954227541992,0.0234798547412577,0.9854812026023864,,0.0019643908455083,3,Selvær,25,0,1743042106,body_mass,-1,100,246.83708451408893
pevmean_ga,500,500,0.214527348009419,0.2201517071005486,0.9507262110710144,18719.06643680267,0.0004290546960188,3,Selvær,25,0,1743042106,body_mass,-1,100,20.966608960879967
random,500,500,0.0550290932518037,0.1591523903867989,0.9671763777732848,,0.0001100581865036,3,Selvær,25,0,1743042106,body_mass,0,0,0.0
random,500,500,-0.0507857119336128,-0.0483290818887715,0.9964421987533568,,-0.0001015714238672,3,Selvær,25,0,1743042106,body_mass,1,0,0.0
random,500,500,-0.3198665285614278,0.0315623588266288,0.9838628768920898,,-0.0006397330571228,3,Selvær,25,0,1743042106,body_mass,2,0,0.0
random,500,500,-0.3105971879063988,0.2093083318347659,0.9665790796279908,,-0.0006211943758127,3,Selvær,25,0,1743042106,body_mass,3,0,0.0
random,500,500,-0.0137747274250932,0.0500828504036837,0.9855101704597472,,-2.754945485018641e-05,3,Selvær,25,0,1743042106,body_mass,4,0,0.0
calibration_ga,1000,1000,0.9888955394143156,0.1609597894202388,0.9647048115730286,,0.0009888955394143,3,Selvær,25,0,1743042106,body_mass,-1,100,712.6291126140859
pevmean_ga,1000,1000,0.2518268243774413,0.2451560863626367,0.9382615089416504,18290.733422341043,0.0002518268243774,3,Selvær,25,0,1743042106,body_mass,-1,100,87.17190154292621
random,1000,1000,-0.0781177928347547,0.2633081950888026,0.9447510838508606,,-7.811779283475478e-05,3,Selvær,25,0,1743042106,body_mass,0,0,0.0
random,1000,1000,-0.0457698456577871,0.0754750074901935,0.9734399318695068,,-4.576984565778711e-05,3,Selvær,25,0,1743042106,body_mass,1,0,0.0
random,1000,1000,-0.2633230321105506,0.1814506536518068,0.957598090171814,,-0.0002633230321105,3,Selvær,25,0,1743042106,body_mass,2,0,0.0
random,1000,1000,0.0546644031703403,0.2747076941383017,0.9515528678894044,,5.466440317034039e-05,3,Selvær,25,0,1743042106,body_mass,3,0,0.0
random,1000,1000,0.0438243921663679,0.1052693951025299,0.9705263376235962,,4.382439216636794e-05,3,Selvær,25,0,1743042106,body_mass,4,0,0.0
calibration_ga,2000,2000,0.951235963655591,0.2104487301503628,0.9514537453651428,,0.0004756179818277,3,Selvær,25,0,1743042106,body_mass,-1,100,1322.4115576229524
pevmean_ga,2000,2000,0.1024185857671912,0.1940362115074708,0.9540035128593444,17669.872293027347,5.120929288359564e-05,3,Selvær,25,0,1743042106,body_mass,-1,100,271.5791869550012
random,2000,2000,0.0831507978815662,0.1260094715577182,0.975927233695984,,4.157539894078311e-05,3,Selvær,25,0,1743042106,body_mass,0,0,0.0
random,2000,2000,0.1003616552766188,0.1711504313836013,0.9591315388679504,,5.018082763830942e-05,3,Selvær,25,0,1743042106,body_mass,1,0,0.0
random,2000,2000,0.0463279352343452,0.1724719927890165,0.9554961323738098,,2.316396761717263e-05,3,Selvær,25,0,1743042106,body_mass,2,0,0.0
random,2000,2000,-0.110666428841832,0.1305048472349414,0.975071370601654,,-5.5333214420916e-05,3,Selvær,25,0,1743042106,body_mass,3,0,0.0
random,2000,2000,0.0129387995977267,0.1753679926724819,0.9587916135787964,,6.46939979886335e-06,3,Selvær,25,0,1743042106,body_mass,4,0,0.0
calibration_ga,3000,3000,0.8560274008601017,0.1936359053292546,0.9578366279602052,,0.0002853424669533,3,Selvær,25,0,1743042106,body_mass,-1,100,1905.575072246138
pevmean_ga,3000,3000,0.0520827809646406,0.2128808541963853,0.9539337158203124,17277.65186762819,1.736092698821354e-05,3,Selvær,25,0,1743042106,body_mass,-1,100,546.5974735529162
random,3000,3000,-0.1711055071644806,0.230454726086539,0.951628029346466,,-5.703516905482688e-05,3,Selvær,25,0,1743042106,body_mass,0,0,0.0
random,3000,3000,0.0978370475060901,0.2279649235654128,0.9403666853904724,,3.2612349168696715e-05,3,Selvær,25,0,1743042106,body_mass,1,0,0.0
random,3000,3000,0.1259150525043435,0.2421147937981101,0.937991976737976,,4.1971684168114505e-05,3,Selvær,25,0,1743042106,body_mass,2,0,0.0
random,3000,3000,0.0584547103013697,0.167641914806696,0.96128511428833,,1.94849034337899e-05,3,Selvær,25,0,1743042106,body_mass,3,0,0.0
random,3000,3000,0.0139716787626792,0.2134418390514434,0.9439113736152648,,4.6572262542264e-06,3,Selvær,25,0,1743042106,body_mass,4,0,0.0
calibration_ga,4000,4000,0.795981525183492,0.1665228910935862,0.9644566178321838,,0.0001989953812958,3,Selvær,25,0,1743042106,body_mass,-1,100,2520.813417976955
pevmean_ga,4000,4000,-0.020043493771248,0.2138030821194844,0.947304904460907,16960.668525468667,-5.010873442812002e-06,3,Selvær,25,0,1743042106,body_mass,-1,100,1053.3733051831368
random,4000,4000,-0.0546359956973265,0.1989455423683597,0.9587633609771729,,-1.3658998924331645e-05,3,Selvær,25,0,1743042106,body_mass,0,0,0.0
random,4000,4000,-0.0192274316142107,0.2037587569203671,0.9596575498580932,,-4.806857903552699e-06,3,Selvær,25,0,1743042106,body_mass,1,0,0.0
