trait,target_island,method,n_train_size,n_cal_samples,corr_test_mean,corr_test_std,corr_cal_mean,mse_test_mean,n_rows
body_mass,3,all_individuals,5503,25,0.22345913453195018,0.008823297796653761,0.18656234912814806,0.8944515109062194,5
body_mass,3,all_individuals,5503,50,0.2237392847282233,0.0434113942767308,0.19943694683835195,0.8970565557479858,5
body_mass,3,all_individuals,5503,100,0.24002064281176225,0.06558368599003055,0.1956355942561416,0.9102412819862366,5
body_mass,3,calibration_ga,500,25,0.01841858428186136,0.08126496535686886,0.9920030585168602,0.9247190833091736,5
body_mass,3,calibration_ga,500,50,0.13270487756334118,0.0901174954260692,0.9112681848578589,0.9221832156181335,5
body_mass,3,calibration_ga,500,100,0.05467527889619106,0.15328614631855697,0.7976150350256971,0.9449632048606873,5
body_mass,3,calibration_ga,1000,25,0.09532157142794175,0.043333872760824024,0.9909868961073525,0.916272509098053,5
body_mass,3,calibration_ga,1000,50,0.14462403430527965,0.06951457964960764,0.9078550423066973,0.922810435295105,5
body_mass,3,calibration_ga,1000,100,0.08848633598424967,0.14268345946152672,0.7491230256319069,0.9501101255416871,5
body_mass,3,calibration_ga,2000,25,0.14269267427990615,0.04134633197515725,0.9710774198022086,0.9097373366355896,5
body_mass,3,calibration_ga,2000,50,0.10388967104899213,0.050687851902796885,0.8692333438865635,0.9254662275314331,5
body_mass,3,calibration_ga,2000,100,0.11994156320544433,0.06128603064014219,0.7362632005629175,0.9383738279342652,5
body_mass,3,calibration_ga,3000,25,0.13932044745323674,0.05826403306892782,0.9295052638484818,0.9134904980659485,5
body_mass,3,calibration_ga,3000,50,0.14009064362472012,0.06566303745941547,0.7741377756131729,0.9197922229766846,5
body_mass,3,calibration_ga,3000,100,0.20524635392909749,0.08964304212264163,0.6484992226213416,0.9237541556358337,5
body_mass,3,calibration_ga,4000,25,0.18859840280009021,0.024877087200979347,0.8401214171963298,0.9050429224967956,5
body_mass,3,calibration_ga,4000,50,0.18915930886733529,0.07680386370086477,0.6539810049832462,0.9109770655632019,5
body_mass,3,calibration_ga,4000,100,0.2375263390085424,0.07415494069142642,0.5372750321908579,0.9169553637504577,5
body_mass,3,pevmean_ga,500,25,0.24125027649121655,0.03362869319742846,0.04261852765533758,0.8940601944923401,5
body_mass,3,pevmean_ga,500,50,0.20926329949313258,0.07020030977567118,0.22027343166058455,0.907936429977417,5
body_mass,3,pevmean_ga,500,100,0.2246542254362245,0.10938739714420678,0.19738526672790052,0.9149042725563049,5
body_mass,3,pevmean_ga,1000,25,0.21552923695163875,0.050304044632195594,0.15850672542747596,0.8922592282295227,5
body_mass,3,pevmean_ga,1000,50,0.2019350347042279,0.09641938229250313,0.22114508458787033,0.9032740831375122,5
body_mass,3,pevmean_ga,1000,100,0.21016184727479562,0.08765700073161606,0.20652626388315692,0.9146734952926636,5
body_mass,3,pevmean_ga,2000,25,0.20555511063550091,0.03155668870061241,0.21589349567748056,0.9007927894592285,5
body_mass,3,pevmean_ga,2000,50,0.21327012165859585,0.03677078051113387,0.183644242270621,0.9057261109352112,5
body_mass,3,pevmean_ga,2000,100,0.22721843557823998,0.047739317350009663,0.17533466476824847,0.9154288291931152,5
body_mass,3,pevmean_ga,3000,25,0.22320274904425466,0.023050507453040093,0.20906939308899175,0.8925245523452758,5
body_mass,3,pevmean_ga,3000,50,0.23545941938919426,0.060586337122449256,0.18228324728111608,0.8918679594993592,5
body_mass,3,pevmean_ga,3000,100,0.24490768382867154,0.0620551595628004,0.19083997977485997,0.9076386094093323,5
body_mass,3,pevmean_ga,4000,25,0.2131666113769537,0.026401903420120214,0.14667649973080293,0.8946889996528625,5
body_mass,3,pevmean_ga,4000,50,0.20779737730119763,0.07061564575075809,0.1933047964071845,0.8996697902679444,5
body_mass,3,pevmean_ga,4000,100,0.23558105520004213,0.06561175108029046,0.17359853725832824,0.9081571102142334,5
body_mass,3,random,500,25,0.1098592101124193,0.07211865192049358,-0.006980206816465419,0.9156410074234009,25
body_mass,3,random,500,50,0.12166773213840586,0.08254672034803864,0.10424411530492751,0.9224514389038085,25
body_mass,3,random,500,100,0.08887270299203048,0.10808737651621494,0.085850732341382,0.9432621550559998,25
body_mass,3,random,1000,25,0.13971639959690954,0.07545705671195821,0.03192788302817326,0.9079718208312988,25
body_mass,3,random,1000,50,0.113850394667329,0.08216027241505477,0.16202663184788066,0.9188262510299683,25
body_mass,3,random,1000,100,0.15261909965302728,0.07425491241130931,0.10400987661022473,0.9294701242446899,25
body_mass,3,random,2000,25,0.17439829482043506,0.04758432246571287,0.10799392124827126,0.9020253586769104,25
body_mass,3,random,2000,50,0.16303251762594356,0.06669115295788444,0.14421986150156424,0.911211998462677,25
body_mass,3,random,2000,100,0.18538254005648183,0.08240434977285963,0.09946580338292552,0.9217936730384827,25
body_mass,3,random,3000,25,0.19647290173175647,0.033495787191129105,0.1414127641504135,0.8965366125106812,25
body_mass,3,random,3000,50,0.17197673249522147,0.05980288683269602,0.17668095229385564,0.9089144897460938,25
body_mass,3,random,3000,100,0.20842638151399634,0.07215665673444255,0.16669587146189369,0.9178783893585205,25
body_mass,3,random,4000,25,0.20785689467280505,0.027263470626312517,0.1544854071301282,0.8981992340087891,25
body_mass,3,random,4000,50,0.2051938130248562,0.03798173430435225,0.1743203064020148,0.9015265417098999,25
body_mass,3,random,4000,100,0.21399575312765143,0.0535081499172125,0.16852116118447327,0.918160674571991,25
