target_island,target_island_name,source_island,source_island_name,phi_mean,phi_std,phi_median,phi_p25,phi_p75,n_individuals,n_repeats
0,Nesøy,4,Gjerøy,0.00011578383397116975,0.0028286856282224953,1.3703535102496807e-05,-0.00050831130338965,0.0005956120867648749,2790,5
0,Nesøy,5,Hestmannøy,0.00010465786074339909,0.003295595490788249,2.4855967173519674e-06,-0.00057154134665625,0.000568175772944775,5390,5
0,Nesøy,9,Sleneset,9.688595938644101e-05,0.002253619687532634,5.648106624193336e-06,-0.00047810404600065004,0.0005261392767142001,830,5
0,Nesøy,3,Selvær,7.019929944081391e-05,0.0021232324733388695,1.1384049462822145e-05,-0.0003810338605062,0.00047398435895464996,970,5
0,Nesøy,6,Indre Kvarøy,6.220298367828489e-05,0.002634893876608504,1.7560528756913296e-05,-0.00051641767607275,0.000577307343248425,1780,5
0,Nesøy,2,Træna,5.305590188732002e-05,0.002362603014564736,5.991105712699341e-08,-0.00042322777637225,0.000529161435370375,1460,5
0,Nesøy,11,Southern 1,3.658555336804978e-05,0.0017446161911348385,2.450296720296341e-06,-0.00031016226021945,0.00035878003882955,2915,5
0,Nesøy,1,Myken,3.0311238848435562e-05,0.0031100292577900587,1.8243447601036965e-05,-0.000492698454921875,0.0005055502755695,460,5
0,Nesøy,8,Lovund,3.0141052225661148e-05,0.0023938680222105606,-1.0030062211899143e-05,-0.00051127818125635,0.00043199296777815,790,5
0,Nesøy,13,Southern 3,1.7594836959286288e-05,0.0018312508226713394,2.3797529439627264e-06,-0.0003144619048782,0.0003478750705345,2920,5
0,Nesøy,12,Southern 2,2.0733407331714157e-06,0.0020618724131307095,6.823425629333135e-06,-0.0003912995637548,0.0004014503609054,1985,5
0,Nesøy,14,Southern 4,-1.797719101686244e-06,0.0018072422225541666,-2.9532003700480024e-06,-0.00039912254368825,0.000340582849207875,2430,5
0,Nesøy,10,Aldra,-1.4410406444337287e-05,0.0026370105148880133,1.3852298207062683e-05,-0.0004395177214665,0.0005373503757426,865,5
0,Nesøy,15,Southern 5,-5.2705833873894886e-05,0.0015937650020042336,5.0352832749611105e-06,-0.0003287164772496,0.000310883285903675,1010,5
0,Nesøy,7,Onøy og Lurøy,-6.190020248999264e-05,0.0031934375857989037,-1.3228041251015092e-05,-0.0006614137604698501,0.000478920220035,1295,5
4,Gjerøy,5,Hestmannøy,0.00010732716731484421,0.0023271534784088483,6.36190763469313e-06,-0.0004520893608241,0.0004987620254927249,4312,4
4,Gjerøy,6,Indre Kvarøy,6.124088835235084e-05,0.0018918274355651781,1.2822173505492168e-05,-0.00038866619683895,0.000504865354948575,1424,4
4,Gjerøy,11,Southern 1,4.76846934323009e-05,0.0009496636950501756,2.751521599017974e-06,-0.000192583124998225,0.00025457000581977497,2332,4
4,Gjerøy,0,Nesøy,3.904093393599976e-05,0.001900755957015746,-6.9677398130878895e-06,-0.00045746062435355,0.00039301140365865,476,4
4,Gjerøy,8,Lovund,3.71338189539765e-05,0.0011240501973461307,-1.1931079329221064e-06,-0.000266565736743125,0.00038378375099882504,632,4
4,Gjerøy,9,Sleneset,2.754047335287475e-05,0.0013708842085854212,2.3427289520471226e-06,-0.0003192066234021,0.000311489252050975,664,4
4,Gjerøy,7,Onøy og Lurøy,1.982922907048826e-05,0.001558475111006729,-1.1873328120977494e-05,-0.00038329143365357503,0.00033187580012562497,1036,4
4,Gjerøy,14,Southern 4,6.21878803414133e-06,0.001101648734119212,1.571954641301377e-06,-0.00023930211387715,0.00024830911062005,1944,4
4,Gjerøy,2,Træna,3.130168462754073e-06,0.0012605916678538412,-2.801250197811611e-06,-0.00033454667323085,0.0003028024291284,1168,4
4,Gjerøy,12,Southern 2,-5.901585139668143e-06,0.0013169004291320777,-4.202505213043544e-06,-0.0003281329154229,0.000293348914592675,1588,4
4,Gjerøy,1,Myken,-2.4456549881063827e-05,0.0020601709304229787,5.5721506186056895e-06,-0.000253057972563825,0.000311742814996425,368,4
4,Gjerøy,13,Southern 3,-2.672594296887833e-05,0.0010307244874198408,1.3400598002986322e-06,-0.000239248848041625,0.000246067722087075,2336,4
4,Gjerøy,10,Aldra,-4.4436844984039044e-05,0.001922481106459284,8.74446841512454e-06,-0.00042611187848265,0.0004737376375482,692,4
4,Gjerøy,15,Southern 5,-5.969123442661291e-05,0.0011336287456233099,-8.826861567889348e-06,-0.00025908431116122496,0.00019397198560825,808,4
4,Gjerøy,3,Selvær,-8.831694301291855e-05,0.0012111099311351093,-6.590276609638781e-06,-0.000334382383851325,0.00020611430197152501,776,4
7,Onøy og Lurøy,8,Lovund,0.00017852529236805312,0.0018574410364014266,2.7024600246010384e-05,-0.000270726015794925,0.0005436234723926,790,5
7,Onøy og Lurøy,6,Indre Kvarøy,0.00012782135788290072,0.0019200811543709033,5.9756133975589835e-06,-0.0002900697454467,0.0004135946102949,1780,5
7,Onøy og Lurøy,9,Sleneset,7.354337622593841e-05,0.0020214295967256415,1.3369035465945617e-05,-0.000374754601580025,0.000494853919650525,830,5
