target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,500,0.0351548243170924,1.1459195613861084
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1000,0.151126616139021,1.129392385482788
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,1500,0.2060624491297187,1.109070062637329
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2000,0.1975126487072699,1.105992555618286
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,2500,0.217445745290389,1.1012799739837646
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3000,0.2094239333881841,1.092496037483215
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,3500,0.1970977327218959,1.1052649021148682
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4000,0.1895104205189778,1.1121878623962402
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,1,False,ranked_subset,random_individual,4500,0.1689907024622959,1.1190615892410278
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,50,0.0032204103848531,1.1470386981964111
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,100,0.0134376508713754,1.1833453178405762
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,250,0.1840095938930054,1.1392767429351809
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,500,0.183657943703582,1.120857000350952
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1000,0.1190175594347689,1.120699763298035
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,1500,0.2144270076817111,1.1045094728469849
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2000,0.181034688937524,1.108657956123352
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,2500,0.2345476565215817,1.0934255123138428
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3000,0.226429229369241,1.097925305366516
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,3500,0.1948600471430987,1.1158593893051147
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4000,0.2129287982689235,1.1164205074310305
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,2,False,ranked_subset,random_individual,4500,0.2559115976054538,1.098204255104065
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,50,-0.2008009705313971,1.2027137279510498
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,100,-0.0091791240008518,1.1788663864135742
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,250,0.1302625169776763,1.1302103996276855
0,Nesøy,0,14,body_mass,ridge_tmc_individual,none,3,False,ranked_subset,random_individual,500,0.2000545576770655,1.127168893814087
